cancer	stage_id	run_id	analysis_version	metabolite_key	metabolite_name	gene	relationship_type	role_in_written_reaction	reaction	source_url	uniprot_accession	evidence_origin	mapping_status	status	reason	identity_basis	source_path	source_evidence	rhea_id	historical_reaction_id	relation_key	patient_analysis_this_round	functional_analysis_this_round	evidence_id
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	HMDB:HMDB00721	glycylproline	PEPD	酶	水解底物	Gly-Pro属于X-Pro二肽底物，水解得到甘氨酸和脯氨酸。	https://enzyme.expasy.org/EC/3.4.13.9 ; https://www.uniprot.org/uniprotkb/P12955/entry	P12955	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R032	HMDB:HMDB00721|PEPD	NOT_RUN	NOT_RUN	M190E0001
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00009	phosphate	PPA1	酶	水解产物	无机焦磷酸水解为两个磷酸。	https://enzyme.expasy.org/EC/3.6.1.1 ; https://www.uniprot.org/uniprotkb/Q15181/entry	Q15181	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	磷酸/焦磷酸参与广泛反应；只列这一明确处理反应，不扩展所有ATP相关酶，也不据此称PPA为专属靶点。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R080	KEGG:C00009|PPA1	NOT_RUN	NOT_RUN	M190E0002
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00009	phosphate	PPA2	酶	水解产物	无机焦磷酸水解为两个磷酸。	https://enzyme.expasy.org/EC/3.6.1.1 ; https://www.uniprot.org/uniprotkb/Q9H2U2/entry	Q9H2U2	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	磷酸/焦磷酸参与广泛反应；只列这一明确处理反应，不扩展所有ATP相关酶，也不据此称PPA为专属靶点。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R080	KEGG:C00009|PPA2	NOT_RUN	NOT_RUN	M190E0003
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00013	pyrophosphate (PPi)	PPA1	酶	水解底物	无机焦磷酸水解为两个磷酸。	https://enzyme.expasy.org/EC/3.6.1.1 ; https://www.uniprot.org/uniprotkb/Q15181/entry	Q15181	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	磷酸/焦磷酸参与广泛反应；只列这一明确处理反应，不扩展所有ATP相关酶，也不据此称PPA为专属靶点。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R080	KEGG:C00013|PPA1	NOT_RUN	NOT_RUN	M190E0004
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00013	pyrophosphate (PPi)	PPA2	酶	水解底物	无机焦磷酸水解为两个磷酸。	https://enzyme.expasy.org/EC/3.6.1.1 ; https://www.uniprot.org/uniprotkb/Q9H2U2/entry	Q9H2U2	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	磷酸/焦磷酸参与广泛反应；只列这一明确处理反应，不扩展所有ATP相关酶，也不据此称PPA为专属靶点。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R080	KEGG:C00013|PPA2	NOT_RUN	NOT_RUN	M190E0005
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00021	S-adenosylhomocysteine (SAH)	AHCY	酶	可逆反应参与物	SAH水解反应连接同型半胱氨酸与腺苷。	https://enzyme.expasy.org/EC/3.13.2.1 ; https://www.uniprot.org/uniprotkb/P23526/entry	P23526	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	现行EC 3.13.2.1；旧EC 3.3.1.1已转移。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R029	KEGG:C00021|AHCY	NOT_RUN	NOT_RUN	M190E0006
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00021	S-adenosylhomocysteine (SAH)	NNMT	酶	甲基转移副产物	烟酰胺接受SAM甲基，生成1-MNA与SAH。	https://enzyme.expasy.org/EC/2.1.1.1 ; https://www.uniprot.org/uniprotkb/P40261/entry	P40261	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	SAH是广泛甲基转移产物；仅保留与本次已选NNMT反应的显式关系，不扩展所有甲基转移酶。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R072	KEGG:C00021|NNMT	NOT_RUN	NOT_RUN	M190E0007
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	ASNS	酶	反应产物	天冬氨酸与谷氨酰胺在ATP参与下生成天冬酰胺和谷氨酸。	https://www.kegg.jp/entry/6.3.5.4 ; https://www.uniprot.org/uniprotkb/P08243/entry	P08243	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R003	KEGG:C00025|ASNS	NOT_RUN	NOT_RUN	M190E0008
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	BCAT1	酶	可逆反应参与物	支链氨基酸（含异亮氨酸）转氨反应连接谷氨酸。	https://enzyme.expasy.org/EC/2.6.1.42 ; https://www.uniprot.org/uniprotkb/P54687/entry	P54687	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R021	KEGG:C00025|BCAT1	NOT_RUN	NOT_RUN	M190E0009
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	BCAT2	酶	可逆反应参与物	支链氨基酸（含异亮氨酸）转氨反应连接谷氨酸。	https://enzyme.expasy.org/EC/2.6.1.42 ; https://www.uniprot.org/uniprotkb/O15382/entry	O15382	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R021	KEGG:C00025|BCAT2	NOT_RUN	NOT_RUN	M190E0010
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	FOLH1	酶	水解产物	NAAG或γ-Glu-Glu等底物的水解释放末端谷氨酸。	https://enzyme.expasy.org/EC/3.4.17.21 ; https://www.uniprot.org/uniprotkb/Q04609/entry	Q04609	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	人源直接反应候选；乳腺组织是否有相应活性尚未测定。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R031	KEGG:C00025|FOLH1	NOT_RUN	NOT_RUN	M190E0011
