cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	source_row_1based	review_route	focus5	new_review_ids	inherited_evidence_ids	inherited_review_note	inherited_metabolic_link	inherited_counterevidence	independent_patient_association	actual_metabolite_coverage	actual_RNA_or_protein_coverage	paired_specimen_identity	exact_metabolite_identity_requirement	functional_decision	existing_arrangement	new_arrangement_review	next_dataset_action	proof_status
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C02918	1-methylnicotinamide	NNMT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	1	EXACT_METABOLITE_FOLLOWUP	False	NA	E06;E07;E08	Reuse prior recorded depth;not fresh exhaustive full-text review	1-MNA与SAM两条名义关联提供患者背景，但不是新机制	已知轴研究较多；癌细胞与基质作用需要区分	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C02918; exact annotated feature required, no related-metabolite substitution	For1-MNA quantify exact product after NNMT perturbation and physiological-dose mediation;for SAM separately measure SAM/SAH/methyl-donor effects;do not transfer1-MNA rescue to SAM	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00631	2-phosphoglycerate	BPGM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	2	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA		Reuse prior recorded depth;not fresh exhaustive full-text review	2-PG患者线索对可用性高度敏感	子集n=11，rho约0.209、P约0.540；其他癌种不作CRC验证	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00631; exact annotated feature required, no related-metabolite substitution	2-PG usable patient subset n11 is fragile;confirm feature identity and relation before functional escalation	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00631	2-phosphoglycerate	ENO2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	3	SEPARATE_METABOLIC_AND_NONCATALYTIC	True	F02;F03	E09;E10	Reuse prior recorded depth;not fresh exhaustive full-text review	部分功能为CYTOR/YAP1相关、糖酵解非依赖	2-PG可用性子集n=11、rho约0.073；功能存在不等于当前2-PG机制成立	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00631; exact annotated feature required, no related-metabolite substitution	First confirm2-PG coverage/identity and patient subset sensitivity;compare catalytic versus CYTOR-related function in specified model	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00631	2-phosphoglycerate	PGAM2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	4	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA		Reuse prior recorded depth;not fresh exhaustive full-text review	2-PG可用性分析只剩11人且相关约-0.055	不能借用PGAM1论文；小样本不证明无功能但当前信号不足	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00631; exact annotated feature required, no related-metabolite substitution	2-PG coverage and PGAM2 versus PGAM1 identity first;no PGAM1 function substitution	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C04501	N-Acetylglucosamine 1-phosphate	UAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	5	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E36	Reuse prior recorded depth;not fresh exhaustive full-text review	GlcNAc-1P候选关系不等于糖基化表型已被证明	UAP1L1、GFPT1或其他通路基因不能替代UAP1	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C04501; exact annotated feature required, no related-metabolite substitution	Require N-Acetylglucosamine 1-phosphate readout after exact UAP1 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C01042	N-acetylaspartate (NAA)	ASPA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	6	SEPARATE_METABOLIC_AND_NONCATALYTIC	True	F04	E40	Reuse prior recorded depth;not fresh exhaustive full-text review	NAA关系有名义患者线索，不能靠相似名称补功能	ASPN/asporin不是ASPA；E40仅作为排除记录	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C01042; exact annotated feature required, no related-metabolite substitution	Measure NAA turnover separately from E178D/TGFβ noncatalytic effects;CRC stromal genetic/metabolite mediation remains missing	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00019	S-adenosylmethionine (SAM)	ICMT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	7	MEASURE_EXACT_METABOLITE_AND_MEDIATION	True	F06;F07	E19;E20	Reuse prior recorded depth;not fresh exhaustive full-text review	SAM是广泛甲基供体；未证明当前SAM相关介导	ICMT敲低减弱某药杀伤，不可改写成敲低本身抑瘤	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00019; exact annotated feature required, no related-metabolite substitution	Distinguish gene/drug target rescue from SAM-mediated rescue;measure exact SAM/SAH and relevant protein methylation in applicable cell context	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00019	S-adenosylmethionine (SAM)	KMT5A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	8	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E11;E12	Reuse prior recorded depth;not fresh exhaustive full-text review	特定蛋白位点甲基化不能由bulk SAM—总RNA直接判断	不应合成一个统一的抑制建议；模型、底物和终点均需拆分	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00019; exact annotated feature required, no related-metabolite substitution	Require S-adenosylmethionine (SAM) readout after exact KMT5A manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00019	S-adenosylmethionine (SAM)	NNMT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	9	METHYL_DONOR_SPECIFIC_GAP	False	NA	E06;E07;E08	Reuse prior recorded depth;not fresh exhaustive full-text review	1-MNA与SAM两条名义关联提供患者背景，但不是新机制	已知轴研究较多；癌细胞与基质作用需要区分	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00019; exact annotated feature required, no related-metabolite substitution	For1-MNA quantify exact product after NNMT perturbation and physiological-dose mediation;for SAM separately measure SAM/SAH/methyl-donor effects;do not transfer1-MNA rescue to SAM	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00019	S-adenosylmethionine (SAM)	PRMT7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	10	ISOFORM_AND_MEDIATOR_GAP	False	NA	E16	Reuse prior recorded depth;not fresh exhaustive full-text review	总RNA与SAM相关无法区分V1/V2及位点甲基化	剪接背景未明时不能推广到全PRMT7或所有CRC	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00019; exact annotated feature required, no related-metabolite substitution	Gene-level SAM association remains separate from splice-event function;verify actual isoform measurement and substrate methylation	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
