cancer	source_row_1based	metabolite_key	gene	dataset_id	dataset_decision	relation_ready	feature_presence	gene_presence	reason
COAD	1	KEGG:C02918	NNMT	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	1	KEGG:C02918	NNMT	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	1	KEGG:C02918	NNMT	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	1	KEGG:C02918	NNMT	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	1	KEGG:C02918	NNMT	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	1	KEGG:C02918	NNMT	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	1	KEGG:C02918	NNMT	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	1	KEGG:C02918	NNMT	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	1	KEGG:C02918	NNMT	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	2	KEGG:C00631	BPGM	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	2	KEGG:C00631	BPGM	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	2	KEGG:C00631	BPGM	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	2	KEGG:C00631	BPGM	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	2	KEGG:C00631	BPGM	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	2	KEGG:C00631	BPGM	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	2	KEGG:C00631	BPGM	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	2	KEGG:C00631	BPGM	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	2	KEGG:C00631	BPGM	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	3	KEGG:C00631	ENO2	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	3	KEGG:C00631	ENO2	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	3	KEGG:C00631	ENO2	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	3	KEGG:C00631	ENO2	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	3	KEGG:C00631	ENO2	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	3	KEGG:C00631	ENO2	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	3	KEGG:C00631	ENO2	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	3	KEGG:C00631	ENO2	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	3	KEGG:C00631	ENO2	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	4	KEGG:C00631	PGAM2	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	4	KEGG:C00631	PGAM2	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	4	KEGG:C00631	PGAM2	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	4	KEGG:C00631	PGAM2	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	4	KEGG:C00631	PGAM2	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	4	KEGG:C00631	PGAM2	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	4	KEGG:C00631	PGAM2	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	4	KEGG:C00631	PGAM2	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	4	KEGG:C00631	PGAM2	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	5	KEGG:C04501	UAP1	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	5	KEGG:C04501	UAP1	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	5	KEGG:C04501	UAP1	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	5	KEGG:C04501	UAP1	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	5	KEGG:C04501	UAP1	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	5	KEGG:C04501	UAP1	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	5	KEGG:C04501	UAP1	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	5	KEGG:C04501	UAP1	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	5	KEGG:C04501	UAP1	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	6	KEGG:C01042	ASPA	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	6	KEGG:C01042	ASPA	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	6	KEGG:C01042	ASPA	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	6	KEGG:C01042	ASPA	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	6	KEGG:C01042	ASPA	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	6	KEGG:C01042	ASPA	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	6	KEGG:C01042	ASPA	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	6	KEGG:C01042	ASPA	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	6	KEGG:C01042	ASPA	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	7	KEGG:C00019	ICMT	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	7	KEGG:C00019	ICMT	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	7	KEGG:C00019	ICMT	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	7	KEGG:C00019	ICMT	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	7	KEGG:C00019	ICMT	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	7	KEGG:C00019	ICMT	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	7	KEGG:C00019	ICMT	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	7	KEGG:C00019	ICMT	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	7	KEGG:C00019	ICMT	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	8	KEGG:C00019	KMT5A	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	8	KEGG:C00019	KMT5A	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	8	KEGG:C00019	KMT5A	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	8	KEGG:C00019	KMT5A	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	8	KEGG:C00019	KMT5A	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	8	KEGG:C00019	KMT5A	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	8	KEGG:C00019	KMT5A	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	8	KEGG:C00019	KMT5A	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	8	KEGG:C00019	KMT5A	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	9	KEGG:C00019	NNMT	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	9	KEGG:C00019	NNMT	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	9	KEGG:C00019	NNMT	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	9	KEGG:C00019	NNMT	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	9	KEGG:C00019	NNMT	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	9	KEGG:C00019	NNMT	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	9	KEGG:C00019	NNMT	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	9	KEGG:C00019	NNMT	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	9	KEGG:C00019	NNMT	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	10	KEGG:C00019	PRMT7	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	10	KEGG:C00019	PRMT7	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	10	KEGG:C00019	PRMT7	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	10	KEGG:C00019	PRMT7	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	10	KEGG:C00019	PRMT7	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	10	KEGG:C00019	PRMT7	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	10	KEGG:C00019	PRMT7	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	10	KEGG:C00019	PRMT7	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	10	KEGG:C00019	PRMT7	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	11	KEGG:C00147	AQP9	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	11	KEGG:C00147	AQP9	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	11	KEGG:C00147	AQP9	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	11	KEGG:C00147	AQP9	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	11	KEGG:C00147	AQP9	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	11	KEGG:C00147	AQP9	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	11	KEGG:C00147	AQP9	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	11	KEGG:C00147	AQP9	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	11	KEGG:C00147	AQP9	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	12	KEGG:C03794	ADSS2	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	12	KEGG:C03794	ADSS2	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	12	KEGG:C03794	ADSS2	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	12	KEGG:C03794	ADSS2	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	12	KEGG:C03794	ADSS2	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	12	KEGG:C03794	ADSS2	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	12	KEGG:C03794	ADSS2	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	12	KEGG:C03794	ADSS2	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	12	KEGG:C03794	ADSS2	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	13	KEGG:C00152	SLC38A3	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	13	KEGG:C00152	SLC38A3	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	13	KEGG:C00152	SLC38A3	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	13	KEGG:C00152	SLC38A3	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	13	KEGG:C00152	SLC38A3	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	13	KEGG:C00152	SLC38A3	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	13	KEGG:C00152	SLC38A3	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	13	KEGG:C00152	SLC38A3	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	13	KEGG:C00152	SLC38A3	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	14	KEGG:C00386	SLC15A3	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	14	KEGG:C00386	SLC15A3	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	14	KEGG:C00386	SLC15A3	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	14	KEGG:C00386	SLC15A3	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	14	KEGG:C00386	SLC15A3	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	14	KEGG:C00386	SLC15A3	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	14	KEGG:C00386	SLC15A3	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
COAD	14	KEGG:C00386	SLC15A3	D08	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Potential model resource,not independent human tumor cohort
COAD	14	KEGG:C00386	SLC15A3	D09	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Expression validation of metabolomic pathway is not matched metabolite-RNA validation
COAD	15	KEGG:C00475	NT5C3A	D01	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Promising but no usable matched tables verified;data-availability statement conflicts with reported generated data
COAD	15	KEGG:C00475	NT5C3A	D02	PARTIAL	False	NOT_VERIFIED	NOT_VERIFIED	Metastatic liver context and prior chemotherapy;not primary colon validation
COAD	15	KEGG:C00475	NT5C3A	D03	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Wrong tissue for within-colon-tumor relation
COAD	15	KEGG:C00475	NT5C3A	D04	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	No matching metabolite measurements established at inspected entry;not claim no metabolomics could exist elsewhere
COAD	15	KEGG:C00475	NT5C3A	D05	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Must not relabel original data as independent external validation
COAD	15	KEGG:C00475	NT5C3A	D06	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Pathway integration across different patients cannot test individual metabolite-RNA correlation
COAD	15	KEGG:C00475	NT5C3A	D07	NOT_EVALUABLE	False	NOT_VERIFIED	NOT_VERIFIED	Mouse proteomics cannot be joined to human metabolites;BCAA presence alone insufficient
