基因	候选范围	是否新增	本轮直接关系数	对应代谢物	配对RNA效应_作者尺度	配对RNA新版q	肿瘤RNA较高对数	肿瘤RNA较低对数	CAMP本轮q小于005关系	FUSCC本轮q小于005关系	Tang本轮q小于005关系	FUSCC下载受阻关系数	功能证据	功能限制	当前决定
AASS	CURRENT150	False	1	lysine	-0.9286377387477608	2.1012598171359035e-08	8.0	37.0	KEGG:C00047|AASS			0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留患者关联线索；逐关系比较效应、缺失及外部支持
ABHD12	CURRENT150	True	8	arachidonate (20:4n6);oleate (18:1n9);stearate (18:0);1-palmitoylglycerol (1-monopalmitin);laurate (12:0);1-oleoylglycerophosphocholine;myristate (14:0);1-stearoylglycerol (18:0)	0.3082913149348327	2.0690202620492247e-05	38.0	7.0				5.0	BRCA_GENETIC	MCF7;MDA-MB-231：摘要层；不能证明当前脂质介导	保留候选；患者未显著或缺测不取消功能证据
ABHD6	CURRENT150	True	4	arachidonate (20:4n6);oleate (18:1n9);laurate (12:0);myristate (14:0)	-0.6699259475043946	5.3948770372800775e-08	4.0	41.0				4.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
ACLY	HISTORICAL6_ONLY	False	0		NA	NA	NA	NA	HISTORICAL_ONLY	HISTORICAL_ONLY	HISTORICAL_ONLY	NA	有乳腺癌遗传干预报告	S001：LMW-E特定背景；不是全部乳腺癌普遍依赖	历史保留：不在当前190入口，已有结果不删除
ACSL1	CURRENT150	True	2	arachidonate (20:4n6);oleate (18:1n9)	-1.2687684910765842	2.4979278329919856e-07	7.0	38.0				2.0	BRCA_GENETIC	MDA-MB-231;TNFalpha条件：直接终点是炎症因子；triacsin C并非单基因特异证明	保留候选；患者未显著或缺测不取消功能证据
ACSL3	CURRENT150	True	7	arachidonate (20:4n6);oleate (18:1n9);stearate (18:0);laurate (12:0);myristate (14:0);eicosapentaenoate (EPA; 20:5n3);docosahexaenoate (DHA; 22:6n3)	0.1873726671977361	0.2009659335072196	28.0	17.0				6.0	BRCA_GENETIC_DIRECTION_CAUTION	MCF7;MDA-MB-231：不能直接建议抑制；原研究新数据需申请	保留候选；患者未显著或缺测不取消功能证据
ACSL4	CURRENT150	True	4	arachidonate (20:4n6);eicosapentaenoate (EPA; 20:5n3);docosahexaenoate (DHA; 22:6n3);adrenate (22:4n6)	-0.5177084437759162	0.0002855462361715	11.0	34.0				2.0	BRCA_GENETIC	TNBC;MDA-MB-231 RNA实验：脂肪酸氧化与表观调控背景；不是全部BRCA通用结论 | 乳腺癌细胞及肺转移模型：与ZEB2共同背景；不是独立患者复现	保留候选；患者未显著或缺测不取消功能证据
ACSL5	CURRENT150	True	2	arachidonate (20:4n6);oleate (18:1n9)	-0.4308619286842517	0.0015558099514481	14.0	31.0				2.0	BRCA_FUNCTION_CONTEXT;BRCA_GENETIC_DIRECTION_CAUTION	MDA-MB-231;BT-549;COL I：体外COL I环境；不推广至肺转移营养背景 | 肺偏好转移乳腺癌;富棕榈酸环境：摘要未逐项区分基因构建；与COL I模型方向不可简单合并	保留候选；患者未显著或缺测不取消功能证据
ACSL6	CURRENT150	True	1	arachidonate (20:4n6)	0.0627445359168109	0.1103657429902443	28.0	17.0				1.0	FUNCTION_MODEL_DETAIL_PENDING	结直肠癌与乳腺癌;DHA条件：需分开乳腺与结直肠各实验；不能把肠癌小鼠疗效转到乳腺癌	保留候选；患者未显著或缺测不取消功能证据
ACSM1	CURRENT150	True	2	laurate (12:0);myristate (14:0)	-0.2297525710082596	0.3811329901011446	21.0	24.0				2.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
