cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	feature_id	relation_id	stable_gene_id	n_tumor_linked	same_cohort_postselection	B	bootstrap_total	bootstrap_valid	seed	p_method	rho	ci_method	family_n_planned	evidence_label
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	REL_TUMOR_PRIMARY	KEGG:C00864	pantothenate	PANK1	author_patient	17	17	Spearman_rho	-0.18382352941176472	-0.653919149492641	0.3910891089108911	0.4813	0.883505223880597	REL_TUMOR_PRIMARY	221.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ccRCC3_FEATURE:018036c623a9c65d	ccRCC3_FEATURE:018036c623a9c65d|PANK1	ENSG00000152782	17	True	9999	4000	4000	3459637662	9999_patient_permutations_plus1	-0.18382352941176472	pointwise_whole_patient_percentile_bootstrap	221.0	NOT_SUPPORTED_THIS_TEST
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	REL_TUMOR_AVAILABLE	KEGG:C00864	pantothenate	PANK1	author_patient	17	17	Spearman_rho	-0.18382352941176472	-0.6595863470777678	0.39502217223650393	0.4799	0.8883918367346939	REL_TUMOR_AVAILABLE	216.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ccRCC3_FEATURE:018036c623a9c65d	ccRCC3_FEATURE:018036c623a9c65d|PANK1	ENSG00000152782	17	True	9999	4000	4000	2998052816	9999_patient_permutations_plus1	-0.18382352941176472	pointwise_whole_patient_percentile_bootstrap	221.0	NOT_SUPPORTED_THIS_TEST
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	REL_TUMOR_TREATMENT_STRATIFIED	KEGG:C00864	pantothenate	PANK1	author_patient	17	17	Spearman_rho	-0.18382352941176472	-0.6463518433494617	0.36711990111248455	0.4848	0.878432824427481	REL_TUMOR_TREATMENT_STRATIFIED	221.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ccRCC3_FEATURE:018036c623a9c65d	ccRCC3_FEATURE:018036c623a9c65d|PANK1	ENSG00000152782	17	True	9999	4000	4000	4165611376	9999_within_exact_author_treatment_permutations_plus1	-0.18382352941176472	pointwise_treatment_stratified_whole_patient_percentile_bootstrap	221.0	NOT_SUPPORTED_THIS_TEST
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	REL_TUMOR_PRIMARY	KEGG:C00864	pantothenate	PANK2	author_patient	17	17	Spearman_rho	0.041666666666666664	-0.5215809722877962	0.5995683011959289	0.8748	0.952368472906404	REL_TUMOR_PRIMARY	221.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ccRCC3_FEATURE:018036c623a9c65d	ccRCC3_FEATURE:018036c623a9c65d|PANK2	ENSG00000125779	17	True	9999	4000	4000	2672752220	9999_patient_permutations_plus1	0.041666666666666664	pointwise_whole_patient_percentile_bootstrap	221.0	NOT_SUPPORTED_THIS_TEST
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	REL_TUMOR_AVAILABLE	KEGG:C00864	pantothenate	PANK2	author_patient	17	17	Spearman_rho	0.041666666666666664	-0.5094444186262663	0.6049934193816529	0.8774	0.9631187817258883	REL_TUMOR_AVAILABLE	216.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ccRCC3_FEATURE:018036c623a9c65d	ccRCC3_FEATURE:018036c623a9c65d|PANK2	ENSG00000125779	17	True	9999	4000	4000	4051074450	9999_patient_permutations_plus1	0.041666666666666664	pointwise_whole_patient_percentile_bootstrap	221.0	NOT_SUPPORTED_THIS_TEST
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	REL_TUMOR_TREATMENT_STRATIFIED	KEGG:C00864	pantothenate	PANK2	author_patient	17	17	Spearman_rho	0.041666666666666664	-0.5080908752962315	0.5901459314676273	0.8821	0.960315763546798	REL_TUMOR_TREATMENT_STRATIFIED	221.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ccRCC3_FEATURE:018036c623a9c65d	ccRCC3_FEATURE:018036c623a9c65d|PANK2	ENSG00000125779	17	True	9999	4000	4000	2974233335	9999_within_exact_author_treatment_permutations_plus1	0.041666666666666664	pointwise_treatment_stratified_whole_patient_percentile_bootstrap	221.0	NOT_SUPPORTED_THIS_TEST
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	REL_TUMOR_PRIMARY	KEGG:C00864	pantothenate	PANK3	author_patient	17	17	Spearman_rho	0.45098039215686275	-0.10947813145134186	0.8294190358467244	0.0727	0.6032481481481482	REL_TUMOR_PRIMARY	221.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ccRCC3_FEATURE:018036c623a9c65d	ccRCC3_FEATURE:018036c623a9c65d|PANK3	ENSG00000120137	17	True	9999	4000	4000	4294217586	9999_patient_permutations_plus1	0.45098039215686275	pointwise_whole_patient_percentile_bootstrap	221.0	NOT_SUPPORTED_THIS_TEST
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	REL_TUMOR_AVAILABLE	KEGG:C00864	pantothenate	PANK3	author_patient	17	17	Spearman_rho	0.45098039215686275	-0.10124712802132156	0.8280730513047909	0.0711	0.52488	REL_TUMOR_AVAILABLE	216.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ccRCC3_FEATURE:018036c623a9c65d	ccRCC3_FEATURE:018036c623a9c65d|PANK3	ENSG00000120137	17	True	9999	4000	4000	2554404187	9999_patient_permutations_plus1	0.45098039215686275	pointwise_whole_patient_percentile_bootstrap	221.0	NOT_SUPPORTED_THIS_TEST
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	REL_TUMOR_TREATMENT_STRATIFIED	KEGG:C00864	pantothenate	PANK3	author_patient	17	17	Spearman_rho	0.45098039215686275	-0.06868023881039789	0.8143564356435643	0.0808	0.6868	REL_TUMOR_TREATMENT_STRATIFIED	221.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ccRCC3_FEATURE:018036c623a9c65d	ccRCC3_FEATURE:018036c623a9c65d|PANK3	ENSG00000120137	17	True	9999	4000	4000	2548768267	9999_within_exact_author_treatment_permutations_plus1	0.45098039215686275	pointwise_treatment_stratified_whole_patient_percentile_bootstrap	221.0	NOT_SUPPORTED_THIS_TEST
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	REL_TUMOR_PRIMARY	KEGG:C01157	trans-4-hydroxyproline	PRODH2	author_patient	17	17	Spearman_rho	-0.24754901960784315	-0.7103807740324594	0.3001276231501596	0.3374	0.8313	REL_TUMOR_PRIMARY	221.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ccRCC3_FEATURE:01f98a6d8796d4cb	ccRCC3_FEATURE:01f98a6d8796d4cb|PRODH2	ENSG00000250799	17	True	9999	4000	4000	211368998	9999_patient_permutations_plus1	-0.24754901960784315	pointwise_whole_patient_percentile_bootstrap	221.0	NOT_SUPPORTED_THIS_TEST
