gene	module	kME	rank_in_module
DHPS	turquoise	0.307664341716071	729
ENSG00000233461	red	0.303913678694828	246
MRPS18C	red	0.585909342776969	82
DNAJC9	green	0.704920082342223	22
PMPCB	grey	NA	NA
DNAJC7	black	0.588648716598793	51
OXA1L	grey	NA	NA
TMEM126A	grey	NA	NA
CHD9	yellow	0.443343525364921	236
CHD4	grey	NA	NA
C14orf119	red	0.465430202099576	156
BCL2L1	turquoise	0.558309131086365	231
APIP	grey	NA	NA
GINM1	turquoise	0.427892957454857	467
ADK	blue	0.422264417124646	406
RB1CC1	yellow	0.44419735686252	234
ZFAND1	grey	NA	NA
SPHK1	grey	NA	NA
H3-5	magenta	0.67499590107137	25
FNBP4	yellow	0.63102760377848	67
IGKV3-11	grey	NA	NA
CARD19	turquoise	0.427078012398628	470
C19orf48P	grey	NA	NA
IFT57	blue	0.356924540940741	535
DYNLT3	grey	NA	NA
PPP1R14B	grey	NA	NA
C9orf78	blue	0.42914406429342	390
SHMT2	green	0.567212520281114	100
CCDC167	red	0.624870394464145	66
PRPF19	blue	0.381543571904377	493
CCDC90B	blue	0.450737765488964	345
LUC7L2	grey	NA	NA
TMEM176A	turquoise	0.398058102021549	537
GGNBP2	magenta	0.318821017665641	173
CD320	grey	NA	NA
SMIM7	pink	0.638096690846727	61
TWF1	grey	NA	NA
NOP56	grey	NA	NA
NOLC1	green	0.500218384130375	175
BRD4	yellow	0.587599520064183	101
TCEAL9	greenyellow	0.45663938618806	118
ROCK1	grey	NA	NA
EBLN3P	turquoise	0.53674500038516	258
RAB8A	black	0.327513132430992	224
GDE1	brown	0.385081317343269	377
TRPT1	tan	0.476161940018132	76
KLF10	yellow	0.539207963712409	140
MRPL58	blue	0.369647389721632	520
PDLIM4	grey	NA	NA
ANKRD28	turquoise	0.416926528811821	501
UBAC2	grey	NA	NA
SUCO	brown	0.573260692913953	93
TSEN15	grey	NA	NA
CDIPT	grey	NA	NA
TMEM126B	pink	0.429652190323403	164
IFT43	black	0.547979765641738	78
PDXK	salmon	0.540284391989419	60
TRABD	grey	NA	NA
PHIP	grey	NA	NA
BET1	pink	0.41927916497361	168
VTCN1	grey	NA	NA
MRPS25	red	0.496132878834237	131
MAP4	grey	NA	NA
PPP1R35	brown	0.411471588398809	345
MARCHF5	grey	NA	NA
CACUL1	grey	NA	NA
SPTSSB	brown	0.360818338766266	406
RND3	grey	NA	NA
GGH	blue	0.59451963167572	124
PARL	blue	0.519085702639992	228
COA5	turquoise	0.369747571952373	597
UBE2J1	grey	NA	NA
CAPN1	grey	NA	NA
DDA1	grey	NA	NA
KRCC1	grey	NA	NA
EIF2AK2	midnightblue	0.559216135454255	28
SERPINE2	tan	-0.172790691427076	145
COA1	grey	NA	NA
BECN1	turquoise	0.392337570453293	546
GABRP	salmon	0.613883965511835	26
NIPSNAP1	purple	0.46568177624047	114
WBP1	tan	0.792366798462444	6
GOLGA2	brown	0.449073546930503	273
ITFG1	black	0.548272399775078	77
NABP2	green	0.471417477545734	213
MSI2	turquoise	0.792460511896107	12
SDF2	magenta	0.538036243217899	74
MED8	green	0.528373285300079	134
EPB41L4A-AS1	purple	0.424472269797117	126
PPP2R2A	yellow	0.469347799561078	211
GAL	green	0.445575737404529	240
HMOX2	grey	NA	NA
CANT1	magenta	0.464685880119457	122
CXCL1	lightcyan	0.421705707952593	20
STX10	grey	NA	NA
SCPEP1	black	0.452548310197726	153
RUVBL1	green	0.572237766899106	97
RAMAC	black	0.369671386248392	210
SUN1	yellow	0.428357818175005	253
MRPS11	grey	NA	NA
IGKV4-1	blue	0.425710307910584	397
ACAP2	brown	0.447670131028659	277
CTNND1	brown	0.564118443353013	100
GDI1	grey	NA	NA
RRP7A	blue	0.419368405304801	413
BRWD1	turquoise	0.545586742750512	243
CDK1	greenyellow	0.802990011835618	7
CDH1	brown	0.518349807550256	167
FBXW5	grey	NA	NA
EIF2S1	blue	0.542231124280936	190
NBN	grey	NA	NA
SECISBP2	brown	0.41511438987598	336
CEP57	green	0.404779594679192	268
POGZ	yellow	0.575865075495095	108
EML4	salmon	0.561066453670838	50
SUCLG2	grey	NA	NA
BID	salmon	0.676774456751277	11
COMMD4	grey	NA	NA
BCKDK	turquoise	0.333816401611488	676
LSM12	grey	NA	NA
C17orf58	turquoise	0.738335798771677	36
TMCO3	brown	0.516249519596468	169
ENSG00000235978	turquoise	0.460747600888075	398
TRIM47	salmon	0.583542284604348	45
CAPN8	brown	0.54473457624216	132
TRAF7	green	0.460998245855899	224
CEBPZOS	grey	NA	NA
LYST	brown	0.404660125912761	352
RNF115	grey	NA	NA
KRT6B	lightcyan	0.504278293501303	10
PRPF31	blue	0.65909707360594	65
SURF1	black	0.370222405827121	209
INO80E	brown	0.446700749013328	279
OS9	black	0.506133066368645	110
GUSB	black	0.459414206104669	148
TRIM28	grey	NA	NA
WTAP	grey	NA	NA
CLIC3	cyan	0.524067473214138	30
BCL3	yellow	0.657031366879406	51
AKT1S1	blue	0.366621983688789	525
NUDT14	grey	NA	NA
FNBP1L	brown	0.561372759426729	104
AK1	red	0.478307829583964	147
SLC44A1	turquoise	0.580390063465208	213
BLOC1S2	grey	NA	NA
CTSZ	grey	NA	NA
IDH3B	blue	0.624094604450438	99
SNHG12	yellow	0.518225037326864	160
METTL23	grey	NA	NA
AMFR	red	0.371110085555925	215
DBNL	grey	NA	NA
SLC25A11	blue	0.430715426837564	385
ACTR10	black	0.566825101526225	62
ESF1	red	0.37396407063753	211
CMC1	red	0.489644672329446	137
ORMDL3	turquoise	0.472179064008686	382
SUPT16H	blue	0.481114317125781	287
GRPEL1	red	0.45738395957141	161
NOP16	blue	0.457030625723878	327
CREB3L1	brown	0.525468505375706	158
CFAP68	grey	NA	NA
SVIP	pink	0.498052084406938	126
TIMM50	blue	0.582164609752356	134
G3BP2	brown	0.454710818115347	262
LAD1	green	0.500297535670497	174
STAP2	grey	NA	NA
FAM3B	black	0.508102964804472	109
CDK12	grey	NA	NA
ADSL	green	0.653382224227398	45
VEGFA	grey	NA	NA
PUM3	salmon	0.635588354145492	21
SCNM1	blue	0.46871587097943	304
RGL2	turquoise	0.616841716169094	163
CCDC59	grey	NA	NA
FUCA2	blue	0.377188216362627	501
SNAP23	grey	NA	NA
FADS2	grey	NA	NA
SRPRA	grey	NA	NA
QRSL1	green	0.520917081740916	144
TBX3	turquoise	0.738637561380998	35
EXOSC5	grey	NA	NA
NUDT22	grey	NA	NA
LDOC1	grey	NA	NA
BMPR1B	turquoise	0.431405335783685	457
TMEM176B	turquoise	0.486301415849552	346
PHF20L1	black	0.540650295715657	81
HNRNPL	brown	0.488516093081911	207
PEPD	blue	0.51529441265878	235
ZCCHC17	blue	0.459266654357806	323
CDC20	greenyellow	0.83006387064206	3
THBS1	yellow	0.689814349657997	38
SMAP1	green	0.442437019452371	246
LINC00665	grey	NA	NA
DHCR7	grey	NA	NA
VPS37A	turquoise	0.496343827563334	316
ZDHHC12	grey	NA	NA
MBOAT2	brown	0.357392067520703	413
PTGES2	blue	0.593267059154832	126
ISCA1	grey	NA	NA
GCC2	turquoise	0.422652631527374	482
ZNHIT3	grey	NA	NA
CMC2	blue	0.572757098441211	148
TM9SF3	grey	NA	NA
PIGC	grey	NA	NA
INTS11	grey	NA	NA
TP53I11	brown	0.563883329747675	102
HSD17B12	blue	0.435969654106403	372
CAPNS1	grey	NA	NA
SRM	green	0.369250344924957	287
COPS7A	tan	0.457689882094144	80
ETFRF1	grey	NA	NA
PPP4R2	grey	NA	NA
TRAPPC4	blue	0.476189925787413	293
H1-10	brown	0.445307787118918	284
SIGMAR1	green	0.500757641712722	173
HBS1L	blue	0.503170223584876	258
HBP1	brown	0.440039121296756	296
NMB	salmon	0.515845663633386	70
STK17A	green	0.392887920861188	276
KLK6	grey	NA	NA
ARID5B	grey	NA	NA
IFT20	grey	NA	NA
PHF20	black	0.481212983796175	128
FAM120A	brown	0.570774954321612	97
PLA2G12A	turquoise	0.427497391902319	468
RAB9A	grey	NA	NA
BFAR	purple	0.346202642028454	147
PALLD	grey	NA	NA
C18orf32	magenta	0.567764662639124	66
ZC3H12A	yellow	0.650628246526269	55
ELOF1	grey	NA	NA
SLC35B1	black	0.449879830999764	156
EAPP	black	0.634260509661336	36
TNFRSF11B	grey	NA	NA
KRR1	blue	0.455223516648124	333
NUSAP1	greenyellow	0.791352088811888	9
C5orf15	turquoise	0.59573400828419	190
BPTF	turquoise	0.421018251521259	490
H2AC25	grey	NA	NA
TMEM45A	salmon	0.603807884759963	31
ATP6V1E1	pink	0.422900223188349	167
FAM200B	grey	NA	NA
MPHOSPH10	blue	0.376484054996922	503
MKNK2	yellow	0.567879498568751	118
QTRT1	turquoise	0.488685212581798	341
SNRNP40	blue	0.546038273250941	185
DYNC1LI2	green	0.40985360501537	263
COPB1	turquoise	0.560947357503692	228
PRPSAP1	blue	0.468094380592587	306
CRB3	turquoise	0.370110751635594	596
BAIAP2	turquoise	0.442159053072264	434
PSMG4	grey	NA	NA
DHX36	grey	NA	NA
ETS2	yellow	0.499396438103563	179
ATF6B	black	0.68262158622009	17
COPS2	tan	0.345238577916161	128
KRT14	lightcyan	0.473193884969955	13
CIMAP1B	grey	NA	NA
STARD3NL	grey	NA	NA
MYBPC1	grey	NA	NA
TAF15	grey	NA	NA
SRPRB	grey	NA	NA
CLPTM1	blue	0.414891077892941	423
ECHDC2	turquoise	0.422580906864839	483
TRMT10C	grey	NA	NA
MPHOSPH6	blue	0.436856691808789	367
TMEM150C	turquoise	0.597783351452522	184
NFIX	grey	NA	NA
SMCO4	green	0.503737489472906	168
FBLIM1	green	0.601990372116842	72
RUNX1	yellow	0.594666191648369	92
GSDMD	turquoise	0.571867845945563	219
COPG1	grey	NA	NA
POLB	turquoise	0.324407074971138	694
SNW1	black	0.665721394126139	25
ABHD12	black	0.525408427560097	90
DPH3	red	0.47858860954346	146
NPM3	greenyellow	0.484547476661101	106
VAMP2	pink	0.597142870727165	80
SPPL2A	grey	NA	NA
CFAP36	grey	NA	NA
UBE2G1	grey	NA	NA
TFPT	grey	NA	NA
BCL7C	grey	NA	NA
CPE	pink	0.416890548690613	170
PEX2	magenta	0.386361669898016	160
GFPT1	grey	NA	NA
OSTF1	red	0.468537307506383	155
SLC12A2	brown	0.422402818806729	325
DALRD3	brown	0.621202296624464	51
PLK3	yellow	0.751907085383781	16
FAM110A	grey	NA	NA
ZC3H11A	yellow	0.537831507935771	141
COL3A1	grey	NA	NA
CFAP97	grey	NA	NA
WDR33	grey	NA	NA
SMARCA5	grey	NA	NA
WAC	grey	NA	NA
CYP4B1	brown	0.346658191291361	421
MAP1B	grey	NA	NA
RPUSD3	green	0.506252667193537	160
PTPMT1	magenta	0.453544308364667	129
ALDH7A1	blue	0.376549297304464	502
ARL2BP	grey	NA	NA
SRP54	black	0.550882810512755	72
CHD2	yellow	0.677736585814339	44
TFAM	green	0.556937250989375	106
TMC4	turquoise	0.66847081378279	89
ZBTB8OS	blue	0.394704131903459	466
SREK1	black	0.549304343270203	74
C1orf198	grey	NA	NA
MRPL16	blue	0.639298154457724	84
ISCA2	black	0.45208128895935	154
FBXO7	grey	NA	NA
DDX1	blue	0.670887743468171	56
CYTH2	black	0.592616962697198	50
IFRD2	grey	NA	NA
CTSL	turquoise	0.345232487630304	657
FAH	grey	NA	NA
CTBP2	grey	NA	NA
SAP30BP	red	0.459015634617958	160
RASSF7	brown	0.47753544345277	224
PPP4R3B	red	0.338294048587399	234
ACAT1	pink	0.326975078244215	208
MYG1	grey	NA	NA
UBE2J2	blue	0.462704201577056	316
LIMA1	turquoise	0.458931216053932	405
CCDC25	grey	NA	NA
DCAF6	grey	NA	NA
ACTR3B	salmon	0.596234206888009	37
ETNK1	yellow	0.388863531916054	276
NRBP1	grey	NA	NA
SF3A2	tan	0.598635426525634	32
ATG12	grey	NA	NA
LAMTOR3	magenta	0.533475549063959	78
CCNB1	greenyellow	0.761935467973678	14
SLC25A4	black	0.508456419405624	108
GLRX2	grey	NA	NA
GNB1	grey	NA	NA
SLX9	green	0.384551636274267	282
NDUFAF4	blue	0.548295560979712	180
OGA	turquoise	0.465861940141796	389
PWP1	grey	NA	NA
TWF2	tan	0.458274534907892	79
SERPINB6	turquoise	0.325962441372085	689
ANKRD10	yellow	0.48072215917625	200
MBD4	grey	NA	NA
GSK3B	grey	NA	NA
RABEP1	turquoise	0.654013743797254	109
U2AF2	blue	0.412488011969693	427
TFAP2C	grey	NA	NA
MED4	blue	0.46905960144457	303
EDN1	grey	NA	NA
CHMP4A	pink	0.913060921627488	5
MRPS24	tan	0.699079028425901	14
DERL2	red	0.630704424353512	64
TIMM9	grey	NA	NA
ATP6V1H	turquoise	0.389128895237578	555
PDCL3	blue	0.681602111429686	47
CCAR1	grey	NA	NA
VAMP3	grey	NA	NA
KAT6B	turquoise	0.60406946268333	175
RSRC1	blue	0.506700154663759	249
BCAS2	blue	0.562245192320357	165
AFMID	grey	NA	NA
IRF6	grey	NA	NA
PTPA	tan	0.544482994360458	51
CDC26	magenta	0.435520407574763	135
MAP7	brown	0.377437239397482	388
CCNG2	turquoise	0.5756317733936	217
PEF1	green	0.657721619591021	41
NUMA1	brown	0.643957609068588	44
OAZ2	pink	0.461433297950947	147
SWI5	tan	0.36840372872636	120
CDC42EP4	turquoise	0.300909455366663	743
BICDL2	brown	0.486281618348592	211
ZNF22	blue	0.480407337735945	288
RTCB	blue	0.358384806423473	532
CHURC1	magenta	0.623712111174353	46
HLA-DMA	midnightblue	0.552348590452676	29
AKR1B1	grey	NA	NA
SLC35B2	grey	NA	NA
ACTR6	red	0.485119079919481	142
MAPK1IP1L	grey	NA	NA
CLINT1	grey	NA	NA
CFAP298	brown	0.339193832179742	429
CXCL16	salmon	0.45680494412586	86
NOPCHAP1	green	0.473834053738094	208
PFDN1	grey	NA	NA
UBQLN1	red	0.456866343965671	162
BDP1	turquoise	0.400712023219275	534
RND1	yellow	0.640903038504352	62
ZNF552	turquoise	0.730381892292324	43
TMX1	red	0.633553833392606	63
YTHDC1	grey	NA	NA
RFXANK	purple	0.312180847916192	166
P4HTM	turquoise	0.723480791605409	49
SAA2	lightcyan	0.606526104529205	3
CREB3	black	0.489502896907379	117
PEX11B	turquoise	0.390648215654568	549
ZDHHC4	grey	NA	NA
PRP4K	grey	NA	NA
CMTM8	grey	NA	NA
NAE1	green	0.551115195739031	115
FAM120AOS	magenta	0.458134273055438	125
ABCE1	blue	0.329510851751067	568
HADH	grey	NA	NA
MRPL48	green	0.481089421373699	199
MOSPD3	red	0.327748079764063	240
TMEM254	turquoise	0.389682013978443	552
ANAPC15	greenyellow	0.423555193445595	138
HSPBP1	blue	0.478648761907064	290
TOM1L1	magenta	0.449224849828168	130
GPATCH4	blue	0.411382946132779	428
TMF1	brown	0.343121847324884	423
NEMF	black	0.600785836998656	46
CNPY3	grey	NA	NA
MID1IP1	brown	0.392440463472764	368
PREB	green	0.503290457801249	169
SF3A3	green	0.66781083197549	37
GCHFR	cyan	0.552827319807852	24
UNC50	black	0.659948834898312	29
FAM151B-DT	turquoise	0.598042125919882	182
TRIM44	grey	NA	NA
C6orf62	red	0.481288464622793	144
ACBD3	yellow	0.564722730688096	120
RNASEH2A	greenyellow	0.439738347189458	132
RAD50	grey	NA	NA
BRI3	grey	NA	NA
PSMG1	green	0.538339432070404	122
MGLL	grey	NA	NA
SHC1	grey	NA	NA
TAF12	grey	NA	NA
KDELR3	grey	NA	NA
ESRP1	grey	NA	NA
ZNF292	grey	NA	NA
CEBPZ	blue	0.572922850578603	147
NPW	cyan	0.515901581808973	32
CLN8-AS1	turquoise	0.604813127269213	174
MARCHF6	turquoise	0.355171465721173	629
KMT2C	brown	0.681962482409239	21
TMEM18	grey	NA	NA
DBN1	grey	NA	NA
LGALS8	brown	0.544511212371763	133
NTMT1	grey	NA	NA
SDCCAG8	turquoise	0.400796736867767	533
ALDH3B2	cyan	0.634872782056058	11
P4HA1	grey	NA	NA
HMGCS2	cyan	0.368471480058081	50
RNF130	grey	NA	NA
SNX2	black	0.519091836409089	100
SENP6	grey	NA	NA
MANBAL	black	0.450707930446847	155
MED28	grey	NA	NA
RRM2	greenyellow	0.64479782080384	40
PPP1R10	yellow	0.380393049713294	286
GALNT6	brown	0.537407207189145	143
OSBPL8	grey	NA	NA
YPEL3	turquoise	0.51409620054919	292
TXNDC9	blue	0.641428848604123	80
DMKN	brown	0.64158403481296	45
IDS	yellow	0.454350536386873	226
IVNS1ABP	grey	NA	NA
WDR43	blue	0.505468089591863	253
DSG2	grey	NA	NA
LIMCH1	brown	0.663191392189556	32
ARF3	magenta	0.430839583756468	138
ZNF638	grey	NA	NA
RAP1A	pink	0.324821200692175	209
PLAU	grey	NA	NA
KARS1	green	0.55597137004818	109
TMX4	grey	NA	NA
SETD5	grey	NA	NA
ALG5	black	0.509037885915076	105
PAFAH1B1	grey	NA	NA
NT5C3B	grey	NA	NA
NBPF14	yellow	0.58987779219236	98
CP	grey	NA	NA
LARP7	blue	0.567506356636588	157
SRSF8	salmon	0.320052688094271	123
TCEAL8	grey	NA	NA
NIT1	tan	0.347414438409548	126
NT5C3A	grey	NA	NA
ACOT13	blue	0.43094947810212	384
IMMT	blue	0.528838386036796	211
SAE1	blue	0.675143336832339	53
QARS1	purple	0.375395358460726	137
AKR1C2	lightcyan	0.388724659208078	24
PPP6C	grey	NA	NA
PLEKHA1	lightcyan	0.399037118426563	23
UCHL5	blue	0.456110700307366	329
KIF9	brown	0.407568794612386	349
MACF1	grey	NA	NA
VPS51	purple	0.366892321839561	140
DDX27	black	0.434193032280622	170
TMEM243	grey	NA	NA
CEP20	grey	NA	NA
STK25	green	0.552309622905485	112
STARD7	blue	0.349962178460667	546
UBE2D1	grey	NA	NA
ERP44	pink	0.382906606344189	189
WNK1	grey	NA	NA
DERA	green	0.57845050008626	91
NR2F2	turquoise	0.460464882400961	399
GABPB1-AS1	grey	NA	NA
CAT	blue	0.467617157828263	307
CTSF	turquoise	0.632983456085309	142
UBE2E1	grey	NA	NA
NPY1R	magenta	0.341665812747455	168
PLSCR1	midnightblue	0.694541499682275	11
TMX2	pink	0.479714223270605	137
CCDC12	grey	NA	NA
ITGAE	red	0.640583766698149	59
IPO7	grey	NA	NA
GALE	grey	NA	NA
FARP1	grey	NA	NA
PAGR1	tan	0.628330030868508	26
ELF1	turquoise	0.385906767849457	565
LYPLAL1	grey	NA	NA
BLCAP	grey	NA	NA
TSPAN6	blue	0.431715214494268	383
CCDC57	turquoise	0.611306127134563	166
WWTR1	grey	NA	NA
KCNMA1	grey	NA	NA
CCDC91	grey	NA	NA
MED19	black	0.483174938856838	124
CELF1	grey	NA	NA
HPS1	grey	NA	NA
IGKV1-9	grey	NA	NA
VPS4B	blue	0.440563375915712	361
PSME3	blue	0.423377176967402	403
CUL4A	grey	NA	NA
PIK3R1	grey	NA	NA
NHSL3	brown	0.708916640454046	13
COMMD3	pink	0.877566409027925	9
RAB24	tan	0.645818688818686	21
TMEM70	blue	0.419535283803661	411
NDRG1	pink	0.344762565033082	204
UPF2	grey	NA	NA
MED29	turquoise	0.51146224400125	295
CEBPG	blue	0.33002288086268	567
GFER	turquoise	0.366278086996616	605
FARSA	blue	0.520786717178129	224
BRMS1	grey	NA	NA
SIAH2	turquoise	0.602016110046593	179
CPSF6	blue	0.391373520798417	473
EMC2	blue	0.399835959719655	455
URM1	purple	0.336751355966817	154
UBL3	brown	0.680631683002971	22
EIF2AK4	grey	NA	NA
DRG1	blue	0.444913355985846	353
DAZAP1	blue	0.368173753689583	522
SHISA2	brown	0.46042231562991	253
SERHL2	cyan	0.695028089368136	7
WDR45	grey	NA	NA
COPS3	purple	0.312114735891867	167
RFC1	grey	NA	NA
ANGPTL4	yellow	0.393651269959942	272
CKLF	pink	0.751282632956926	29
MVP	grey	NA	NA
CLIC4	salmon	0.600542215930579	35
SYNE2	grey	NA	NA
MICU2	brown	0.321727252896944	441
PITX1	grey	NA	NA
PGM1	green	0.64053409956688	51
CD81	turquoise	0.55327869766161	237
ZNF644	yellow	0.361073425528143	290
CYBC1	grey	NA	NA
GNAI2	grey	NA	NA
C1S	grey	NA	NA
MRPS18A	blue	0.661582027150034	64
MED30	grey	NA	NA
GNG10	tan	0.675482236698839	17
HIF1A	grey	NA	NA
TSN	blue	0.387723168581017	480
TMEM60	grey	NA	NA
TOB2	yellow	0.647464472050146	59
LIMS1	green	0.45996814941404	226
RIOK3	grey	NA	NA
NIPA2	blue	0.465941776388901	311
PGP	greenyellow	0.507776061812748	93
TARS1	blue	0.61102591226603	108
NFU1	pink	0.390024487008218	182
GOPC	grey	NA	NA
BROX	grey	NA	NA
DHX9	grey	NA	NA
XPO1	grey	NA	NA
SCYL1	grey	NA	NA
SLC16A3	salmon	0.470873182850392	76
MACROD1	grey	NA	NA
DDB1	grey	NA	NA
NR1H2	grey	NA	NA
ANXA3	salmon	0.460681419032072	80
ZWINT	greenyellow	0.781646656289073	12
USP8	grey	NA	NA
MRPS2	green	0.385719641993316	281
KDSR	grey	NA	NA
PRRC2A	grey	NA	NA
DCTD	grey	NA	NA
ALG8	black	0.62976241218386	39
CCS	turquoise	0.426152580486378	473
KLF2	yellow	0.66377950798184	49
GYPC	grey	NA	NA
PIGX	brown	0.347405613003169	420
ENOPH1	blue	0.367374188897485	524
LINC02802	grey	NA	NA
TTC1	black	0.530738617414332	87
IGKV3-15	grey	NA	NA
CYP27A1	grey	NA	NA
CPNE1	blue	0.40671357950591	440
ANPEP	turquoise	0.33834884688972	668
SHROOM3	brown	0.744995362941931	6
FEZ2	blue	0.457970784563634	325
VCL	yellow	0.503806320481033	176
ABI1	blue	0.30266416341985	596
RARS1	blue	0.438414650263054	364
PTPN1	turquoise	0.430185767139502	460
TMEM101	grey	NA	NA
PRNP	salmon	0.711653691906503	7
TMEM109	grey	NA	NA
DESI2	grey	NA	NA
GNB4	grey	NA	NA
TUBB6	grey	NA	NA
PNKP	brown	0.510467648769097	180
NAGK	blue	0.595184028233518	122
DDX6	brown	0.552125358453765	118
SZRD1	grey	NA	NA
MSL1	brown	0.411299412396156	346
HSPA2	turquoise	0.361915411908978	615
DTD1	green	0.625276363138506	57
CIAO1	grey	NA	NA
COL6A3	grey	NA	NA
SPR	turquoise	0.307962926817837	728
CGGBP1	turquoise	0.402203870953284	530
DNTTIP2	blue	0.624268571338974	98
QDPR	turquoise	0.389376555010551	553
SEC14L2	turquoise	0.64000227245165	131
RBPMS	turquoise	0.322323166960105	700
ZFPL1	grey	NA	NA
LRPPRC	grey	NA	NA
YARS1	green	0.690589076442215	28
BOD1	pink	0.356230617267729	199
DNAJC10	grey	NA	NA
CYB5B	blue	0.400693023875527	453
ZNF90	pink	0.817164459424678	21
TRIAP1	grey	NA	NA
PLEKHB2	turquoise	0.412376776749495	510
FYTTD1	grey	NA	NA
CD2BP2	turquoise	0.433233967456071	450
MSRB2	pink	0.574022264905565	88
VMA21	grey	NA	NA
DBNDD2	turquoise	0.428995002143667	463
SVIL	salmon	0.552373380700233	54
PHF3	turquoise	0.322978195500849	696
TSR2	blue	0.543454587306854	188
DAAM1	brown	0.674752649802886	26
MIA3	brown	0.485715899041686	213
PDSS2	grey	NA	NA
EFHC1	turquoise	0.678910161139556	75
EXOC7	black	0.549119563578954	76
LURAP1L	cyan	0.495751405866387	37
PSMD9	red	0.636003464553415	61
PKP3	grey	NA	NA
CCDC186	grey	NA	NA
ACYP2	grey	NA	NA
MBOAT7	turquoise	0.438294524820755	440
VPS36	grey	NA	NA
LYRM1	grey	NA	NA
USE1	grey	NA	NA
SMIM12	green	0.568861734754528	99
PPIE	blue	0.559052553274797	168
TUBG1	red	0.47226505610899	151
EDEM3	yellow	0.664909378186302	48
EBAG9	pink	0.352742891310557	201
TRIM27	grey	NA	NA
TAOK3	grey	NA	NA
HSPB8	turquoise	0.451844520062592	418
ACO2	blue	0.312638889413351	591
NCOA4	black	0.433601799318837	171
TMEM263	yellow	0.397832423627741	271
PTK2	yellow	0.56919435236904	116
ANKRD11	grey	NA	NA
JPX	brown	0.485248502504737	215
AASDHPPT	grey	NA	NA
PLEC	yellow	0.584341526408461	105
BCL7B	salmon	0.438079611015625	97
SORBS3	tan	0.49893211968928	65
COA8	pink	0.534107039176572	104
MAPK13	blue	0.356932261261824	534
PAK4	brown	0.435624453580557	307
TSSC4	grey	NA	NA
ZBTB38	grey	NA	NA
RWDD4	grey	NA	NA
ZNF32	grey	NA	NA
VCF1	magenta	0.419335276619066	145
ISG20L2	grey	NA	NA
RTCA	green	0.358669807193942	292
AK3	grey	NA	NA
MMP14	grey	NA	NA
UROD	blue	0.528374287748921	214
CLSTN1	brown	0.633602680826072	49
PRKAR2A	brown	0.546983871443457	127
IFNGR1	red	0.354283823411453	222
ZNF281	turquoise	0.526255297066041	278
RC3H1	yellow	0.734318490681748	23
SCAMP2	grey	NA	NA
HK1	grey	NA	NA
MIR4435-2HG	salmon	0.355896363924689	117
ARFGEF3	brown	0.752721208575058	4
CNPPD1	blue	0.415505316486509	419
HAGHL	turquoise	0.504897993777628	301
AHCYL1	turquoise	0.604061410875408	176
GLTP	grey	NA	NA
AKR7A3	turquoise	0.491956819744445	332
AIMP2	green	0.52085828231737	145
FBXO9	grey	NA	NA
SPTBN1	grey	NA	NA
GALNT3	grey	NA	NA
PIGF	grey	NA	NA
ZNG1E	magenta	0.736958065599924	10
WDR13	grey	NA	NA
CHP1	purple	0.330173082408867	156
MRTO4	green	0.510448074594552	155
SDHAF3	grey	NA	NA
NTN4	brown	0.556776039199524	110
SPTLC2	brown	0.691381254519537	17
TANK	blue	0.515618048187178	233
ECI2	turquoise	0.486672931236803	344
NIPBL	grey	NA	NA
TES	grey	NA	NA
RGS2	salmon	0.354453163512658	119
RBMS1	salmon	0.663693820571966	16
ACTR1A	green	0.521157172700678	143
BTG3	greenyellow	0.513117199539951	87
PTBP3	grey	NA	NA
POLR1H	grey	NA	NA
HGS	blue	0.409180698440899	436
TAX1BP3	salmon	0.437756764320625	98
TBRG1	brown	0.571534110919727	96
MSRB1	pink	0.50829903606385	118
TMEM30A	black	0.394216354293867	194
ARV1	magenta	0.496923507089866	104
GLMP	tan	0.410337422918402	97
TP53RK	grey	NA	NA
UTP23	turquoise	0.375075592902406	588
MUC6	brown	0.346496529573242	422
GPC1	brown	0.421730379988121	326
GLOD4	blue	0.339559665349212	554
PDHB	black	0.519315594205612	99
PTDSS1	green	0.525967520583038	138
PKN2	yellow	0.428444172102559	252
TFDP2	blue	0.372228925502714	514
ACAT2	greenyellow	0.55770764400993	70
ATP2B1	grey	NA	NA
TMED5	grey	NA	NA
TUBA4A	salmon	0.333227982675855	122
NRBF2	blue	0.44622932169248	352
C1orf52	grey	NA	NA
RERE	brown	0.615724870810539	55
PRPF38A	green	0.455772917955707	228
ECHDC1	salmon	0.409533332030358	103
FNIP1	turquoise	0.719129106399077	52
UTP11	blue	0.610469116804619	111
NSUN5	blue	0.461676504783042	319
MAX	magenta	0.479533977680349	111
AIP	blue	0.433199409658096	379
POP5	blue	0.363437605130156	528
ZNF524	brown	0.477279546616169	225
THYN1	grey	NA	NA
RPF2	blue	0.519987521180076	226
ERO1A	grey	NA	NA
CCDC34	grey	NA	NA
AK4	grey	NA	NA
RABIF	red	0.423494772115923	183
EEIG1	turquoise	0.741147956384498	33
MED21	grey	NA	NA
GLRX5	grey	NA	NA
RNASEH1	green	0.706838142722444	20
GET1	turquoise	0.336592996967961	670
NSMCE2	grey	NA	NA
REST	grey	NA	NA
G6PC3	turquoise	0.527900048516719	275
DNASE2	black	0.410751088062013	183
NUDT3	grey	NA	NA
GTF2F1	grey	NA	NA
CNOT2	grey	NA	NA
NTHL1	grey	NA	NA
TMBIM1	grey	NA	NA
