feature_name	gene	mapping_class	source_url	limitation
1-pentadecanoylglycerol (1-monopentadecanoin)	MGLL	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q99685/entry	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family
1-pentadecanoylglycerol (1-monopentadecanoin)	MOGAT1	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q96PD6/entry	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family
1-stearoylglycerol (18:0)	MOGAT2	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q3SYC2/entry	Original D01947 is glyceryl monostearate drug/mixture entry; name-specific 1-isomer hypothesis needs source confirmation.
1-stearoylglycerol (18:0)	ABHD12	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	Original D01947 is glyceryl monostearate drug/mixture entry; name-specific 1-isomer hypothesis needs source confirmation.
1-stearoylglycerol (18:0)	MOGAT1	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q96PD6/entry	Original D01947 is glyceryl monostearate drug/mixture entry; name-specific 1-isomer hypothesis needs source confirmation.
1-stearoylglycerol (18:0)	MGLL	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q99685/entry	Original D01947 is glyceryl monostearate drug/mixture entry; name-specific 1-isomer hypothesis needs source confirmation.
2'-deoxycytidine 5'-monophosphate	AK4	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P27144/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated
2'-deoxycytidine 5'-monophosphate	AK9	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q5TCS8/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated
2'-deoxycytidine 5'-monophosphate	CMPK2	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q5EBM0/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated
2'-deoxycytidine 5'-monophosphate	DCK	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P27707/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated
2'-deoxycytidine 5'-monophosphate	DCTD	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P32321/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated
2'-deoxycytidine 5'-monophosphate	DCTPP1	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9H773/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated
2'-deoxycytidine 5'-monophosphate	NT5C1A	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9BXI3/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated
2'-deoxycytidine 5'-monophosphate	NT5E	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P21589/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated
2'-deoxycytidine 5'-monophosphate	SLC25A36	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q96CQ1/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated
2'-deoxycytidine 5'-monophosphate	TK2	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/O00142/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated
2'-deoxycytidine 5'-monophosphate	CMPK1	CONDITIONAL	https://www.uniprot.org/uniprotkb/P30085/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review
2'-deoxycytidine 5'-monophosphate	NT5C	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q8TCD5/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review
2'-deoxyguanosine	DCK	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P27707/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated
2'-deoxyguanosine	DGUOK	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q16854/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated
