cohort	state	chr	n_units	mean_residual
GSE242230	REFERENCE_LIKE	chr1	9	0.013225854999510152
GSE242230	REFERENCE_LIKE	chr10	9	0.0033073212642452015
GSE242230	REFERENCE_LIKE	chr11	9	0.004558725834554175
GSE242230	REFERENCE_LIKE	chr12	9	0.005252283111832573
GSE242230	REFERENCE_LIKE	chr13	8	-0.007162684628399708
GSE242230	REFERENCE_LIKE	chr14	9	0.0009088698767353493
GSE242230	REFERENCE_LIKE	chr15	9	0.004149073283139175
GSE242230	REFERENCE_LIKE	chr16	9	0.0023237012627338287
GSE242230	REFERENCE_LIKE	chr17	9	0.007737903811307383
GSE242230	REFERENCE_LIKE	chr18	8	-0.015374490068552968
GSE242230	REFERENCE_LIKE	chr19	9	0.015350033857565892
GSE242230	REFERENCE_LIKE	chr2	9	-0.0047234535035603304
GSE242230	REFERENCE_LIKE	chr20	9	0.011016072182126075
GSE242230	REFERENCE_LIKE	chr21	6	0.0021518609956513745
GSE242230	REFERENCE_LIKE	chr22	9	0.008441973467001242
GSE242230	REFERENCE_LIKE	chr4	9	-0.007347845838870443
GSE242230	REFERENCE_LIKE	chr5	9	-0.00396333573044071
GSE242230	REFERENCE_LIKE	chr6	9	-0.0004728208790697201
GSE242230	REFERENCE_LIKE	chr7	9	0.003740325368384756
GSE242230	REFERENCE_LIKE	chr8	9	-0.004110106556326542
GSE242230	REFERENCE_LIKE	chr9	9	0.0013341935555793423
GSE242230	UNCERTAIN	chr1	9	0.016649349337001462
GSE242230	UNCERTAIN	chr10	9	0.00741283671617956
GSE242230	UNCERTAIN	chr11	9	0.005440455629582101
GSE242230	UNCERTAIN	chr12	9	0.0036526624171597105
GSE242230	UNCERTAIN	chr13	8	-0.011933468593408224
GSE242230	UNCERTAIN	chr14	9	0.0026709547991192136
GSE242230	UNCERTAIN	chr15	9	0.006456993461890042
GSE242230	UNCERTAIN	chr16	9	0.006812891896343227
GSE242230	UNCERTAIN	chr17	9	0.011002156159178319
GSE242230	UNCERTAIN	chr18	8	-0.022074717126698652
GSE242230	UNCERTAIN	chr19	9	0.015322433209498616
GSE242230	UNCERTAIN	chr2	9	-0.007754139709880077
GSE242230	UNCERTAIN	chr20	9	0.018838709863387246
GSE242230	UNCERTAIN	chr21	6	0.0126338283063797
GSE242230	UNCERTAIN	chr22	9	0.01193431658162175
GSE242230	UNCERTAIN	chr4	9	-0.011511229693021081
GSE242230	UNCERTAIN	chr5	9	-0.006244405282440097
GSE242230	UNCERTAIN	chr6	9	-0.003068022965854381
GSE242230	UNCERTAIN	chr7	9	0.00776697646917942
GSE242230	UNCERTAIN	chr8	9	-0.008173258031154115
GSE242230	UNCERTAIN	chr9	9	0.0029003224303281883
GSE263733	REFERENCE_LIKE	chr1	11	0.013832133156000537
GSE263733	REFERENCE_LIKE	chr10	11	0.01007129251793504
GSE263733	REFERENCE_LIKE	chr11	11	0.007039436814615634
GSE263733	REFERENCE_LIKE	chr12	11	0.004970138022190118
GSE263733	REFERENCE_LIKE	chr13	11	-0.007780893931735119
GSE263733	REFERENCE_LIKE	chr14	11	-0.0006599705578705147
