relation_id	metabolite	gene	discussion_depth	observed	inference	counterevidence_or_gap	cannot_infer	minimal_question	source
be518d6b74258c87	1,3-dihydroxyacetone	DCPH1	GENERAL_RETENTION_NOTE	metabolite P=0.02734375;q=0.25783203125;association rho=0.4065446313164417;P=0.0679;q=0.3130831168831168;RNA P=0.021677309955277;q=0.0863596057895712	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
567cc28eb507571a	1,3-dihydroxyacetone	TKFC	GENERAL_RETENTION_NOTE	metabolite P=0.02734375;q=0.25783203125;association rho=-0.3451054105065614;P=0.1311;q=0.4668594059405941;RNA P=0.0056792686710731;q=0.0438368550548457	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
933849e4a7e53a7f	1-myristoylglycerol (14:0)	ABHD12	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=0.4521829513455845;P=0.0393;q=0.23187;RNA P=0.0076121038876326;q=0.0490225946823629	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
1f8efd07d56da2aa	1-myristoylglycerol (14:0)	ABHD16A	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=-0.0666591888761728;P=0.7716;q=0.8647873817034701;RNA P=0.858225512329917;q=0.8869527261317552	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
edca165ae2cf8fdd	1-myristoylglycerol (14:0)	ABHD6	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=-0.4350027480269833;P=0.0544;q=0.2752225352112676;RNA P=0.472768714912714;q=0.5668634591429144	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
e524515780687985	1-myristoylglycerol (14:0)	MGLL	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=-0.5717571664430492;P=0.0086;q=0.1231919999999999;RNA P=0.0040136862138126;q=0.0381300190312199	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
bb1f9b8dbed33ba8	1-oleoylglycerol (1-monoolein)	ABHD12	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=0.5287705633524583;P=0.0176;q=0.1597538461538461;RNA P=0.0076121038876326;q=0.0490225946823629	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
a62402e78c0edd9c	1-oleoylglycerol (1-monoolein)	ABHD16A	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=-0.0098528676401079;P=0.9685;q=0.9767777777777776;RNA P=0.858225512329917;q=0.8869527261317552	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
8844e24ed7c15221	1-oleoylglycerol (1-monoolein)	ABHD16B	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=0.4657122104557676;P=0.034;q=0.2203344827586207;RNA P=0.0166660434044348;q=0.0722195214192178	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
0715831efa52ca20	1-oleoylglycerol (1-monoolein)	ABHD6	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=-0.3277720634942567;P=0.1467;q=0.4882121739130434;RNA P=0.472768714912714;q=0.5668634591429144	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
73c4128787c5a2f3	1-oleoylglycerol (1-monoolein)	AWAT2	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=0.3054388968433454;P=0.1782;q=0.5167258064516129;RNA P=0.0708922134660971;q=0.1651922332653395	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
1130a169b391ac63	1-oleoylglycerol (1-monoolein)	DGAT1	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=-0.0571466323126259;P=0.8094;q=0.8843444444444445;RNA P=0.517106301557235;q=0.6092347994889805	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
f566ce42ca76125d	1-oleoylglycerol (1-monoolein)	DGAT2	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=0.4703102153544847;P=0.0348;q=0.2203344827586207;RNA P=0.0388319111010524;q=0.1198935255244994	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
7e19ac8b667d54c4	1-oleoylglycerol (1-monoolein)	DGAT2L6	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=0.0696269313234293;P=0.7635;q=0.8647873817034701;RNA P=0.8248672834861948;q=0.85967181021557	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
3145f9f521238ebf	1-oleoylglycerol (1-monoolein)	LIPA	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=-0.2450079753173502;P=0.2828;q=0.5805202247191011;RNA P=0.1269839042941114;q=0.2289417836543469	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
