cancer	cohort	relation_id	metabolite_key	stable_gene_id	gene	mapping_version	metabolite_effect	metabolite_p	metabolite_q	metabolite_n	metabolite_source_run	association_rho	association_p	association_q	association_n	association_source_run	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_source_run	sc_source_run	metabolite_evidence	patient_association_evidence	RNA_background	cell_background	data_limitations	next_action	status	reason	mapping_status	metabolite_name	RNA_test_family	association_test_family	association_status	association_available_status	RNA_status	relation_type	biochemical_source_url	identity_restriction	metabolite_up_pairs	metabolite_down_pairs	metabolite_equal_pairs	metabolite_median_delta	metabolite_ci_lower	metabolite_ci_upper	metabolite_available_n	metabolite_available_p	metabolite_available_q	metabolite_available_effect	association_ci_lower	association_ci_upper	association_available_n	association_available_rho	association_available_p	association_available_q	association_available_ci_lower	association_available_ci_upper	same_association_input	RNA_up_pairs	RNA_down_pairs	RNA_equal_pairs	RNA_ci_lower	RNA_ci_upper	RNA_bootstrap_mean_lower	RNA_bootstrap_mean_upper	same_cohort_postselection	all3_same_unique_top	all3_top_bootstrap_ge080	source_type	GSE263733_top_celltype	GSE263733_runner_celltype	GSE263733_top_gap	GSE263733_bootstrap_top_frequency	GSE263733_bootstrap_valid	GSE263733_max_detection	GSE263733_n_evaluable_celltypes	GSE263733_status	GSE263733_matrix_coverage_status	GSE263733_top_detection_fraction	GSE263733_top_source_labels	GSE278688_top_celltype	GSE278688_runner_celltype	GSE278688_top_gap	GSE278688_bootstrap_top_frequency	GSE278688_bootstrap_valid	GSE278688_max_detection	GSE278688_n_evaluable_celltypes	GSE278688_status	GSE278688_matrix_coverage_status	GSE278688_top_detection_fraction	GSE278688_top_source_labels	GSE242230_top_celltype	GSE242230_runner_celltype	GSE242230_top_gap	GSE242230_bootstrap_top_frequency	GSE242230_bootstrap_valid	GSE242230_max_detection	GSE242230_n_evaluable_celltypes	GSE242230_status	GSE242230_matrix_coverage_status	GSE242230_top_detection_fraction	GSE242230_top_source_labels	metabolite_paired_p_value	metabolite_paired_q_value	metabolite_paired_status	CAMP_p_value	CAMP_q_value	CAMP_status	CAMP_available_p_value	CAMP_available_q_value	CAMP_available_status
PDAC	CAMP_PDAC_GSE62452	be518d6b74258c87	KEGG:C00184	UniProtKB:Q9H993	DCPH1	PDAC_paired51_mapping_v2	0.8732457510846998	0.02734375	0.25783203125	11	20260922T121000Z_sop_v3_discovery_complete	0.4065446313164417	0.0679	0.3130831168831168	21	20260922T112700Z_sop_v3_patient	0.52097443108783	0.021677309955277	0.0863596057895712	11	20260922T120300Z_sop_v3_internal	20260922T131800Z_author_identity_v4	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	NOMINAL_EXPLORATORY	STUDY_DEPENDENT_OR_NOT_EVALUABLE	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	Discuss multi-layer evidence with source limitations;retain regardless of RNA or correlation P	DONE	Integration completed;individual unevaluable measurements remain NA with reasons	DIRECT	1,3-dihydroxyacetone	RNA_PAIRED_CURRENT	REL_TUMOR_PRIMARY	DONE	DONE	DONE	DIRECT_REACTION	https://www.uniprot.org/uniprotkb/Q9H993/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	8	1	2	0.564789399780599	0.2478146106800346	1.5133682229827563	4	NA	NA	0.91580791271985	-0.0203312087135544	0.739553064620945	16	0.4529411764705882	0.0799	0.4944	-0.0925373134328358	0.8567910447761197	False	9	2	0	0.0937133013816745	0.9482355607939856	0.1510330732294931	0.8678830461345963	True	False	False	Expression-source descriptive only;not unique action cell	Myeloid	Endothelial	0.0241926462299239	0.827	1000	0.3493586563934595	7	DONE	DONE	0.2270328668614244	20.0	Myeloid	Fibroblast/CAF	0.018395530329656	0.929	1000	0.1174115472487687	6	DONE	DONE	0.1174115472487687	13.0	Normal epithelial (author)	Myeloid	0.0165083553703922	0.696	1000	0.2064403695588103	8	DONE	DONE	0.2064403695588103	6.0	0.02734375	0.25783203125	DONE	0.0679	0.3130831168831168	DONE	0.0799	0.4944	DONE
PDAC	CAMP_PDAC_GSE62452	567cc28eb507571a	KEGG:C00184	UniProtKB:Q3LXA3	TKFC	PDAC_paired51_mapping_v2	0.8732457510846998	0.02734375	0.25783203125	11	20260922T121000Z_sop_v3_discovery_complete	-0.3451054105065614	0.1311	0.4668594059405941	21	20260922T112700Z_sop_v3_patient	-0.2865924174032645	0.0056792686710731	0.0438368550548457	11	20260922T120300Z_sop_v3_internal	20260922T131800Z_author_identity_v4	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	FDR_SUPPORTED	STUDY_DEPENDENT_OR_NOT_EVALUABLE	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	Discuss multi-layer evidence with source limitations;retain regardless of RNA or correlation P	DONE	Integration completed;individual unevaluable measurements remain NA with reasons	DIRECT	1,3-dihydroxyacetone	RNA_PAIRED_CURRENT	REL_TUMOR_PRIMARY	DONE	DONE	DONE	DIRECT_REACTION	https://www.uniprot.org/uniprotkb/Q3LXA3/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	8	1	2	0.564789399780599	0.2478146106800346	1.5133682229827563	4	NA	NA	0.91580791271985	-0.7549958656352034	0.1589214855512692	16	-0.3588235294117647	0.1739	0.6728478260869565	-0.8098105329684737	0.2085343828801199	False	1	10	0	-0.4687822172163209	-0.104402617590208	-0.4275991907189132	-0.1302067333405091	True	False	False	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Endothelial	0.0105914984933602	0.64	1000	0.3736237721068753	7	DONE	DONE	0.3736237721068753	18.0	Ductal (unresolved)	Endothelial	0.021243072829803	0.911	1000	0.1076633112676606	6	DONE	DONE	0.1076633112676606	12.0	Normal epithelial (author)	Malignant (author)	0.073093951098674	0.944	1000	0.321116097933939	8	DONE	DONE	0.321116097933939	6.0	0.02734375	0.25783203125	DONE	0.1311	0.4668594059405941	DONE	0.1739	0.6728478260869565	DONE
PDAC	CAMP_PDAC_GSE62452	933849e4a7e53a7f	NAME:1-myristoylglycerol (14:0)	UniProtKB:Q8N2K0	ABHD12	PDAC_paired51_mapping_v2	-2.833821594929792	0.005859375	0.1748860677083333	11	20260922T121000Z_sop_v3_discovery_complete	0.4521829513455845	0.0393	0.23187	21	20260922T112700Z_sop_v3_patient	-0.2688849895141618	0.0076121038876326	0.0490225946823629	11	20260922T120300Z_sop_v3_internal	20260922T131800Z_author_identity_v4	NOMINAL_EXPLORATORY	NOMINAL_EXPLORATORY	FDR_SUPPORTED	STUDY_DEPENDENT_OR_NOT_EVALUABLE	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	Discuss multi-layer evidence with source limitations;retain regardless of RNA or correlation P	DONE	Integration completed;individual unevaluable measurements remain NA with reasons	DIRECT	1-myristoylglycerol (14:0)	RNA_PAIRED_CURRENT	REL_TUMOR_PRIMARY	DONE	DONE	DONE	DIRECT_REACTION	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	1	9	1	-3.3064235834091	-4.209011097583154	-1.5055096933735466	7	NA	NA	-2.216942030959472	-0.0124027074599523	0.7943161751644898	12	0.0489510489510489	0.8872	0.9725076923076924	-0.6642348800834202	0.6917837941628265	False	1	10	0	-0.4487745908679876	-0.088995388160336	-0.4157764544883255	-0.1194455098465431	True	False	False	Expression-source descriptive only;not unique action cell	Myeloid	Ductal (unresolved)	0.0247290283128182	0.751	1000	0.5362879222673302	7	DONE	DONE	0.3410732747778219	20.0	Myeloid	Ductal (unresolved)	0.042213104663477	0.93	1000	0.3027764253526437	6	DONE	DONE	0.3027764253526437	13.0	Normal epithelial (author)	Myeloid	0.1491883213022225	0.94	1000	0.5096291063869774	8	DONE	DONE	0.5096291063869774	6.0	0.005859375	0.1748860677083333	DONE	0.0393	0.23187	DONE	0.8872	0.9725076923076924	DONE
PDAC	CAMP_PDAC_GSE62452	1f8efd07d56da2aa	NAME:1-myristoylglycerol (14:0)	UniProtKB:O95870	ABHD16A	PDAC_paired51_mapping_v2	-2.833821594929792	0.005859375	0.1748860677083333	11	20260922T121000Z_sop_v3_discovery_complete	-0.0666591888761728	0.7716	0.8647873817034701	21	20260922T112700Z_sop_v3_patient	-0.015628304209419	0.858225512329917	0.8869527261317552	11	20260922T120300Z_sop_v3_internal	20260922T131800Z_author_identity_v4	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	NOT_SUPPORTED_THIS_TEST	STUDY_DEPENDENT_OR_NOT_EVALUABLE	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	Discuss multi-layer evidence with source limitations;retain regardless of RNA or correlation P	DONE	Integration completed;individual unevaluable measurements remain NA with reasons	DIRECT	1-myristoylglycerol (14:0)	RNA_PAIRED_CURRENT	REL_TUMOR_PRIMARY	DONE	DONE	DONE	DIRECT_REACTION	https://www.uniprot.org/uniprotkb/O95870/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	1	9	1	-3.3064235834091	-4.209011097583154	-1.5055096933735466	7	NA	NA	-2.216942030959472	-0.467968277624423	0.3733518997279553	12	-0.0839160839160839	0.799	0.9422689655172416	-0.642920466058764	0.6201056067588326	False	4	7	0	-0.2056007810062661	0.174344172587428	-0.1727115236476409	0.1507953063534435	True	False	False	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Myeloid	0.0008088257338102	0.366	1000	0.0384373912355447	7	DONE	DONE	0.0325087983726789	11.0	Myeloid	Endothelial	0.0251323102832184	0.933	1000	0.214094651760736	6	DONE	DONE	0.214094651760736	13.0	Normal epithelial (author)	Fibroblast/CAF	0.1302437040868622	0.958	1000	0.4038238893373825	8	DONE	DONE	0.4038238893373825	6.0	0.005859375	0.1748860677083333	DONE	0.7716	0.8647873817034701	DONE	0.799	0.9422689655172416	DONE
PDAC	CAMP_PDAC_GSE62452	edca165ae2cf8fdd	NAME:1-myristoylglycerol (14:0)	UniProtKB:Q9BV23	ABHD6	PDAC_paired51_mapping_v2	-2.833821594929792	0.005859375	0.1748860677083333	11	20260922T121000Z_sop_v3_discovery_complete	-0.4350027480269833	0.0544	0.2752225352112676	21	20260922T112700Z_sop_v3_patient	0.07227496456974	0.472768714912714	0.5668634591429144	11	20260922T120300Z_sop_v3_internal	20260922T131800Z_author_identity_v4	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	NOT_SUPPORTED_THIS_TEST	STUDY_DEPENDENT_OR_NOT_EVALUABLE	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	Discuss multi-layer evidence with source limitations;retain regardless of RNA or correlation P	DONE	Integration completed;individual unevaluable measurements remain NA with reasons	DIRECT	1-myristoylglycerol (14:0)	RNA_PAIRED_CURRENT	REL_TUMOR_PRIMARY	DONE	DONE	DONE	DIRECT_REACTION	https://www.uniprot.org/uniprotkb/Q9BV23/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	1	9	1	-3.3064235834091	-4.209011097583154	-1.5055096933735466	7	NA	NA	-2.216942030959472	-0.7668724384154847	-0.0153619765366606	12	-0.1958041958041958	0.5416	0.8655476635514018	-0.7357142857142858	0.4572391084093215	False	8	3	0	-0.1435591561521944	0.2881090852916745	-0.1225183063274568	0.2442186369116063	True	False	False	Expression-source descriptive only;not unique action cell	Endothelial	Myeloid	0.0027263548605701	0.393	1000	0.12694923013499	7	DONE	DONE	0.12694923013499	4.0	Myeloid	B/Plasma	0.0143936182931173	0.841	1000	0.1135545514583028	6	DONE	DONE	0.1135545514583028	13.0	Myeloid	B/Plasma	0.0162023280327176	0.948	1000	0.0710139977132921	8	DONE	DONE	0.0710139977132921	20.0	0.005859375	0.1748860677083333	DONE	0.0544	0.2752225352112676	DONE	0.5416	0.8655476635514018	DONE
PDAC	CAMP_PDAC_GSE62452	e524515780687985	NAME:1-myristoylglycerol (14:0)	UniProtKB:Q99685	MGLL	PDAC_paired51_mapping_v2	-2.833821594929792	0.005859375	0.1748860677083333	11	20260922T121000Z_sop_v3_discovery_complete	-0.5717571664430492	0.0086	0.1231919999999999	21	20260922T112700Z_sop_v3_patient	0.705331767947608	0.0040136862138126	0.0381300190312199	11	20260922T120300Z_sop_v3_internal	20260922T131800Z_author_identity_v4	NOMINAL_EXPLORATORY	NOMINAL_EXPLORATORY	FDR_SUPPORTED	ALL3_SAME_TOP	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE	Discuss multi-layer evidence with source limitations;retain regardless of RNA or correlation P	DONE	Integration completed;individual unevaluable measurements remain NA with reasons	DIRECT	1-myristoylglycerol (14:0)	RNA_PAIRED_CURRENT	REL_TUMOR_PRIMARY	DONE	DONE	DONE	DIRECT_REACTION	https://www.uniprot.org/uniprotkb/Q99685/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	1	9	1	-3.3064235834091	-4.209011097583154	-1.5055096933735466	7	NA	NA	-2.216942030959472	-0.783626966580056	-0.2253761960776714	12	-0.1608391608391608	0.6226	0.8909171548117155	-0.7266517668218366	0.4798607529654461	False	10	1	0	0.2822008006306084	1.1284627352646075	0.3599097396845305	1.0662382557077033	True	True	False	Expression-source descriptive only;not unique action cell	Endothelial	Ductal (unresolved)	0.1265031622956568	0.656	1000	0.7822540073874108	7	DONE	DONE	0.6630114856573094	4.0	Endothelial	Ductal (unresolved)	0.0816177745818464	0.885	1000	0.4928948745902535	6	DONE	DONE	0.4928948745902535	13.0	Endothelial	Malignant (author)	0.0490835811634468	0.402	1000	0.5706973436358743	8	DONE	DONE	0.4896906156850653	3.0	0.005859375	0.1748860677083333	DONE	0.0086	0.1231919999999999	DONE	0.6226	0.8909171548117155	DONE
PDAC	CAMP_PDAC_GSE62452	bb1f9b8dbed33ba8	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q8N2K0	ABHD12	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.1748860677083333	11	20260922T121000Z_sop_v3_discovery_complete	0.5287705633524583	0.0176	0.1597538461538461	21	20260922T112700Z_sop_v3_patient	-0.2688849895141618	0.0076121038876326	0.0490225946823629	11	20260922T120300Z_sop_v3_internal	20260922T131800Z_author_identity_v4	NOMINAL_EXPLORATORY	NOMINAL_EXPLORATORY	FDR_SUPPORTED	STUDY_DEPENDENT_OR_NOT_EVALUABLE	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	Discuss multi-layer evidence with source limitations;retain regardless of RNA or correlation P	DONE	Integration completed;individual unevaluable measurements remain NA with reasons	DIRECT	1-oleoylglycerol (1-monoolein)	RNA_PAIRED_CURRENT	REL_TUMOR_PRIMARY	DONE	DONE	DONE	DIRECT_REACTION	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	1	9	1	-3.2559873925773	-4.804706039388832	-1.4613788844872535	8	0.0234375	0.2771714154411764	-2.265707401852925	0.0561060868599588	0.8400341331049211	15	0.1571428571428571	0.5668	0.866498275862069	-0.4862854938530433	0.6906607067287347	False	1	10	0	-0.4487745908679876	-0.088995388160336	-0.4157764544883255	-0.1194455098465431	True	False	False	Expression-source descriptive only;not unique action cell	Myeloid	Ductal (unresolved)	0.0247290283128182	0.751	1000	0.5362879222673302	7	DONE	DONE	0.3410732747778219	20.0	Myeloid	Ductal (unresolved)	0.042213104663477	0.93	1000	0.3027764253526437	6	DONE	DONE	0.3027764253526437	13.0	Normal epithelial (author)	Myeloid	0.1491883213022225	0.94	1000	0.5096291063869774	8	DONE	DONE	0.5096291063869774	6.0	0.005859375	0.1748860677083333	DONE	0.0176	0.1597538461538461	DONE	0.5668	0.866498275862069	DONE
PDAC	CAMP_PDAC_GSE62452	a62402e78c0edd9c	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:O95870	ABHD16A	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.1748860677083333	11	20260922T121000Z_sop_v3_discovery_complete	-0.0098528676401079	0.9685	0.9767777777777776	21	20260922T112700Z_sop_v3_patient	-0.015628304209419	0.858225512329917	0.8869527261317552	11	20260922T120300Z_sop_v3_internal	20260922T131800Z_author_identity_v4	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	NOT_SUPPORTED_THIS_TEST	STUDY_DEPENDENT_OR_NOT_EVALUABLE	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	Discuss multi-layer evidence with source limitations;retain regardless of RNA or correlation P	DONE	Integration completed;individual unevaluable measurements remain NA with reasons	DIRECT	1-oleoylglycerol (1-monoolein)	RNA_PAIRED_CURRENT	REL_TUMOR_PRIMARY	DONE	DONE	DONE	DIRECT_REACTION	https://www.uniprot.org/uniprotkb/O95870/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	1	9	1	-3.2559873925773	-4.804706039388832	-1.4613788844872535	8	0.0234375	0.2771714154411764	-2.265707401852925	-0.4377654890936152	0.4505297420447355	15	-0.1892857142857142	0.4979	0.8587103773584907	-0.6423423542122322	0.403646002991524	False	4	7	0	-0.2056007810062661	0.174344172587428	-0.1727115236476409	0.1507953063534435	True	False	False	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Myeloid	0.0008088257338102	0.366	1000	0.0384373912355447	7	DONE	DONE	0.0325087983726789	11.0	Myeloid	Endothelial	0.0251323102832184	0.933	1000	0.214094651760736	6	DONE	DONE	0.214094651760736	13.0	Normal epithelial (author)	Fibroblast/CAF	0.1302437040868622	0.958	1000	0.4038238893373825	8	DONE	DONE	0.4038238893373825	6.0	0.005859375	0.1748860677083333	DONE	0.9685	0.9767777777777776	DONE	0.4979	0.8587103773584907	DONE
PDAC	CAMP_PDAC_GSE62452	8844e24ed7c15221	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q9H3Z7	ABHD16B	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.1748860677083333	11	20260922T121000Z_sop_v3_discovery_complete	0.4657122104557676	0.034	0.2203344827586207	21	20260922T112700Z_sop_v3_patient	-0.4533424643690726	0.0166660434044348	0.0722195214192178	11	20260922T120300Z_sop_v3_internal	20260922T131800Z_author_identity_v4	NOMINAL_EXPLORATORY	NOMINAL_EXPLORATORY	NOMINAL_EXPLORATORY	STUDY_DEPENDENT_OR_NOT_EVALUABLE	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	Discuss multi-layer evidence with source limitations;retain regardless of RNA or correlation P	DONE	Integration completed;individual unevaluable measurements remain NA with reasons	DIRECT	1-oleoylglycerol (1-monoolein)	RNA_PAIRED_CURRENT	REL_TUMOR_PRIMARY	DONE	DONE	DONE	DIRECT_REACTION	https://www.uniprot.org/uniprotkb/Q9H3Z7/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	1	9	1	-3.2559873925773	-4.804706039388832	-1.4613788844872535	8	0.0234375	0.2771714154411764	-2.265707401852925	0.0450513258262792	0.7570641549874146	15	0.1892857142857142	0.503	0.8587103773584907	-0.4055487906588824	0.6765949265816499	False	2	9	0	-0.8052855804271759	-0.1013993483109693	-0.7720026903985439	-0.1746851804924618	True	False	False	Expression-source descriptive only;not unique action cell	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0011058129300892	7	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0001373334185483	6	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0010063319764812	8	NOT_EVALUABLE	DONE	NA	NA	0.005859375	0.1748860677083333	DONE	0.034	0.2203344827586207	DONE	0.503	0.8587103773584907	DONE
PDAC	CAMP_PDAC_GSE62452	0715831efa52ca20	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q9BV23	ABHD6	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.1748860677083333	11	20260922T121000Z_sop_v3_discovery_complete	-0.3277720634942567	0.1467	0.4882121739130434	21	20260922T112700Z_sop_v3_patient	0.07227496456974	0.472768714912714	0.5668634591429144	11	20260922T120300Z_sop_v3_internal	20260922T131800Z_author_identity_v4	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	NOT_SUPPORTED_THIS_TEST	STUDY_DEPENDENT_OR_NOT_EVALUABLE	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	Discuss multi-layer evidence with source limitations;retain regardless of RNA or correlation P	DONE	Integration completed;individual unevaluable measurements remain NA with reasons	DIRECT	1-oleoylglycerol (1-monoolein)	RNA_PAIRED_CURRENT	REL_TUMOR_PRIMARY	DONE	DONE	DONE	DIRECT_REACTION	https://www.uniprot.org/uniprotkb/Q9BV23/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	1	9	1	-3.2559873925773	-4.804706039388832	-1.4613788844872535	8	0.0234375	0.2771714154411764	-2.265707401852925	-0.7136168358004991	0.1431969136299387	15	-0.5714285714285713	0.03	0.3631235294117647	-0.8623412762195612	-0.048962900896843	False	8	3	0	-0.1435591561521944	0.2881090852916745	-0.1225183063274568	0.2442186369116063	True	False	False	Expression-source descriptive only;not unique action cell	Endothelial	Myeloid	0.0027263548605701	0.393	1000	0.12694923013499	7	DONE	DONE	0.12694923013499	4.0	Myeloid	B/Plasma	0.0143936182931173	0.841	1000	0.1135545514583028	6	DONE	DONE	0.1135545514583028	13.0	Myeloid	B/Plasma	0.0162023280327176	0.948	1000	0.0710139977132921	8	DONE	DONE	0.0710139977132921	20.0	0.005859375	0.1748860677083333	DONE	0.1467	0.4882121739130434	DONE	0.03	0.3631235294117647	DONE
