source_id	gene	url	title	read_scope	supports	newness
R01	GPCPD1	https://pubmed.ncbi.nlm.nih.gov/38816770/	EDI3 knockdown in ER-HER2+ breast cancer cells reduces tumor burden and improves survival in two mouse models of experimental metastasis	原始研究摘要；未重新审计全部图	特定ER阴性/HER2阳性模型干预、转移及代谢测量；迁移终点未变化，不能泛化	已发表功能，不是本项目新发现
R02	GPCPD1	https://pubmed.ncbi.nlm.nih.gov/36803235/	Hypoxia-induced GPCPD1 depalmitoylation triggers mitophagy via regulating PRKN-mediated ubiquitination of VDAC1	原始研究摘要	TNBC低氧背景GPCPD1、VDAC1和线粒体自噬；不能把所有功能归为GPC介导	本轮补充核对；已有2023机制报道
R03	GPI	https://pubmed.ncbi.nlm.nih.gov/33042622/	Human haptoglobin contributes to breast cancer oncogenesis through glycolytic activity modulation	原始研究摘要与PMC页面	GPI敲低、糖酵解及迁移/侵袭、化疗响应；不等于CAMP糖磷酸中介已证实	已有2020功能报道
R04	PYCR1	https://www.nature.com/articles/s42255-022-00582-0	Cancer-associated fibroblasts require proline synthesis by PYCR1 for the deposition of pro-tumorigenic extracellular matrix	原始研究正文、数据可用性与部分方法	CAF-PYCR1-脯氨酸/胶原功能背景；GSE90505及PRIDE为作者已用或生成资源	已发表机制；复用原作者数据不算独立的新机制验证
R05	NNMT	https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202305907	NNMT/1-MNA Promote Cell-Cycle Progression of Breast Cancer by Targeting UBC12/Cullin-1-Mediated Degradation of P27 Proteins	原始研究正文2.1、图1图注与摘要	已发表NNMT/1-MNA机制；Fig1使用GSE176078并作恶性细胞解释，与当前CAF最高需先对齐范围和注释	不是新的NNMT—1-MNA连接；不能直接判定任一方分析错误
R06	SLC6A8	https://link.springer.com/article/10.1186/s13046-021-01933-7	SLC6A8-mediated intracellular creatine accumulation enhances hypoxic breast cancer cell survival via ameliorating oxidative stress	原始正文结果、图4及图8图注	MDA-MB-231/BT549的shRNA、肌酸测量与缺氧背景；非单纯补充肌酸实验	2021机制已有报道；原v4方法待核定标签可细化，但本轮不自动改52计数
R07	PMM2	https://pubmed.ncbi.nlm.nih.gov/38266771/	PMM2 controls ERα levels and cell proliferation in ESR1 Y537S variant expressing breast cancer cells	原始研究摘要	ESR1 Y537S背景下siRNA筛选及PMM2降低；部分治疗再敏感	特殊突变背景已发表；普通ER阳性表达不等于该突变
R08	PYCR1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90505	GSE90505：乳腺癌基质表达资源	GEO入口读取；未下载矩阵或完成适用性计算	可核查的分离基质数据入口；不是单细胞或代谢物矩阵	PYCR1原文已使用，不重复算作新的功能证据
D01	全部117	https://github.com/Asukasssss/-/blob/65fdb0fa4dd3b569c3e257ee32ebe346741ce5c1/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	all117_next_actions_CN.tsv	本轮定向读取重点行；未把全117逐项重新排名	当前标本关联、细胞来源稳定性及已有工作安排	源数值沿用fb5924b；当前分支后续增加接收记录
D02	全部117	https://github.com/Asukasssss/-/blob/65fdb0fa4dd3b569c3e257ee32ebe346741ce5c1/results/BRCA/07_INTEGRATION/20260920T023000Z_review_receipt_v1/README_CN.md	复核接收与研究问题收敛	完整说明读取	接收前轮摘录；新患者计算0；外部可行性及细胞问题未开展	不属于独立队列验证
