study_id	genes	original_source	original_model	original_intervention	original_endpoint	original_evidence_class	retrieval_status	reason	pmcid	accessions	dataset_design_verified
S001	ACLY	https://pubmed.ncbi.nlm.nih.gov/26928812/	LMW-E表达的乳腺癌细胞及小鼠肿瘤模型	shRNA降低ACLY；比较全长与低分子量Cyclin E背景	影响转化、迁移、侵袭；LMW-E背景肿瘤形成延迟	GENETIC_BRCA	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4873469/fullTextXML	PMC4873469		False
S002	ADA	https://www.serbiosoc.org.rs/arch/index.php/abs/article/view/2642	MCF-7	多靶点姜黄素处理；测ODC1/ADA表达	药物处理伴随表达下调	INDIRECT_DRUG_CONTEXT	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
S003	ADA2	https://pubmed.ncbi.nlm.nih.gov/33916440/	MDA-MB-231与THP-1、Jurkat、内皮细胞共培养；TNBC患者	共培养与腺苷脱氨酶活性测量	THP-1上的ADA2活性改变并关联巨噬细胞表型	BRCA_CONTEXT_NO_GENE_PERTURBATION	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC8038600		False
S004	AHCY	https://www.nature.com/articles/s41598-018-32356-8	HepG2肝癌细胞，非乳腺癌	AHCY敲低	腺苷耗竭、DNA损伤和细胞周期停滞；不能迁移为乳腺癌功能支持	OTHER_CANCER_ONLY	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC6143609		False
S005	AOX1	https://pubmed.ncbi.nlm.nih.gov/30293322/	401例乳腺癌、555例对照；外周血	病例对照甲基化测量；未干预AOX1	风险关联，不构成基因扰动证据	ASSOCIATION_ONLY	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S006	ASNS	https://pubmed.ncbi.nlm.nih.gov/29414946/	乳腺癌转移模型；模型细节须以全文为准	ASNS敲低、L-asparaginase、饮食天冬酰胺限制；相反方向干预	限制天冬酰胺减少转移，但不减少该研究中的原发肿瘤生长；增强天冬酰胺供应促进转移	GENETIC_BRCA	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5898613/fullTextXML	PMC5898613		False
S007	ASNS	https://pubmed.ncbi.nlm.nih.gov/40531994/	乳腺癌脑转移模型	FAM50A抑制/天冬酰胺酶；摘要未逐项核实ASNS直接扰动	脑转移抑制，支持ASNS—天冬酰胺轴的脑转移背景	PATHWAY_CONTEXT_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12175892	GSE100534;GSE11121;GSE159956;GSE26304;GSE37181;GSE43837;GSE5327;GSE58812	False
S008	ASS1	https://www.nature.com/articles/s41419-024-06672-z	TNBC细胞与成瘤模型	ASS1增加/缺失；PHGDH稳定性与丝氨酸相关救援	ASS1限制成瘤；缺失可部分缓解丝/甘氨酸缺乏抑制，丝氨酸补充影响过表达表型	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC11074131		False
S009	ASS1	https://pubmed.ncbi.nlm.nih.gov/24692592/	ASS1缺乏的乳腺癌模型	ADI-PEG20精氨酸剥夺；自噬背景比较	诱导线粒体损伤和细胞死亡/生长抑制	DRUG_CONTEXT_BRCA	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4229039/fullTextXML	PMC4229039		False
S010	ASS1	https://www.nature.com/articles/s41467-021-22235-8	乳腺癌相关模型	Spinosyn A及衍生物激活ASS1；具体遗传验证未逐图核实	ASS1激活和抗肿瘤表型	DRUG_CONTEXT_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC8050083		False
S011	BBOX1	https://pubmed.ncbi.nlm.nih.gov/32690540/	TNBC细胞、正常乳腺细胞对照及体内肿瘤模型	siRNA/shRNA遗传耗竭；药理抑制	TNBC生长、细胞周期和存活受损；所测正常乳腺细胞影响较小；体内肿瘤生长下降	GENETIC_BRCA	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7642036/fullTextXML	PMC7642036		False
S012	BCAT1	https://pubmed.ncbi.nlm.nih.gov/28319069/	抗雌激素耐药、ER阴性/HER2阳性及TNBC模型；原位TNBC异种移植	慢病毒BCAT1 shRNA；过表达	敲低抑制增殖、迁移、侵袭和原位肿瘤；过表达使敏感细胞在抗雌激素下仍可生长	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S013	BCAT1	https://pubmed.ncbi.nlm.nih.gov/32523652/	MDA-MB-231等TNBC细胞；胰岛素/IGF-1背景	BCAT1 siRNA，20nM/72h见图注；过表达	增殖、迁移、侵袭减少，PI3K/Akt与Ras/ERK信号变化	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC7260123		False
S014	CDO1	https://aacrjournals.org/clincancerres/article/19/12/3201/77652/Frequent-Inactivation-of-Cysteine-Dioxygenase-Type	乳腺癌细胞；原发乳腺癌甲基化/突变资料	恢复CDO1功能；5-azacytidine复表达作为非特异干预另列	ROS升高、细胞存活和生长降低、蒽环类敏感性增加	GENETIC_BRCA	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
S015	CEPT1	https://www.sciencedirect.com/science/article/abs/pii/S1001841722006179	乳腺癌体内外模型；具体细胞系未从摘要核实	DMDD及肿瘤靶向脂质体递送	制剂抗肿瘤效果；摘要不足以确认CEPT1基因特异干预	DRUG_CONTEXT_BRCA	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
S016	CHKA	https://link.springer.com/article/10.1186/s13058-015-0532-0	SUM44、MDA-MB134-VI、T47D、MCF7、MCF7-LTED等ER阳性模型	CHKA siRNA SMARTpool	SUM44细胞存活减少，但MDA-MB134-VI未显示同样效应；调节ER驱动增殖	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC4406016		False
S017	CHPT1	https://pubmed.ncbi.nlm.nih.gov/27457520/	MCF7、T47D、他莫昔芬耐药LCC2；斑马鱼异种移植	CHPT1 siRNA	软琼脂生长、增殖和侵袭下降；斑马鱼早期播散下降，LCC2影响较强	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S018	CKB	https://pubmed.ncbi.nlm.nih.gov/35008190/	HIF相关PyMT乳腺肿瘤细胞、ER阴性/TNBC模型	CKB功能缺失/增加；cyclocreatine单独区分	侵袭、体内生长与肺转移受CKB调控；药物与化疗可增效	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC8749968	GSE183694	False
S019	CMAS	https://pubs.acs.org/doi/10.1021/acschembio.6b00433	231MFP三阴性乳腺癌；免疫缺陷鼠异种移植	稳定或诱导shCMAS	长期无血清存活和异种移植生长降低；蛋白唾液酸化改变	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC4994060		False
S020	CMAS	https://www.nature.com/articles/s41467-026-73401-9	4T1同系乳腺癌；BALB/c乳腺脂肪垫原位模型	Cmas敲除	体外生长相近，但免疫完整宿主体内生长下降；CD8 T细胞和免疫抑制背景改变	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC13385813	PXD067987	False
S021	CMPK1	https://pubmed.ncbi.nlm.nih.gov/27558661/	461例TNBC组织/IHC及GSEA	观察性核表达与预后分析；未见基因特异干预	预后相关证据，不等于功能依赖	ASSOCIATION_ONLY	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC4997324	GSE2034;PXD000260	False
S022	CPT1A	https://pubmed.ncbi.nlm.nih.gov/34514415/	HR阳性luminal细胞及原位异种移植；拷贝数11q13-14背景	遗传降低/增加CPT1A；FAO药物抑制另列	增殖、存活、克隆和乳腺球形成受影响；药理抑制体内生长、促进凋亡	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC8428294	GSE12777	False
S023	CPT1A	https://pubmed.ncbi.nlm.nih.gov/26799588/	MCF7、SK-BR3、MDA-MB-231	CPT1A transcript variant2 siRNA	凋亡增加；HDAC活性和组蛋白乙酰化改变	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC4991433		False
S024	CPT1A;CPT2	https://pubmed.ncbi.nlm.nih.gov/31803610/	MCF7/C6、MDA-MB-231/C4放射耐药及衍生干细胞	CRISPR CPT1A/CPT2缺失；FAO抑制药物	放射诱导ERK、侵袭性生长和放射耐受下降	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC6873486		False
