feature_name	metabolite_key	gene	relation_type	status	reason	source_url
1-pentadecanoylglycerol (1-monopentadecanoin)	NAME:1-pentadecanoylglycerol (1-monopentadecanoin)	MGLL	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/Q99685/entry
1-pentadecanoylglycerol (1-monopentadecanoin)	NAME:1-pentadecanoylglycerol (1-monopentadecanoin)	MOGAT1	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/Q96PD6/entry
2-myristoylglycerol (2-monomyristin)	NAME:2-myristoylglycerol (2-monomyristin)	MGLL	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/Q99685/entry
2-myristoylglycerol (2-monomyristin)	NAME:2-myristoylglycerol (2-monomyristin)	ABHD6	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/Q9BV23/entry
2-myristoylglycerol (2-monomyristin)	NAME:2-myristoylglycerol (2-monomyristin)	MOGAT1	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/Q96PD6/entry
2-myristoylglycerol (2-monomyristin)	NAME:2-myristoylglycerol (2-monomyristin)	MOGAT2	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/Q3SYC2/entry
2-stearoylglycerol (2-monostearin)	NAME:2-stearoylglycerol (2-monostearin)	MGLL	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/Q99685/entry
2-stearoylglycerol (2-monostearin)	NAME:2-stearoylglycerol (2-monostearin)	ABHD6	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/Q9BV23/entry
2-stearoylglycerol (2-monostearin)	NAME:2-stearoylglycerol (2-monostearin)	MOGAT1	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/Q96PD6/entry
2-stearoylglycerol (2-monostearin)	NAME:2-stearoylglycerol (2-monostearin)	MOGAT2	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/Q3SYC2/entry
aspartylphenylalanine	HMDB:HMDB00706	CNDP2	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/Q96KP4/entry
aspartylphenylalanine	HMDB:HMDB00706	DPEP1	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/P16444/entry
aspartylphenylalanine	HMDB:HMDB00706	SLC15A1	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/P46059/entry
aspartylphenylalanine	HMDB:HMDB00706	SLC15A2	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/Q16348/entry
gamma-glutamylglutamate	KEGG:C05282	GGT1	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/P19440/entry
gamma-glutamylglutamate	KEGG:C05282	GGT5	SUBSTRATE_CLASS_OR_CONTEXT	NEEDS_REVIEW	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	https://www.uniprot.org/uniprotkb/P36269/entry
