cancer	stage_id	run_id	analysis_version	status	scope	result_path	code_path	git_branch	reason	next_action
COAD	01_CAMP	20260919T112700Z_shared_delivery_v1	coad_biochemical_v0.1_shared_view_v1	DONE	159 frozen effects;73 original q<0.05	results/COAD/01_CAMP/20260919T112700Z_shared_delivery_v1	code/coad/export_shared_delivery.py	analysis/coad-initial	Original effects and q preserved; no new statistical tests	Review original identity and coverage
COAD	02_MAPPING	20260919T112700Z_shared_delivery_v1	coad_biochemical_v0.1_shared_view_v1	PARTIAL	73 identity reviews;974 candidate pairs;763 reaction-supported;674 without current specific identity hold	results/COAD/02_MAPPING/20260919T112700Z_shared_delivery_v1	code/coad/export_shared_delivery.py	analysis/coad-initial	Identity, reaction specificity and complex roles remain; no patient or functional validation	Resolve held identities and review evidence
COAD	02_MAPPING	20260919T114909Z_source_readiness_v2	source_readiness_v2	PARTIAL	73 significant features match author KEGG/HMDB;identity holds unchanged	results/COAD/03_PATIENT/20260919T114909Z_source_readiness_v2	code/coad/audit_server_sources.py	analysis/coad-initial	Same source-audit evidence as 03_PATIENT;not an independent result	Resolve chemical identities and gene symbols
COAD	02_MAPPING	20260919T115842Z_identity_units_v1	identity_units_v1	PARTIAL	22 gene IDs reviewed;3 official previous symbols recovered;674 planned relations with652 RNA-covered	results/COAD/02_MAPPING/20260919T115842Z_identity_units_v1	code/coad/resolve_units_and_symbols.py	analysis/coad-initial	Identity holds unchanged;all974 candidates retained	Run predeclared family;continue biochemical review
COAD	03_PATIENT	20260919T114909Z_source_readiness_v2	source_readiness_v2	PARTIAL	Source audit DONE;37 tumor and39 normal specimens;935 of974 pairs have both inputs	results/COAD/03_PATIENT/20260919T114909Z_source_readiness_v2	code/coad/audit_server_sources.py	analysis/coad-initial	Connection restored;patient independence unverified;association NOT_RUN	Verify patient units and unresolved symbols;fix test family
COAD	03_PATIENT	20260919T115842Z_identity_units_v1	identity_units_v1	PARTIAL	37 explicit GEO individuals and paired controls verified;33 stage I-IV;4 adenoma/stage0	results/COAD/02_MAPPING/20260919T115842Z_identity_units_v1	code/coad/resolve_units_and_symbols.py	analysis/coad-initial	Same unit/symbol audit as02_MAPPING;not independent evidence;association NOT_RUN	Primary33 and sensitivity37 with frozen family
COAD	03_PATIENT	20260919T122034Z_patient_v1	COAD_patient_v1	DONE	33 explicit patients;652 of674 relations;0 correlation q<0.05;314 of446 paired RNA genes q<0.05	results/COAD/03_PATIENT/20260919T122034Z_patient_v1	code/coad/run_patient_v1.py	analysis/coad-initial	Primary and paired RNA batch complete;not entire cancer completion	Prespecified covariate sensitivity and full candidate functional review
COAD	04_ROBUSTNESS	20260919T122034Z_patient_v1	COAD_patient_v1	PARTIAL	All37 sensitivity652 tests;leave-one-out652;availability initial version retained	results/COAD/03_PATIENT/20260919T122034Z_patient_v1	code/coad/run_patient_v1.py	analysis/coad-initial	Same batch as03;not independent evidence;availability superseded by reuse_v2;covariates NOT_RUN	Use availability_reuse_v2 and plan covariate analysis
COAD	04_ROBUSTNESS	20260919T122940Z_availability_reuse_v2	COAD_patient_v1_availability_reuse_v2	PARTIAL	437 identical-input primary reuses;215 reduced-sample reuses;652 tests;0 q<0.05	results/COAD/04_ROBUSTNESS/20260919T122940Z_availability_reuse_v2	code/coad/reuse_availability_v2.py	analysis/coad-initial	Reuse correction DONE;all974 rows retained;covariate/purity/batch adjustment NOT_RUN	Prespecified full-family covariate sensitivity
COAD	05_FUNCTION	20260919T134848Z_function_review_accepted_v1	COAD_function_nominal35_accepted_v1	PARTIAL	35-gene package accepted;40 abstracts and6 selected fulltext records checked;39 exact pair joins;74 gene-annotated rows of974	results/COAD/05_FUNCTION/20260919T134848Z_function_review_accepted_v1	code/coad/accept_functional_review_v1.py	analysis/coad-initial	Scoped review/join DONE;full candidate literature and DepMap incomplete;BCAT2 conditional supplement	Resolve nine priority context questions;retain full pool
COAD	06_EXTERNAL	pending	NA	NOT_RUN	Independent applicable external datasets	NA	NA	analysis/coad-initial	No external analysis performed	Verify identity and cohort independence before comparison
COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	PARTIAL	39 primary P<0.05 relations;35 genes;23 features;all974 rows retained	results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1	code/coad/export_nominal_priority.py	analysis/coad-initial	User-directed post-result exploratory priority;0 FDR-supported;source statistics unchanged;function/external pending	Prioritize35 genes for functional evidence while retaining full pool
COAD	07_INTEGRATION	20260919T134848Z_function_review_accepted_v1	COAD_function_nominal35_accepted_v1	PARTIAL	9 priority;21 retain;5 direction holds;all39 and974 original cells preserved	results/COAD/05_FUNCTION/20260919T134848Z_function_review_accepted_v1	code/coad/accept_functional_review_v1.py	analysis/coad-initial	Same evidence as05;not independent validation;functional priority is not a final target tier	Review model/cell-type/isoform/nutrient conditions and external applicability
