cancer	stage_id	run_id	analysis_version	status	scope	result_path	code_path	git_branch	reason	next_action
PDAC	01_CAMP	20260920T051000Z_frozen_v1	pdac_frozen_export_v1	DONE	303 frozen effects;42 original q<0.05	results/PDAC/01_CAMP/20260920T051000Z_frozen_v1	code/pdac/export_frozen.py	analysis/pdac-initial	Exact original fields retained;no recomputation	Review historical PDAC analyses
PDAC	02_MAPPING	20260920T054500Z_source_readiness_v1	pdac_source_readiness_v1	NEEDS_REVIEW	Historical 20 cell-source relations and hypothesis lock recovered	results/PDAC/03_PATIENT/20260920T054500Z_source_readiness_v1	code/pdac/source_readiness.py	analysis/pdac-initial	Direct versus near-direct identity and human reaction evidence pending	Build complete42-feature direct mapping
PDAC	02_MAPPING	20260920T111500Z_direct_mapping_v1	PDAC_complete_pool_v1	DONE	42 features accounted;362 locked relations;289 genes;238 conditional pairs	results/PDAC/02_MAPPING/20260920T111500Z_direct_mapping_v1	code/pdac/build_mapping_v1.py	analysis/pdac-initial	See batch report;first full numerical round remains incomplete	Restore server connection;complete all locked relationships
PDAC	03_PATIENT	20260920T054500Z_source_readiness_v1	pdac_source_readiness_v1	PARTIAL	27 tumor and12 normal mapped specimens;42 significant features covered;2 historical primary associations verified	results/PDAC/03_PATIENT/20260920T054500Z_source_readiness_v1	code/pdac/source_readiness.py	analysis/pdac-initial	Patient independence unresolved;only2 old relationships	Verify patient units and expand locked family
PDAC	03_PATIENT	20260920T112500Z_first_round_prepared_v1	PDAC_complete_pool_v1	ACCESS_BLOCKED	Locked-family statistics prepared;new patient tests not run	results/PDAC/03_PATIENT/20260920T112500Z_first_round_prepared_v1	code/pdac/patient_first_round.py	analysis/pdac-initial	See batch report;first full numerical round remains incomplete	Restore server connection;complete all locked relationships
PDAC	03_PATIENT	20260920T113000Z_first_round_v1	PDAC_first_round_v1	DONE	362 planned;359 primary evaluable;4 q<0.05;289 descriptive expression rows	results/PDAC/03_PATIENT/20260920T113000Z_first_round_v1	code/pdac/patient_first_round.py	analysis/pdac-initial	Exploratory author specimens;identity and later evidence limits retained	Continue all-candidate evidence and external coverage
PDAC	03_PATIENT	20260921T102228Z_patient_entry_guards_v1	PDAC_patient_entry_guards_v1	DONE	Exact three-path manifest gate and complete RNA labels;12 local tests	results/PDAC/03_PATIENT/20260921T102228Z_patient_entry_guards_v1	code/pdac/patient_first_round.py	analysis/pdac-initial	No matrix rerun;not server full-pipeline regression;overall03 PARTIAL	Verify patient units and original contrast;continue functional evidence
PDAC	04_ROBUSTNESS	20260920T054500Z_source_readiness_v1	pdac_source_readiness_v1	NEEDS_REVIEW	Historical sensitivity rows recovered;identical sample masks verified	results/PDAC/03_PATIENT/20260920T054500Z_source_readiness_v1	code/pdac/source_readiness.py	analysis/pdac-initial	Different historical random seeds despite identical inputs;not independent robustness evidence	Reuse identical-input primary statistics in future versions
PDAC	04_ROBUSTNESS	20260920T112500Z_first_round_prepared_v1	PDAC_complete_pool_v1	ACCESS_BLOCKED	Leave-one-out prepared;no patient results	results/PDAC/03_PATIENT/20260920T112500Z_first_round_prepared_v1	code/pdac/patient_first_round.py	analysis/pdac-initial	See batch report;first full numerical round remains incomplete	Restore server connection;complete all locked relationships
PDAC	04_ROBUSTNESS	20260920T113000Z_first_round_v1	PDAC_first_round_v1	DONE	235 availability evaluable;1 q<0.05;359 primary leave-one-out;covariates not run	results/PDAC/03_PATIENT/20260920T113000Z_first_round_v1	code/pdac/patient_first_round.py	analysis/pdac-initial	Exploratory author specimens;identity and later evidence limits retained	Continue all-candidate evidence and external coverage
PDAC	04_ROBUSTNESS	20260921T121509Z_paired_metabolites_v1	PDAC_paired_metabolites_v1	DONE	11 author-confirmed pairs;307 features;0 FDR significant;230 availability evaluable	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	code/pdac/paired_metabolites_v1.py	analysis/pdac-initial	Same-source paired sensitivity;not external validation;overall04 PARTIAL	Trace old contrast and continue functional evidence
PDAC	04_ROBUSTNESS	20260921T122353Z_pair_direction_counts_v1	PDAC_pair_direction_counts_v1	DONE	307 paired direction counts;old42 grouped12 up30 down;descriptive only	results/PDAC/04_ROBUSTNESS/20260921T122353Z_pair_direction_counts_v1	code/pdac/paired_direction_counts_v1.py	analysis/pdac-initial	11 author-explicit pairs;no new P/q;overall robustness PARTIAL	Compare availability dependence;continue complete-pool evidence
PDAC	05_FUNCTION	20260920T112000Z_all_gene_search_v1	PDAC_complete_pool_v1	PARTIAL	289 searches;686 located gene-article records;8 abstracts reviewed	results/PDAC/05_FUNCTION/20260920T112000Z_all_gene_search_v1	code/pdac/search_function_v1.py	analysis/pdac-initial	See batch report;first full numerical round remains incomplete	Restore server connection;complete all locked relationships
PDAC	05_FUNCTION	20260920T114000Z_targeted_followup_v1	PDAC_first_round_v1	PARTIAL	8 initial abstracts;SIRT6 targeted fulltext;72 alias/full-name queries	results/PDAC/05_FUNCTION/20260920T114000Z_targeted_followup_v1	code/pdac/search_alias_followup.py	analysis/pdac-initial	Exploratory author specimens;identity and later evidence limits retained	Continue all-candidate evidence and external coverage
PDAC	05_FUNCTION	baseline	v1	NOT_RUN	Full PDAC candidate functional evidence	NA	NA	analysis/pdac-initial	Candidate relations not yet reviewed	Collect evidence and counterevidence
PDAC	06_EXTERNAL	20260920T054500Z_source_readiness_v1	pdac_source_readiness_v1	NEEDS_REVIEW	14-gene cell-source summaries;13-gene CPTAC aggregate effects recovered	results/PDAC/03_PATIENT/20260920T054500Z_source_readiness_v1	code/pdac/source_readiness.py	analysis/pdac-initial	Historical evidence scope and independence pending review	Review cohort independence and biological interpretation
PDAC	06_EXTERNAL	20260920T112500Z_all_gene_coverage_v1	PDAC_complete_pool_v1	PARTIAL	All289 coverage ledger;6 historical cell-source and11 CPTAC overlaps	results/PDAC/06_EXTERNAL/20260920T112500Z_all_gene_coverage_v1	code/pdac/build_integration_v1.py	analysis/pdac-initial	See batch report;first full numerical round remains incomplete	Restore server connection;complete all locked relationships
PDAC	06_EXTERNAL	20260921T030642Z_historical_review_v1	PDAC_historical_interpretation_review_v1	DONE	Historical interpretation overlay only;14 labels reviewed;3 revised;362x4 evidence scopes	results/PDAC/06_EXTERNAL/20260921T030642Z_historical_review_v1	code/pdac/review_historical_v1.py	analysis/pdac-initial	Original statistics unchanged;external validation and overall integration remain PARTIAL	Verify patient unit and contrast;continue exact-relation evidence
PDAC	06_EXTERNAL	20260921T151600Z_sc_source_three_cohorts_v1	PDAC_sc_source_three_cohorts_v1	DONE	Three original scRNA cohorts;173-gene descriptive source;25of51 metabolites mapped;26pending	results/PDAC/06_EXTERNAL/20260921T151600Z_sc_source_three_cohorts_v1	code/pdac/sc_source_three_cohorts_v1.py	analysis/pdac-initial	Expression source only;no new P/q;overall51 coverage and external validation PARTIAL	Complete26 mapping and aliases;check discordant/ambient-RNA-sensitive labels
