gene	current_pool	history_only	n_current_relations	RNA_status	RNA_n	RNA_effect	RNA_p	RNA_q	RNA_positive_pairs	RNA_negative_pairs	RNA_tier	CAMP_evaluable	CAMP_nominal	CAMP_FDR	Wu_top	Pal_top	Wu_ER_top	Wu_HER2_top	Wu_TNBC_top	interpretation_cn	limitation_cn	next_action_cn	RNA_source	relation_source	cell_source	judgment_type	new_patient_statistics	interpretation_scope	interpretation_scope_note	Wu_source_status	Wu_source_reason	Wu_mechanical_top	Wu_mechanical_top_profile_status	Wu_mechanical_top_eligible_source_labels	Wu_mechanical_top_detection_fraction	Wu_max_detection_fraction	Wu_n_evaluable_celltypes	Wu_bootstrap_top_frequency	Wu_location_interpretable	Wu_source_status_path	Pal_source_status	Pal_source_reason	Pal_mechanical_top	Pal_mechanical_top_profile_status	Pal_mechanical_top_eligible_source_labels	Pal_mechanical_top_detection_fraction	Pal_max_detection_fraction	Pal_n_evaluable_celltypes	Pal_bootstrap_top_frequency	Pal_location_interpretable	Pal_source_status_path	Wu_ER_source_status	Wu_ER_top_eligible_source_labels	Wu_ER_top_detection_fraction	Wu_ER_shared_top	Wu_HER2_source_status	Wu_HER2_top_eligible_source_labels	Wu_HER2_top_detection_fraction	Wu_HER2_shared_top	Wu_TNBC_source_status	Wu_TNBC_top_eligible_source_labels	Wu_TNBC_top_detection_fraction	Wu_TNBC_shared_top	Wu_subtype_pattern	source_display_version
AASS	True	False	1	DONE	45.0	-0.9286377387477608	8.51862088028069e-10	2.1012598171359035e-08	8.0	37.0	FDR_SUPPORTED	1	1	1	Fibroblasts	Fibroblasts	Fibroblasts	Fibroblasts	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	通用保留说明	未开展逐基因深入优先级裁决；未列示不表示低价值	DONE	NA	Fibroblasts	DONE	23	0.08610458093909357	0.0989720380627525	9	0.888	True	results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_source_stability.tsv	DONE	NA	Fibroblasts	DONE	30	0.05055605690939104	0.0505560569093909	9	0.726	True	results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_source_stability.tsv	DONE	9	0.0675999318670656	Fibroblasts	DONE	5	0.1423986285734295	Fibroblasts	DONE	4	0.0916432963914042	Fibroblasts	SAME_TOP	source_display_v2
ABHD12	True	False	8	DONE	45.0	0.30829131493483275	4.018836901765647e-06	2.0690202620492247e-05	38.0	7.0	FDR_SUPPORTED	8	4	0	Myeloid	Myeloid	Myeloid	Myeloid	Myeloid	配对RNA升高，Wu/Pal均髓系最高且排名稳定。	表达来源不是乳腺癌功能验证。	作为髓系背景候选并列讨论。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	专门讨论	既有汇总中的定向讨论；不等于全文审计或最终排序	DONE		Myeloid	DONE	26	0.3650958058389028	0.3805084084042036	9	1.0	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE		Myeloid	DONE	30	0.1929072555594944	0.19290725555949437	9	1.0	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE	11	0.3291262555723445	Myeloid	DONE	5	0.4981955199998976	Myeloid	DONE	10	0.3381124540516195	Myeloid	SAME_TOP	source_display_v2
ABHD6	True	False	4	DONE	45.0	-0.6699259475043946	4.374224624821684e-09	5.394877037280077e-08	4.0	41.0	FDR_SUPPORTED	4	2	0	Endothelial	Mast_cells	Endothelial	Myeloid	Endothelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	通用保留说明	未开展逐基因深入优先级裁决；未列示不表示低价值	DONE		Endothelial	DONE	24	0.0467654950264885	0.05160565071738986	9	0.712	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE		Mast_cells	DONE	12	0.01839422756227565	0.021215969024844964	9	0.889	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE	11	0.0455090783735905	Endothelial	DONE	5	0.0989967143934312	Myeloid	DONE	9	0.0511068519083146	Endothelial	DIFFERENT_TOP_DESCRIPTIVE	source_display_v2
ACLY	False	True	0	HISTORICAL_ONLY	NA	NA	NA	NA	NA	NA	HISTORICAL_ONLY	0	0	0	Malignant_epithelial	Endothelial	Malignant_epithelial	Malignant_epithelial	Endothelial	历史候选保留，不在当前190项入口直接池；原证据不删除。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	通用保留说明	未开展逐基因深入优先级裁决；未列示不表示低价值	DONE	NA	Malignant_epithelial	DONE	20	0.27582916547390496	0.2758291654739049	9	0.933	True	results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_source_stability.tsv	DONE	NA	Endothelial	DONE	23	0.12999942231991746	0.2129238809855692	9	0.519	True	results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_source_stability.tsv	DONE	9	0.2539400874920072	Malignant_epithelial	DONE	3	0.5096919820308705	Malignant_epithelial	DONE	9	0.1417993245799425	Endothelial	DIFFERENT_TOP_DESCRIPTIVE	source_display_v2
ACSL1	True	False	2	DONE	45.0	-1.2687684910765842	2.5316836145189042e-08	2.4979278329919856e-07	7.0	38.0	FDR_SUPPORTED	2	0	0	Myeloid	Myeloid	Myeloid	Malignant_epithelial	Myeloid	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	通用保留说明	未开展逐基因深入优先级裁决；未列示不表示低价值	DONE		Myeloid	DONE	26	0.2934160475289314	0.29341604752893136	9	1.0	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE		Myeloid	DONE	30	0.19242631567900062	0.1924263156790006	9	1.0	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE	11	0.2861652675748623	Myeloid	DONE	3	0.5104307303273851	Malignant_epithelial	DONE	10	0.2629077400034882	Myeloid	DIFFERENT_TOP_DESCRIPTIVE	source_display_v2
ACSL3	True	False	7	DONE	45.0	0.18737266719773615	0.13307203705207787	0.20096593350721964	28.0	17.0	NOT_NOMINAL_SIGNIFICANT	7	0	0	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	通用保留说明	未开展逐基因深入优先级裁决；未列示不表示低价值	DONE		Malignant_epithelial	DONE	20	0.4650914318985562	0.4650914318985562	9	0.722	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE		Malignant_epithelial	DONE	33	0.2871061559529673	0.28710615595296723	9	1.0	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE	9	0.4823428444699876	Malignant_epithelial	DONE	3	0.606888569962906	Malignant_epithelial	DONE	4	0.4236883550329624	Malignant_epithelial	SAME_TOP	source_display_v2
ACSL4	True	False	4	DONE	45.0	-0.5177084437759162	7.524529196412467e-05	0.00028554623617155006	11.0	34.0	FDR_SUPPORTED	4	0	0	Myeloid	Mast_cells	Myeloid	Myeloid	Fibroblasts	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	通用保留说明	未开展逐基因深入优先级裁决；未列示不表示低价值	DONE		Myeloid	DONE	26	0.1856463317840533	0.18564633178405326	9	0.789	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE		Mast_cells	DONE	12	0.2834365263090872	0.28343652630908717	9	1.0	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE	11	0.1526735662228064	Myeloid	DONE	5	0.288416121178091	Myeloid	DONE	9	0.1862215528158157	Fibroblasts	DIFFERENT_TOP_DESCRIPTIVE	source_display_v2
ACSL5	True	False	2	DONE	45.0	-0.43086192868425177	0.0005150992406821671	0.001555809951448178	14.0	31.0	FDR_SUPPORTED	2	0	0	Endothelial	Endothelial	Endothelial	Endothelial	Endothelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	通用保留说明	未开展逐基因深入优先级裁决；未列示不表示低价值	DONE		Endothelial	DONE	24	0.16233880352433477	0.16233880352433472	9	1.0	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE		Endothelial	DONE	23	0.08773722878688357	0.08773722878688354	9	1.0	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE	11	0.1627757411193096	Endothelial	DONE	4	0.1790477891257699	Endothelial	DONE	9	0.154378552863172	Endothelial	SAME_TOP	source_display_v2
ACSL6	True	False	1	DONE	45.0	0.06274453591681092	0.06636858869007937	0.11036574299024436	28.0	17.0	NOT_NOMINAL_SIGNIFICANT	1	0	0	T_NK_cells	T_NK_cells	T_NK_cells	T_NK_cells	T_NK_cells	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	通用保留说明	未开展逐基因深入优先级裁决；未列示不表示低价值	DONE		T_NK_cells	DONE	26	0.01422215567086773	0.014222155670867681	9	0.998	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE		T_NK_cells	DONE	24	0.009642708711475304	0.011430233942545347	9	0.996	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE	11	0.0116371922575957	T_NK_cells	DONE	5	0.0166870723707197	T_NK_cells	DONE	10	0.0158331570755409	T_NK_cells	SAME_TOP	source_display_v2
ACSM1	True	False	2	DONE	45.0	-0.2297525710082596	0.2935754112941249	0.3811329901011446	21.0	24.0	NOT_NOMINAL_SIGNIFICANT	2	0	0	Nonmalignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	通用保留说明	未开展逐基因深入优先级裁决；未列示不表示低价值	DONE		Nonmalignant_epithelial	DONE	10	0.05459075975611336	0.054590759756113307	9	0.999	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE		Malignant_epithelial	DONE	33	0.011051602811859688	0.011051602811859646	9	0.991	True	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/new39_source_stability.tsv	DONE	4	0.0748001097906781	Malignant_epithelial	DONE	3	0.0126816093131226	Malignant_epithelial	DONE	4	0.0499103670165637	暂不可定位	LOW_DETECTION_OR_COVERAGE	source_display_v2
