cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	human_gene_id	rna_symbol	original_effect	original_q	family_n_planned	biochemical_disposition	n_unique_metabolite	n_unique_rna	bootstrap_valid	permutations	random_seed	loo_valid	loo_min	loo_max	loo_max_abs_delta	loo_any_sign_change	n_nonzero_differences	source_run_id	source_analysis_version	source_analysis_type	selection_status	evidence_label	all37_n	all37_rho	all37_p	all37_q	availability_n	availability_rho	availability_p	availability_q	availability_reuse_status	all37_nominal_same_direction	availability_nominal_same_direction	paired_RNA_effect	paired_RNA_p	paired_RNA_q	functional_review_status	external_review_status	func35_review_status	func35_annotation_level	func35_pair_scope	func35_evidence_class	func35_research_decision	func35_functional_conclusion	func35_metabolic_link	func35_counterevidence_or_limit	func35_research_increment	func35_next_action	func35_evidence_ids	func35_source_urls	func35_depmap_status	func35_depmap_score	func35_depmap_n_models	func35_acceptance_version	func35_acceptance_review_status	func35_acceptance_supplement_cn
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C05127	1-methylhistamine	AOC1	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.07537394527861967	-0.2927822526377846	0.4095178910849846	0.6814	0.9386414634146342	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:26	AOC1	-0.596838488935626	0.0258711210739767	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	32	33	4000	9999	1284192893	33	0.0009165062819172568	0.15175953079178886	0.0763855855131692	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	NOT_SELECTED_P_GE_005	NO_NOMINAL_ASSOCIATION_SUPPORT	37	-0.024424947331280512	0.8907	0.9944116438356164	31	0.1407258064516129	0.4485	0.890604255319149	REDUCED_SAMPLE_V1_REUSED	False	False	-1.8590089071643998	1.7295905123417605e-05	7.209321200975936e-05	NOT_RUN	NOT_RUN	NOT_REVIEWED_THIS_BATCH	GENE_LEVEL_LITERATURE	NOT_REVIEWED_AS_A_PAIR_IN_THIS_BATCH										NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	NOT_REVIEWED_THIS_BATCH	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C05127	1-methylhistamine	HNMT	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.12935572870432732	-0.23920147795383626	0.4506558946187948	0.4773	0.9179794392523364	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:3176	HNMT	-0.596838488935626	0.0258711210739767	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	32	33	4000	9999	3165890754	33	0.05095774927459948	0.21189625237926976	0.08254052367494244	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	NOT_SELECTED_P_GE_005	NO_NOMINAL_ASSOCIATION_SUPPORT	37	0.09437989357135576	0.5784	0.9336820276497696	31	0.10887096774193548	0.5516	0.897802421307506	REDUCED_SAMPLE_V1_REUSED	False	False	-0.3423310537788993	0.06441157379920052	0.08449282916012775	NOT_RUN	NOT_RUN	NOT_REVIEWED_THIS_BATCH	GENE_LEVEL_LITERATURE	NOT_REVIEWED_AS_A_PAIR_IN_THIS_BATCH										NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	NOT_REVIEWED_THIS_BATCH	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C05127	1-methylhistamine	MAOA	GEO_annotated_independent_individual	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	NOT_IN_CURRENT_FAMILY	NA	NEEDS_REVIEW	OUTSIDE_LOCKED_FAMILY_REACTION_SPECIFICITY_PENDING	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:4128	MAOA	-0.596838488935626	0.0258711210739767	NA	REACTION_SPECIFICITY_PENDING	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	OUTSIDE_LOCKED_FAMILY	NOT_TESTED	NA	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_OR_OUTSIDE_FAMILY	NA	NA	-1.9837293078018998	7.110442835794288e-07	1.250737929641584e-05	NOT_RUN	NOT_RUN	NOT_REVIEWED_THIS_BATCH	GENE_LEVEL_LITERATURE	NOT_REVIEWED_AS_A_PAIR_IN_THIS_BATCH										NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	NOT_REVIEWED_THIS_BATCH	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C05127	1-methylhistamine	MAOB	GEO_annotated_independent_individual	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	NOT_IN_CURRENT_FAMILY	NA	NEEDS_REVIEW	OUTSIDE_LOCKED_FAMILY_REACTION_SPECIFICITY_PENDING	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:4129	MAOB	-0.596838488935626	0.0258711210739767	NA	REACTION_SPECIFICITY_PENDING	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	OUTSIDE_LOCKED_FAMILY	NOT_TESTED	NA	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_OR_OUTSIDE_FAMILY	NA	NA	NA	NA	NA	NOT_RUN	NOT_RUN	NOT_REVIEWED_THIS_BATCH	GENE_LEVEL_LITERATURE	NOT_REVIEWED_AS_A_PAIR_IN_THIS_BATCH										NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	NOT_REVIEWED_THIS_BATCH	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C02918	1-methylnicotinamide	AOX1	GEO_annotated_independent_individual	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	NOT_IN_CURRENT_FAMILY	NA	NEEDS_REVIEW	OUTSIDE_LOCKED_FAMILY_REACTION_SPECIFICITY_PENDING	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:316	AOX1	0.736754320620112	0.0104274039204103	NA	REACTION_SPECIFICITY_PENDING	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	OUTSIDE_LOCKED_FAMILY	NOT_TESTED	NA	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_OR_OUTSIDE_FAMILY	NA	NA	NA	NA	NA	NOT_RUN	NOT_RUN	NOT_REVIEWED_THIS_BATCH	GENE_LEVEL_LITERATURE	NOT_REVIEWED_AS_A_PAIR_IN_THIS_BATCH										NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	NOT_REVIEWED_THIS_BATCH	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C02918	1-methylnicotinamide	NNMT	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.4070855614973262	0.032699105850224855	0.7268169393995907	0.0219	0.6877548387096774	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:4837	NNMT	0.736754320620112	0.0104274039204103	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	2183380916	33	0.3618035190615836	0.5150293255131965	0.10794376401587025	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.4087245139876719	0.0133	0.44336000000000003	33	0.4070855614973262	0.0219	0.6091542857142856	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	-0.02043875615970059	0.9501348777191542	0.9544147645557269	NOT_RUN	NOT_RUN	REVIEWED_IN_35_GENE_BATCH	GENE_LEVEL_LITERATURE	INITIAL39_NOMINAL_PAIR	CRC肿瘤模型基因干预报告	保留	已有CRC生长、1-MNA及5-FU耐药的较直接功能背景	1-MNA与SAM两条名义关联提供患者背景，但不是新机制	已知轴研究较多；癌细胞与基质作用需要区分	作为有依据参照候选，仅在独立队列或细胞来源问题明确时深入	不默认最高优先；核实可新增的独立患者/微环境证据	E06;E07;E08	"https://pubmed.ncbi.nlm.nih.gov/25201588/
https://pubmed.ncbi.nlm.nih.gov/27323852/
https://pubmed.ncbi.nlm.nih.gov/34539890/"	NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	ABSTRACT_RECORDS_CHECKED	核对到SW480过表达、HT29敲低及CCD-18Co成纤维细胞敲低；CCD-18Co不是本CAMP患者来源CAF，不能直接确定CAMP的细胞来源。
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C02918	1-methylnicotinamide	SLC22A1	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.1032840314460908	-0.23657781740080483	0.4272796584142243	0.5497	0.9179794392523364	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:6580	SLC22A1	0.736754320620112	0.0104274039204103	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	32	4000	9999	1953503751	33	0.04490880781394558	0.1831179551270679	0.07983392368097711	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	NOT_SELECTED_P_GE_005	NO_NOMINAL_ASSOCIATION_SUPPORT	37	0.1159385930553039	0.4945	0.9031204481792716	33	0.1032840314460908	0.5497	0.897802421307506	IDENTICAL_INPUT_PRIMARY_REUSED	False	False	0.1497049327665101	0.14045577106998597	0.17022628776416776	NOT_RUN	NOT_RUN	NOT_REVIEWED_THIS_BATCH	GENE_LEVEL_LITERATURE	NOT_REVIEWED_AS_A_PAIR_IN_THIS_BATCH										NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	NOT_REVIEWED_THIS_BATCH	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C02918	1-methylnicotinamide	SLC22A2	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.2182486631016043	-0.1428164410156688	0.5379628078405093	0.2201	0.8362449438202246	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:6582	SLC22A2	0.736754320620112	0.0104274039204103	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	2225506718	33	0.156524926686217	0.2895894428152493	0.071340779713645	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	NOT_SELECTED_P_GE_005	NO_NOMINAL_ASSOCIATION_SUPPORT	37	0.20151730678046467	0.232	0.8220869565217391	33	0.2182486631016043	0.2201	0.8065870967741936	IDENTICAL_INPUT_PRIMARY_REUSED	False	False	-0.5466924837934402	0.026111816620290225	0.037688900364561295	NOT_RUN	NOT_RUN	NOT_REVIEWED_THIS_BATCH	GENE_LEVEL_LITERATURE	NOT_REVIEWED_AS_A_PAIR_IN_THIS_BATCH										NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	NOT_REVIEWED_THIS_BATCH	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00631	2-phosphoglycerate	BPGM	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.4003174627558803	0.0803534696811201	0.6428954971046028	0.0231	0.6877548387096774	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:669	BPGM	-1.44511128689612	2.1849625495186e-06	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	12	33	4000	9999	2734083184	33	0.3434510068789193	0.46343583915220404	0.06311837639632373	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.39918432068603865	0.016	0.44336000000000003	11	0.20909090909090908	0.5398	0.897802421307506	REDUCED_SAMPLE_V1_REUSED	True	False	-0.0014292884333997335	0.9217154693804386	0.9364125269787599	NOT_RUN	NOT_RUN	REVIEWED_IN_35_GENE_BATCH	GENE_LEVEL_LITERATURE	INITIAL39_NOMINAL_PAIR	本轮未确认适用CRC功能	暂挂	本轮未确认可适用的CRC基因扰动证据	2-PG患者线索对可用性高度敏感	子集n=11，rho约0.209、P约0.540；其他癌种不作CRC验证	当前先解决测量与反应角色，短期不投入额外功能故事	保留原统计；待独立测量或明确CRC文献再恢复			NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	IMPORTED_SCOPED_SEARCH_NOT_INDEPENDENTLY_REPEATED	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00631	2-phosphoglycerate	ENO1	GEO_annotated_independent_individual	33	NA	Spearman_rho	-0.007568190838170872	-0.3660632831673806	0.3860031744837054	0.9648	0.9890716981132075	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:2023	ENO1	-1.44511128689612	2.1849625495186e-06	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	12	33	4000	9999	285653769	33	-0.0718124832565013	0.0836325503763602	0.09120074121453108	True	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	NOT_SELECTED_P_GE_005	NO_NOMINAL_ASSOCIATION_SUPPORT	37	-0.11161037935615914	0.5125	0.9154748717948717	11	-0.45454545454545453	0.1613	0.7797567567567567	REDUCED_SAMPLE_V1_REUSED	False	False	0.7539699912062989	6.511611887852214e-05	0.0002002882001366957	NOT_RUN	NOT_RUN	NOT_REVIEWED_THIS_BATCH	GENE_LEVEL_LITERATURE	NOT_REVIEWED_AS_A_PAIR_IN_THIS_BATCH										NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	NOT_REVIEWED_THIS_BATCH	
