cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	human_gene_id	rna_symbol	original_effect	original_q	family_n_planned	biochemical_disposition	n_unique_metabolite	n_unique_rna	bootstrap_valid	permutations	random_seed	loo_valid	loo_min	loo_max	loo_max_abs_delta	loo_any_sign_change	n_nonzero_differences	source_run_id	source_analysis_version	source_analysis_type	selection_status	evidence_label	all37_n	all37_rho	all37_p	all37_q	availability_n	availability_rho	availability_p	availability_q	availability_reuse_status	all37_nominal_same_direction	availability_nominal_same_direction	paired_RNA_effect	paired_RNA_p	paired_RNA_q	functional_review_status	external_review_status	func35_review_status	func35_annotation_level	func35_pair_scope	func35_evidence_class	func35_research_decision	func35_functional_conclusion	func35_metabolic_link	func35_counterevidence_or_limit	func35_research_increment	func35_next_action	func35_evidence_ids	func35_source_urls	func35_depmap_status	func35_depmap_score	func35_depmap_n_models	func35_acceptance_version	func35_acceptance_review_status	func35_acceptance_supplement_cn
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C02918	1-methylnicotinamide	NNMT	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.4070855614973262	0.032699105850224855	0.7268169393995907	0.0219	0.6877548387096774	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:4837	NNMT	0.736754320620112	0.0104274039204103	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	2183380916	33	0.3618035190615836	0.5150293255131965	0.10794376401587025	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.4087245139876719	0.0133	0.44336000000000003	33	0.4070855614973262	0.0219	0.6091542857142856	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	-0.02043875615970059	0.9501348777191542	0.9544147645557269	NOT_RUN	NOT_RUN	REVIEWED_IN_35_GENE_BATCH	GENE_LEVEL_LITERATURE	INITIAL39_NOMINAL_PAIR	CRC肿瘤模型基因干预报告	保留	已有CRC生长、1-MNA及5-FU耐药的较直接功能背景	1-MNA与SAM两条名义关联提供患者背景，但不是新机制	已知轴研究较多；癌细胞与基质作用需要区分	作为有依据参照候选，仅在独立队列或细胞来源问题明确时深入	不默认最高优先；核实可新增的独立患者/微环境证据	E06;E07;E08	"https://pubmed.ncbi.nlm.nih.gov/25201588/
https://pubmed.ncbi.nlm.nih.gov/27323852/
https://pubmed.ncbi.nlm.nih.gov/34539890/"	NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	ABSTRACT_RECORDS_CHECKED	核对到SW480过表达、HT29敲低及CCD-18Co成纤维细胞敲低；CCD-18Co不是本CAMP患者来源CAF，不能直接确定CAMP的细胞来源。
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00631	2-phosphoglycerate	BPGM	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.4003174627558803	0.0803534696811201	0.6428954971046028	0.0231	0.6877548387096774	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:669	BPGM	-1.44511128689612	2.1849625495186e-06	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	12	33	4000	9999	2734083184	33	0.3434510068789193	0.46343583915220404	0.06311837639632373	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.39918432068603865	0.016	0.44336000000000003	11	0.20909090909090908	0.5398	0.897802421307506	REDUCED_SAMPLE_V1_REUSED	True	False	-0.0014292884333997335	0.9217154693804386	0.9364125269787599	NOT_RUN	NOT_RUN	REVIEWED_IN_35_GENE_BATCH	GENE_LEVEL_LITERATURE	INITIAL39_NOMINAL_PAIR	本轮未确认适用CRC功能	暂挂	本轮未确认可适用的CRC基因扰动证据	2-PG患者线索对可用性高度敏感	子集n=11，rho约0.209、P约0.540；其他癌种不作CRC验证	当前先解决测量与反应角色，短期不投入额外功能故事	保留原统计；待独立测量或明确CRC文献再恢复			NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	IMPORTED_SCOPED_SEARCH_NOT_INDEPENDENTLY_REPEATED	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00631	2-phosphoglycerate	ENO2	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.46982532071697597	0.16859213422235117	0.7123081609891417	0.0041	0.40624615384615387	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:2026	ENO2	-1.44511128689612	2.1849625495186e-06	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	12	33	4000	9999	3337680803	33	0.4275295975239534	0.5392626848267706	0.06943736410979467	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.3737488295002639	0.0257	0.5311882352941176	11	0.07272727272727272	0.84	0.9767046357615895	REDUCED_SAMPLE_V1_REUSED	True	False	0.43295940727610116	0.1265871911669003	0.1559610145315954	NOT_RUN	NOT_RUN	REVIEWED_IN_35_GENE_BATCH	GENE_LEVEL_LITERATURE	INITIAL39_NOMINAL_PAIR	CRC肿瘤模型基因干预报告	保留	有CRC基因干预及特定BRAF/迁移相关研究	部分功能为CYTOR/YAP1相关、糖酵解非依赖	2-PG可用性子集n=11、rho约0.073；功能存在不等于当前2-PG机制成立	作为已知功能参照，必须明确BRAF/药物或非经典作用的新问题	优先处理2-PG测量稳定性；不追加泛化生存图	E09;E10	"https://pubmed.ncbi.nlm.nih.gov/33934428/
https://pubmed.ncbi.nlm.nih.gov/35954207/"	NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	ABSTRACT_RECORDS_CHECKED	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00631	2-phosphoglycerate	PGAM2	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.35251836272532744	0.03539952867278228	0.6169847602255941	0.0425	0.7489189189189189	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:5224	PGAM2	-1.44511128689612	2.1849625495186e-06	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	12	33	4000	9999	2916444235	33	0.3059836243103099	0.4172706713444532	0.06475230861912579	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.2917436939832852	0.0848	0.7104083333333334	11	-0.05454545454545454	0.8829	0.9767046357615895	REDUCED_SAMPLE_V1_REUSED	False	False	-0.33256507733160845	0.0007093136988715628	0.0016058574096280052	NOT_RUN	NOT_RUN	REVIEWED_IN_35_GENE_BATCH	GENE_LEVEL_LITERATURE	INITIAL39_NOMINAL_PAIR	本轮未确认适用CRC功能	暂挂	本轮未确认PGAM2适用CRC功能	2-PG可用性分析只剩11人且相关约-0.055	不能借用PGAM1论文；小样本不证明无功能但当前信号不足	短期更应解决测量/同工酶身份，而非追加机制推断	先暂停本代谢轴深入，保留原结果			NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	IMPORTED_SCOPED_SEARCH_NOT_INDEPENDENTLY_REPEATED	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C04501	N-Acetylglucosamine 1-phosphate	UAP1	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.42413101604278075	0.05824480388990411	0.7119901446577945	0.0162	0.6877548387096774	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:6675	UAP1	0.651874150570456	0.0233237692703757	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	795788101	33	0.38013196480938416	0.5117302052785924	0.08759918923581161	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.4497392128971076	0.0038	0.44336000000000003	33	0.42413101604278075	0.0162	0.6091542857142856	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	-0.8679648405663993	5.91249205730693e-06	3.139251735189155e-05	NOT_RUN	NOT_RUN	REVIEWED_IN_35_GENE_BATCH	GENE_LEVEL_LITERATURE	INITIAL39_NOMINAL_PAIR	仅其他模型/生化背景	保留	检到前列腺癌UAP1功能，未确认本轮CRC适用干预	GlcNAc-1P候选关系不等于糖基化表型已被证明	UAP1L1、GFPT1或其他通路基因不能替代UAP1	需要CRC中的精确基因/底物数据	保留代谢候选，等待适用原文或公开扰动	E36	https://pubmed.ncbi.nlm.nih.gov/25241896/	NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	ABSTRACT_RECORDS_CHECKED	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C01042	N-acetylaspartate (NAA)	ASPA	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.3568145746559933	-0.04365885278789527	0.6843468586235544	0.0466	0.7790564102564103	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:443	ASPA	-1.60890842089475	4.01049322955914e-08	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	32	4000	9999	3795769076	33	0.29786454162310844	0.46210246734268084	0.10528789268668753	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.355047122904535	0.0304	0.5470439024390243	33	0.3568145746559933	0.0466	0.6698630136986301	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	-3.4237013300033503	9.356113413968229e-07	1.250737929641584e-05	NOT_RUN	NOT_RUN	REVIEWED_IN_35_GENE_BATCH	GENE_LEVEL_LITERATURE	INITIAL39_NOMINAL_PAIR	本轮未确认适用CRC功能	保留	未确认ASPA在CRC的基因特异肿瘤表型干预	NAA关系有名义患者线索，不能靠相似名称补功能	ASPN/asporin不是ASPA；E40仅作为排除记录	优先验证确切酶和标注身份，再找NAA相关独立数据	后续检索保持ASPA/aspartoacylase精确身份	E40	https://pubmed.ncbi.nlm.nih.gov/27705916/	NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	ABSTRACT_RECORDS_CHECKED	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00019	S-adenosylmethionine (SAM)	ICMT	GEO_annotated_independent_individual	33	NA	Spearman_rho	-0.38669786096256686	-0.6382580673122167	-0.0683775221470713	0.0262	0.6877548387096774	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:23463	ICMT	1.58687135491014	9.78479129514819e-08	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	320512174	33	-0.46957478005865105	-0.35373900293255134	0.08287691909608419	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	-0.40753911806543386	0.0132	0.44336000000000003	33	-0.38669786096256686	0.0262	0.6091542857142856	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	0.12599378983040133	0.1357086529569216	0.16582481977749874	NOT_RUN	NOT_RUN	REVIEWED_IN_35_GENE_BATCH	GENE_LEVEL_LITERATURE	INITIAL39_NOMINAL_PAIR	CRC药理及靶向救援	保留	CRC有药理及过表达靶向救援背景，不同于完整遗传依赖证明	SAM是广泛甲基供体；未证明当前SAM相关介导	ICMT敲低减弱某药杀伤，不可改写成敲低本身抑瘤	分开药物靶向依赖和未治疗癌细胞依赖	查清药物特异性、单基因敲低和救援终点	E19;E20	"https://pubmed.ncbi.nlm.nih.gov/15784746/
https://pubmed.ncbi.nlm.nih.gov/27710830/"	NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	ABSTRACT_RECORDS_CHECKED	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00019	S-adenosylmethionine (SAM)	KMT5A	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.3729946524064171	0.019414049799786736	0.6632638030589889	0.0327	0.6877548387096774	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:387893	KMT5A	1.58687135491014	9.78479129514819e-08	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	1713258828	33	0.3317448680351906	0.4963343108504399	0.12333965844402278	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.36249407302038883	0.0276	0.5311882352941176	33	0.3729946524064171	0.0327	0.6091542857142856	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	0.2083919426871006	0.0029299470569270672	0.00529051168983592	NOT_RUN	NOT_RUN	REVIEWED_IN_35_GENE_BATCH	GENE_LEVEL_LITERATURE	INITIAL39_NOMINAL_PAIR	CRC肿瘤模型基因干预报告	优先核查	SETD8有CRC基因功能研究，但2023促糖酵解与2026YAP抑癌方向不同	特定蛋白位点甲基化不能由bulk SAM—总RNA直接判断	不应合成一个统一的抑制建议；模型、底物和终点均需拆分	优先核查矛盾是否来自位点/非组蛋白功能而非简单表达差异	对照两篇原文模型、操纵方式和救援，形成方向判定说明	E11;E12	"https://pubmed.ncbi.nlm.nih.gov/36921492/
https://www.nature.com/articles/s41418-026-01831-5"	NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	ABSTRACT_RECORDS_CHECKED	
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00019	S-adenosylmethionine (SAM)	NNMT	GEO_annotated_independent_individual	33	NA	Spearman_rho	-0.3870320855614973	-0.705396257950694	-0.0018399205023826356	0.0268	0.6877548387096774	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:4837	NNMT	1.58687135491014	9.78479129514819e-08	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	216097544	33	-0.5120967741935484	-0.34017595307917886	0.12506468863205106	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	-0.3885727833096254	0.017	0.44336000000000003	33	-0.3870320855614973	0.0268	0.6091542857142856	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	-0.02043875615970059	0.9501348777191542	0.9544147645557269	NOT_RUN	NOT_RUN	REVIEWED_IN_35_GENE_BATCH	GENE_LEVEL_LITERATURE	INITIAL39_NOMINAL_PAIR	CRC肿瘤模型基因干预报告	保留	已有CRC生长、1-MNA及5-FU耐药的较直接功能背景	1-MNA与SAM两条名义关联提供患者背景，但不是新机制	已知轴研究较多；癌细胞与基质作用需要区分	作为有依据参照候选，仅在独立队列或细胞来源问题明确时深入	不默认最高优先；核实可新增的独立患者/微环境证据	E06;E07;E08	"https://pubmed.ncbi.nlm.nih.gov/25201588/
https://pubmed.ncbi.nlm.nih.gov/27323852/
https://pubmed.ncbi.nlm.nih.gov/34539890/"	NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	ABSTRACT_RECORDS_CHECKED	核对到SW480过表达、HT29敲低及CCD-18Co成纤维细胞敲低；CCD-18Co不是本CAMP患者来源CAF，不能直接确定CAMP的细胞来源。
COAD	COAD	07_INTEGRATION	20260919T125421Z_nominal_priority_v1	COAD_nominal_priority_v1	primary33_nominal_priority_view	KEGG:C00019	S-adenosylmethionine (SAM)	PRMT7	GEO_annotated_independent_individual	33	NA	Spearman_rho	0.40040106951871657	0.023485006854115923	0.6926087819793146	0.0225	0.6877548387096774	COAD_patient_v1_primary33	652	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:54496	PRMT7	1.58687135491014	9.78479129514819e-08	674	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	33	33	4000	9999	1097698407	33	0.34384164222873903	0.4842375366568915	0.08383646713817494	False	NA	20260919T122034Z_patient_v1	COAD_patient_v1	primary33	SELECTED_NOMINAL_P	NOMINAL_P_ONLY_NOT_FDR	37	0.406827880512091	0.0135	0.44336000000000003	33	0.40040106951871657	0.0225	0.6091542857142856	IDENTICAL_INPUT_PRIMARY_REUSED	True	True	0.08458155189040006	0.07841099916059824	0.1016607721675198	NOT_RUN	NOT_RUN	REVIEWED_IN_35_GENE_BATCH	GENE_LEVEL_LITERATURE	INITIAL39_NOMINAL_PAIR	CRC肿瘤模型基因干预报告	优先核查	CRC研究支持特定PRMT7剪接变体的功能	总RNA与SAM相关无法区分V1/V2及位点甲基化	剪接背景未明时不能推广到全PRMT7或所有CRC	研究增量更可能在变体/剪接背景而非再次做总表达相关	先确定公开数据能否辨识变体，并核读基因与药物干预区别	E16	https://pubmed.ncbi.nlm.nih.gov/37541527/	NOT_RUN/DEFERRED			COAD_function_nominal35_accepted_v1	ABSTRACT_RECORDS_CHECKED	
