evidence_id	gene	verified_PMID	verified_DOI	verified_title	publication_year	source_url	pmcid	independent_read_depth	assessment	supplement_locator	linked_comments	integrity_limit
E01	SLC6A6	24781822	10.1038/srep04852	Role of SLC6A6 in promoting the survival and multidrug resistance of colorectal cancer.	2014	https://www.nature.com/articles/srep04852	PMC4004982	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E02	GSTA4	35936694	10.3389/fonc.2022.887127	Glutathione <i>S</i>-Transferase Alpha 4 Promotes Proliferation and Chemoresistance in Colorectal Cancer Cells.	2022	https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2022.887127/full	PMC9346510	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	PMID39819335; Fig1 and Discussion limitations	{}	Index metadata checked; not a systematic retraction/image audit
E03	GSTA4	39819335	10.1080/19490976.2025.2451090	Inactivation of glutathione &lt;i&gt;S&lt;/i&gt;-transferase alpha 4 blocks &lt;i&gt;Enterococcus faecalis&lt;/i&gt;-induced bystander effect by promoting macrophage ferroptosis.	2025	https://www.tandfonline.com/doi/abs/10.1080/19490976.2025.2451090	PMC11740687	ABSTRACT_AND_SELECTED_FULLTEXT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	PMID39819335; Fig1 and Discussion limitations	{}	Index metadata checked; not a systematic retraction/image audit
E04	UCKL1	37343364	10.1016/j.ebiom.2023.104650	Non-canonical role of UCKL1 on ferroptosis defence in colorectal cancer.	2023	https://pubmed.ncbi.nlm.nih.gov/37343364/	PMC10363437	ABSTRACT_AND_SELECTED_FULLTEXT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	PMID37343364; Fig4 and corresponding Results	{}	Index metadata checked; not a systematic retraction/image audit
E05	HDC	21170045	10.1038/nm.2278	Histamine deficiency promotes inflammation-associated carcinogenesis through reduced myeloid maturation and accumulation of CD11b+Ly6G+ immature myeloid cells.	2011	https://pubmed.ncbi.nlm.nih.gov/21170045/	PMC3075560	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	"{""commentCorrection"": [{""source"": ""MED"", ""id"": ""21217680"", ""reference"": ""Nat Med. 2011 Jan;17(1):43-4. doi: 10.1038/nm0111-43."", ""type"": ""Comment in"", ""orderIn"": 1}, {""source"": ""MED"", ""id"": ""21546964"", ""reference"": ""Nat Med. 2011 May;17(5):537; author reply 537-8. doi: 10.1038/nm0511-537a."", ""type"": ""Comment in"", ""orderIn"": 2}]}"	Index metadata checked; not a systematic retraction/image audit
E06	NNMT	25201588	10.1016/j.abb.2014.08.017	Nicotinamide N-methyltransferase enhances the capacity of tumorigenesis associated with the promotion of cell cycle progression in human colorectal cancer cells.	2014	https://pubmed.ncbi.nlm.nih.gov/25201588/	NA	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	PMID34539890; Cell culture and transfections; Fig3-4	{}	Index metadata checked; not a systematic retraction/image audit
E07	NNMT	27323852	10.18632/oncotarget.9962	Nicotinamide N-methyltransferase enhances resistance to 5-fluorouracil in colorectal cancer cells through inhibition of the ASK1-p38 MAPK pathway.	2016	https://pubmed.ncbi.nlm.nih.gov/27323852/	PMC5216764	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	PMID34539890; Cell culture and transfections; Fig3-4	{}	Index metadata checked; not a systematic retraction/image audit
E08	NNMT	34539890	10.7150/jca.56419	Overexpression of Nicotinamide N-methyltransferase mainly covers stroma of colorectal cancer and correlates with unfavorable survival by its product 1-MNA.	2021	https://pubmed.ncbi.nlm.nih.gov/34539890/	PMC8425209	ABSTRACT_AND_SELECTED_FULLTEXT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	PMID34539890; Cell culture and transfections; Fig3-4	{}	Index metadata checked; not a systematic retraction/image audit
E09	ENO2	33934428	10.1111/cas.14929	Specific activation of glycolytic enzyme enolase 2 in BRAF V600E-mutated colorectal cancer.	2021	https://pubmed.ncbi.nlm.nih.gov/33934428/	PMC8253290	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E10	ENO2	35954207	10.3390/cells11152363	ENO2 Promotes Colorectal Cancer Metastasis by Interacting with the LncRNA CYTOR and Activating YAP1-Induced EMT.	2022	https://pubmed.ncbi.nlm.nih.gov/35954207/	PMC9367517	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E11	KMT5A	36921492	10.1016/j.tice.2023.102065	SETD8 promotes glycolysis in colorectal cancer via regulating HIF1α/HK2 axis.	2023	https://pubmed.ncbi.nlm.nih.gov/36921492/	NA	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E12	KMT5A	42527521	10.1038/s41418-026-01831-5	SETD8-mediated mono-methylation of YAP at K76 promotes K48-linked polyubiquitination and degradation to suppress colorectal cancer.	2026	https://www.nature.com/articles/s41418-026-01831-5	NA	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E13	AQP9	28640255	10.1038/cddis.2017.282	AQP9-induced cell cycle arrest is associated with RAS activation and improves chemotherapy treatment efficacy in colorectal cancer.	2017	https://pubmed.ncbi.nlm.nih.gov/28640255/	PMC5520935	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E14	AQP9	37360194	10.1093/gastro/goad033	Aquaporin 9 is involved in CRC metastasis through DVL2-dependent Wnt/β-catenin signaling activation.	2023	https://academic.oup.com/gastro/article/doi/10.1093/gastro/goad033/7205477	PMC10287913	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	"{""commentCorrection"": [{""source"": ""PPR"", ""id"": ""PPR601457"", ""type"": ""Preprint in"", ""note"": ""Link created based on a title-first author match"", ""orderIn"": 10002}]}"	Index metadata checked; not a systematic retraction/image audit
E15	AQP9	40210882	10.1038/s41598-025-95513-w	Aquaporin 9 downregulation in KRAS&lt;sup&gt;G12V&lt;/sup&gt; colorectal cancer and associated with increased proliferation and decreased apoptosis in cancer cells.	2025	https://pubmed.ncbi.nlm.nih.gov/40210882/	PMC11986171	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E16	PRMT7	37541527	10.1053/j.gastro.2023.07.019	Genetic Control of Alternative Splicing and its Distinct Role in Colorectal Cancer Mechanisms.	2023	https://pubmed.ncbi.nlm.nih.gov/37541527/	NA	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E17	SLC38A3	38764627	10.1021/acsomega.4c00901	<i>SLC38A3</i> Promotes the Proliferation and Migration of Tumor Cells and Predicts Poor Prognosis in Colorectal Cancer.	2024	https://pubs.acs.org/doi/abs/10.1021/acsomega.4c00901	PMC11097367	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E18	BCAT2	39642324	10.1158/1541-7786.mcr-24-0434	Gut Microbiota-Mediated hsa_circ_0126925 Targets BCAA Metabolic Enzyme BCAT2 to Exacerbate Colorectal Cancer Progression.	2025	https://pubmed.ncbi.nlm.nih.gov/39642324/	PMC11873731	ABSTRACT_AND_SELECTED_FULLTEXT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	PMID39642324; Results, Fig7E-G and corresponding text	{}	Index metadata checked; not a systematic retraction/image audit
E19	ICMT	15784746	10.1073/pnas.0408107102	A small-molecule inhibitor of isoprenylcysteine carboxyl methyltransferase with antitumor activity in cancer cells.	2005	https://pubmed.ncbi.nlm.nih.gov/15784746/	PMC555472	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E20	ICMT	27710830	10.1016/j.ejca.2016.09.001	6-C-(E-phenylethenyl)naringenin induces cell growth inhibition and cytoprotective autophagy in colon cancer cells.	2016	https://pubmed.ncbi.nlm.nih.gov/27710830/	NA	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E21	GSTO2	36688005	10.1155/2023/4931650	The Upregulation of GSTO2 is Associated with Colon Cancer Progression and a Poor Prognosis.	2023	https://onlinelibrary.wiley.com/doi/abs/10.1155/2023/4931650	PMC9848813	ABSTRACT_AND_SELECTED_FULLTEXT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E22	SLC29A1	26235575	10.1248/bpb.b14-00622	Cellular Uptake of Decitabine by Equilibrative Nucleoside Transporters in HCT116 Cells.	2015	https://www.jstage.jst.go.jp/article/bpb/38/8/38_b14-00622/_html/-char/ja	NA	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E23	B4GALT2	27004849	10.1038/srep23642	Biochemical and functional characterization of glycosylation-associated mutational landscapes in colon cancer.	2016	https://www.nature.com/articles/srep23642	PMC4804330	ABSTRACT_AND_SELECTED_FULLTEXT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E24	PLA2G15	29909608	10.4143/crt.2018.103	NFATC3-PLA2G15 Fusion Transcript Identified by RNA Sequencing Promotes Tumor Invasion and Proliferation in Colorectal Cancer Cell Lines.	2019	https://pubmed.ncbi.nlm.nih.gov/29909608/	PMC6333966	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
