cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	human_gene_id	pool	relation_types	identity_review_status	identity_note	compound_hypotheses	source_urls	exact_human_support_count	eligible_direct_support_count	experimental_annotation	original_camp_effect	original_camp_q	paired_metabolite_P	paired_metabolite_q	paired_up	paired_down	paired_equal	both_observed_pairs	previous_catalog_relation	previous_catalog_disposition	legacy_patient_status	legacy_patient_n	legacy_patient_rho	legacy_patient_P	legacy_patient_q	current_patient_status	current_patient_P	current_patient_q	reuse_requirement	legacy_RNA_status	legacy_RNA_effect	legacy_RNA_P	legacy_RNA_q	prior_35gene_scRNA_panel	prior_39relation	coad_functional_proof	relation_id	CAMP_effect	CAMP_ci_lower	CAMP_ci_upper	CAMP_p_value	CAMP_q_value	CAMP_n	CAMP_status	CAMP_reason	CAMP_input_sha256	CAMP_reused_from	CAMP_available_effect	CAMP_available_ci_lower	CAMP_available_ci_upper	CAMP_available_p_value	CAMP_available_q_value	CAMP_available_n	CAMP_available_status	CAMP_available_reason	CAMP_available_input_sha256	CAMP_available_reused_from	metabolite_paired_effect	metabolite_paired_p_value	metabolite_paired_q_value	metabolite_paired_n	metabolite_paired_status	metabolite_paired_pairs_higher	metabolite_paired_pairs_lower	metabolite_paired_pairs_equal	metabolite_available_effect	metabolite_available_p_value	metabolite_available_q_value	metabolite_available_n	metabolite_available_status	metabolite_available_pairs_higher	metabolite_available_pairs_lower	metabolite_available_pairs_equal	RNA_effect	RNA_ci_lower	RNA_ci_upper	RNA_p_value	RNA_q_value	RNA_n	RNA_status	RNA_reason	RNA_n_up	RNA_n_down	RNA_n_equal	Lee_display_top	Lee_status_x	Lee_reason	Lee_bootstrap_top_frequency	Lee_top_runner_gap	Lee_max_detection	Uhlitz_display_top	Uhlitz_status_x	Uhlitz_reason	Uhlitz_bootstrap_top_frequency	Uhlitz_top_runner_gap	Uhlitz_max_detection	Lee_shared_top	Uhlitz_shared_top	Lee_status_y	Uhlitz_status_y	Lee_top_frequency	Uhlitz_top_frequency
COAD	CAMP_COAD	02_MAPPING	20260922T053000Z_paired101_mapping_v1	paired101_direct_mapping_v1	scoped_direct_annotation_mapping	KEGG:C05127	1-methylhistamine	AOC1	metabolite_feature_x_human_gene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	EXACT_HUMAN_REACTION_TARGET_ANNOTATION	KEGG;reviewed_human_UniProt;Rhea	hsa:26	DIRECT	DIRECT_SUBSTRATE_OR_PRODUCT	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	"[""C05127""]"	"[""https://www.kegg.jp/entry/R04674"", ""https://www.uniprot.org/uniprotkb/P19801/entry""]"	1	1	True	-0.596838488935626	0.0258711210739767	0.002773103061075251	0.006580946070312909	8	24	1	30	True	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	DONE	33	0.07537394527861967	0.6814	0.9386414634146342	NOT_RUN	NA	NA	CHECK_INPUT_HASHES_BEFORE_REUSE;NEW_FAMILY_Q_REQUIRED	DONE	-1.8590089071643998	1.7295905123417605e-05	7.209321200975936e-05	False	False	NOT_ESTABLISHED_BY_MAPPING	COAD|1-methylhistamine|KEGG:C05127|hsa:26	0.07537394527861967	-0.2927822526377846	0.4095178910849846	0.6814	0.944224447949527	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	dfeee46bf5244b5bbe9b314ccfa7f9880a1beb896de9c4d8c434c256b24b9a25	patient_v1	0.1407258064516129	-0.2468661165880489	0.47629059646405997	0.4485	0.9081842227378191	31	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	ea1969360fdc8a3bc935d6a450fbb4366ea8caf9bc055f3c11c3c95689392219	availability_reuse_v2	-0.6334449173321247	0.002773103061075251	0.006580946070312909	33	DONE	8	24	1	-0.6994147984128104	0.0009626589290659114	0.0028879767871977345	30	DONE	7	23	0	-1.8583801028755935	-2.425598560679004	-1.291161645072183	1.5675892971464097e-07	7.993153346835653e-07	33	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	3.0	30.0	0.0	Epithelial cells	DONE	DESCRIPTIVE_ONLY	1.0	0.1761826499211823	0.3192562850658329	Epithelial	DONE	DESCRIPTIVE_ONLY	1.0	0.6970070048582744	0.46827407249724645	Epithelial	Epithelial	DONE	DONE	1.0	1.0
COAD	CAMP_COAD	02_MAPPING	20260922T053000Z_paired101_mapping_v1	paired101_direct_mapping_v1	scoped_direct_annotation_mapping	KEGG:C05127	1-methylhistamine	HNMT	metabolite_feature_x_human_gene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	EXACT_HUMAN_REACTION_TARGET_ANNOTATION	KEGG;reviewed_human_UniProt;Rhea	hsa:3176	DIRECT	DIRECT_SUBSTRATE_OR_PRODUCT	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	"[""C05127""]"	"[""https://www.kegg.jp/entry/R02155"", ""https://www.uniprot.org/uniprotkb/P50135/entry""]"	1	1	True	-0.596838488935626	0.0258711210739767	0.002773103061075251	0.006580946070312909	8	24	1	30	True	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	DONE	33	0.12935572870432732	0.4773	0.9179794392523364	NOT_RUN	NA	NA	CHECK_INPUT_HASHES_BEFORE_REUSE;NEW_FAMILY_Q_REQUIRED	DONE	-0.3423310537788993	0.06441157379920052	0.08449282916012775	False	False	NOT_ESTABLISHED_BY_MAPPING	COAD|1-methylhistamine|KEGG:C05127|hsa:3176	0.12935572870432732	-0.23920147795383626	0.4506558946187948	0.4773	0.9159204545454547	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	5c7dfef6721b0f4a5272a39e8d7a81ee3c89b189f065bdb7ed33071090de6770	patient_v1	0.10887096774193548	-0.2906096169742547	0.4537365759240759	0.5516	0.9168931354359926	31	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	408cca90b7d0af1478bc8b4e23a32c013aba1ee4c4c1f92efe3f68b6035c44aa	availability_reuse_v2	-0.6334449173321247	0.002773103061075251	0.006580946070312909	33	DONE	8	24	1	-0.6994147984128104	0.0009626589290659114	0.0028879767871977345	30	DONE	7	23	0	-0.206949731794945	-0.4248878530391391	0.010988389449249097	0.0619688648117963	0.08398411941598709	33	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	11.0	22.0	0.0	Myeloids	DONE	DESCRIPTIVE_ONLY	1.0	0.1323203053120396	0.3892574413803742	Monocyte	DONE	DESCRIPTIVE_ONLY	0.93	0.07553741481178383	0.37982812685423295	Myeloid	Myeloid	DONE	DONE	1.0	1.0
COAD	CAMP_COAD	02_MAPPING	20260922T053000Z_paired101_mapping_v1	paired101_direct_mapping_v1	scoped_direct_annotation_mapping	KEGG:C02918	1-methylnicotinamide	NNMT	metabolite_feature_x_human_gene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	EXACT_HUMAN_REACTION_TARGET_ANNOTATION	KEGG;reviewed_human_UniProt;Rhea	hsa:4837	DIRECT	DIRECT_SUBSTRATE_OR_PRODUCT	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	"[""C02918""]"	"[""https://www.kegg.jp/entry/R01269"", ""https://www.uniprot.org/uniprotkb/P40261/entry""]"	1	1	True	0.736754320620112	0.0104274039204103	1.7295905123417605e-05	0.0001250022233919727	29	4	0	33	True	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	DONE	33	0.4070855614973262	0.0219	0.6877548387096774	NOT_RUN	NA	NA	CHECK_INPUT_HASHES_BEFORE_REUSE;NEW_FAMILY_Q_REQUIRED	DONE	-0.02043875615970059	0.9501348777191542	0.9544147645557269	True	True	NOT_ESTABLISHED_BY_MAPPING	COAD|1-methylnicotinamide|KEGG:C02918|hsa:4837	0.4070855614973262	0.032699105850224855	0.7268169393995907	0.0219	0.7674216216216215	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	7f9abb86aed6c6f7b2c96ae0bae39a1d9edc816312177e83e44f76d1bf0e20f7	patient_v1	0.4070855614973262	0.032699105850224855	0.7268169393995907	0.0219	0.710054347826087	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	7f9abb86aed6c6f7b2c96ae0bae39a1d9edc816312177e83e44f76d1bf0e20f7	availability_reuse_v2	0.7836860324815821	1.7295905123417605e-05	0.0001250022233919727	33	DONE	29	4	0	0.7836860324815821	1.7295905123417605e-05	0.0001250022233919727	33	DONE	29	4	0	0.15085274259078196	-0.4101056921915601	0.711811177373124	0.5876497474629381	0.6398300633053131	33	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	16.0	17.0	0.0	Stromal cells	DONE	DESCRIPTIVE_ONLY	1.0	1.5349599738175743	0.8313842125908023	Fibroblast	DONE	DESCRIPTIVE_ONLY	1.0	0.74084109939145	0.8908739479787847	Stromal	Stromal	DONE	DONE	1.0	1.0
COAD	CAMP_COAD	02_MAPPING	20260922T053000Z_paired101_mapping_v1	paired101_direct_mapping_v1	scoped_direct_annotation_mapping	KEGG:C02918	1-methylnicotinamide	SLC22A1	metabolite_feature_x_human_gene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	EXACT_HUMAN_REACTION_TARGET_ANNOTATION	KEGG;reviewed_human_UniProt;Rhea	hsa:6580	DIRECT	DIRECT_TRANSPORT	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	"[""C02918""]"	"[""https://www.uniprot.org/uniprotkb/O15245/entry""]"	1	1	True	0.736754320620112	0.0104274039204103	1.7295905123417605e-05	0.0001250022233919727	29	4	0	33	True	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	DONE	33	0.1032840314460908	0.5497	0.9179794392523364	NOT_RUN	NA	NA	CHECK_INPUT_HASHES_BEFORE_REUSE;NEW_FAMILY_Q_REQUIRED	DONE	0.1497049327665101	0.14045577106998597	0.17022628776416776	False	False	NOT_ESTABLISHED_BY_MAPPING	COAD|1-methylnicotinamide|KEGG:C02918|hsa:6580	0.1032840314460908	-0.23657781740080483	0.4272796584142243	0.5497	0.9159204545454547	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	197c31852307479ac9547e8d22b31962442b055c9a5a71156569248b101f0e5e	patient_v1	0.1032840314460908	-0.23657781740080483	0.4272796584142243	0.5497	0.9168931354359926	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	197c31852307479ac9547e8d22b31962442b055c9a5a71156569248b101f0e5e	availability_reuse_v2	0.7836860324815821	1.7295905123417605e-05	0.0001250022233919727	33	DONE	29	4	0	0.7836860324815821	1.7295905123417605e-05	0.0001250022233919727	33	DONE	29	4	0	0.042753995638654535	-0.2540187429127946	0.3395267341901037	0.7710753585170151	0.8067315256180634	33	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	23.0	10.0	0.0	暂不可定位	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	0.995	0.0024748967409335236	0.004843025453264439	暂不可定位	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	0.519	0.001686083370331732	0.006702702702702704	暂不可定位	暂不可定位	NOT_EVALUABLE	NOT_EVALUABLE	0.994	0.934
COAD	CAMP_COAD	02_MAPPING	20260922T053000Z_paired101_mapping_v1	paired101_direct_mapping_v1	scoped_direct_annotation_mapping	KEGG:C02918	1-methylnicotinamide	SLC22A2	metabolite_feature_x_human_gene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	EXACT_HUMAN_REACTION_TARGET_ANNOTATION	KEGG;reviewed_human_UniProt;Rhea	hsa:6582	DIRECT	DIRECT_TRANSPORT	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	"[""C02918""]"	"[""https://www.uniprot.org/uniprotkb/O15244/entry""]"	1	1	True	0.736754320620112	0.0104274039204103	1.7295905123417605e-05	0.0001250022233919727	29	4	0	33	True	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	DONE	33	0.2182486631016043	0.2201	0.8362449438202246	NOT_RUN	NA	NA	CHECK_INPUT_HASHES_BEFORE_REUSE;NEW_FAMILY_Q_REQUIRED	DONE	-0.5466924837934402	0.026111816620290225	0.037688900364561295	False	False	NOT_ESTABLISHED_BY_MAPPING	COAD|1-methylnicotinamide|KEGG:C02918|hsa:6582	0.2182486631016043	-0.1428164410156688	0.5379628078405093	0.2201	0.8385652719665272	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	17ddf3e7353df28edc013cc2788890c5fd66d77021d5264f7302d86c2d372a5c	patient_v1	0.2182486631016043	-0.1428164410156688	0.5379628078405093	0.2201	0.8081334677419355	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	17ddf3e7353df28edc013cc2788890c5fd66d77021d5264f7302d86c2d372a5c	availability_reuse_v2	0.7836860324815821	1.7295905123417605e-05	0.0001250022233919727	33	DONE	29	4	0	0.7836860324815821	1.7295905123417605e-05	0.0001250022233919727	33	DONE	29	4	0	-0.5013603264328418	-0.9339408611952538	-0.06877979167042975	0.024493314080819072	0.03616114450828556	33	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	11.0	22.0	0.0	暂不可定位	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	0.824	0.00035705128255152427	0.0014938786081761311	暂不可定位	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	NA	NA	NA	暂不可定位	暂不可定位	NOT_EVALUABLE	NOT_EVALUABLE	0.813	NA
COAD	CAMP_COAD	02_MAPPING	20260922T053000Z_paired101_mapping_v1	paired101_direct_mapping_v1	scoped_direct_annotation_mapping	KEGG:C00631	2-phosphoglycerate	ENO1	metabolite_feature_x_human_gene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	EXACT_HUMAN_REACTION_TARGET_ANNOTATION	KEGG;reviewed_human_UniProt;Rhea	hsa:2023	DIRECT	DIRECT_SUBSTRATE_OR_PRODUCT	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	"[""C00631""]"	"[""https://www.kegg.jp/entry/R00658"", ""https://www.uniprot.org/uniprotkb/P06733/entry""]"	1	1	True	-1.44511128689612	2.1849625495186e-06	1.2280378206640874e-05	9.762900674279494e-05	2	25	6	11	True	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	DONE	33	-0.007568190838170872	0.9648	0.9890716981132075	NOT_RUN	NA	NA	CHECK_INPUT_HASHES_BEFORE_REUSE;NEW_FAMILY_Q_REQUIRED	DONE	0.7539699912062989	6.511611887852214e-05	0.0002002882001366957	False	False	NOT_ESTABLISHED_BY_MAPPING	COAD|2-phosphoglycerate|KEGG:C00631|hsa:2023	-0.007568190838170872	-0.3660632831673806	0.3860031744837054	0.9648	0.9905831764705884	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	aca768bddcd04d7dbbf5678bd9333bcf7a1afc113d6b8501bcacd0909bcaf1c5	patient_v1	-0.45454545454545453	-0.8439024390243902	0.1498606465997774	0.1613	0.777710152284264	11	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	6e08b4a4af3311177b358992991812ae75bad4ce611413a168d94533514e8841	availability_reuse_v2	-1.834605250071056	1.2280378206640874e-05	9.762900674279494e-05	33	DONE	2	25	6	-0.8847281118960327	0.02079521585359911	0.037151003603620884	11	DONE	2	9	0	0.7203568495375605	0.4502468682937083	0.9904668307814127	5.646758019683184e-06	1.8761808904108642e-05	33	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	25.0	8.0	0.0	Myeloids	DONE	DESCRIPTIVE_ONLY	0.696	0.040554170887199925	0.7997157135612407	Monocyte	DONE	DESCRIPTIVE_ONLY	1.0	0.404962788198415	0.8663497572427108	Myeloid	Myeloid	DONE	DONE	0.716	1.0
COAD	CAMP_COAD	02_MAPPING	20260922T053000Z_paired101_mapping_v1	paired101_direct_mapping_v1	scoped_direct_annotation_mapping	KEGG:C00631	2-phosphoglycerate	ENO2	metabolite_feature_x_human_gene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	EXACT_HUMAN_REACTION_TARGET_ANNOTATION	KEGG;reviewed_human_UniProt;Rhea	hsa:2026	DIRECT	DIRECT_SUBSTRATE_OR_PRODUCT	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	"[""C00631""]"	"[""https://www.kegg.jp/entry/R00658"", ""https://www.uniprot.org/uniprotkb/P09104/entry""]"	1	1	False	-1.44511128689612	2.1849625495186e-06	1.2280378206640874e-05	9.762900674279494e-05	2	25	6	11	True	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	DONE	33	0.46982532071697597	0.0041	0.40624615384615387	NOT_RUN	NA	NA	CHECK_INPUT_HASHES_BEFORE_REUSE;NEW_FAMILY_Q_REQUIRED	DONE	0.43295940727610116	0.1265871911669003	0.1559610145315954	True	True	NOT_ESTABLISHED_BY_MAPPING	COAD|2-phosphoglycerate|KEGG:C00631|hsa:2026	0.46982532071697597	0.16859213422235117	0.7123081609891417	0.0041	0.5039357142857143	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	595b0d5f969ea6c19b2de32e4edb186841fd7370770e19effbf008a949f72886	patient_v1	0.07272727272727272	-0.636384778012685	0.7102803738317757	0.84	0.9848006180469715	11	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	b57d450919117eeeb145ae9b0c000137540c10b5fea591aa9ab2f1752b493aab	availability_reuse_v2	-1.834605250071056	1.2280378206640874e-05	9.762900674279494e-05	33	DONE	2	25	6	-0.8847281118960327	0.02079521585359911	0.037151003603620884	11	DONE	2	9	0	0.25699973933322806	-0.24495689218301753	0.7589563708494736	0.30480907970000026	0.3503943661729914	33	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	21.0	12.0	0.0	Stromal cells	DONE	DESCRIPTIVE_ONLY	0.934	0.018547575714165397	0.11155623570063798	Mast	DONE	DESCRIPTIVE_ONLY	0.717	0.017021398095211	0.09163729647046234	Stromal	Stromal	DONE	DONE	0.952	0.997
COAD	CAMP_COAD	02_MAPPING	20260922T053000Z_paired101_mapping_v1	paired101_direct_mapping_v1	scoped_direct_annotation_mapping	KEGG:C00631	2-phosphoglycerate	ENO3	metabolite_feature_x_human_gene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	EXACT_HUMAN_REACTION_TARGET_ANNOTATION	KEGG;reviewed_human_UniProt;Rhea	hsa:2027	DIRECT	DIRECT_SUBSTRATE_OR_PRODUCT	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	"[""C00631""]"	"[""https://www.kegg.jp/entry/R00658"", ""https://www.uniprot.org/uniprotkb/P13929/entry""]"	1	1	False	-1.44511128689612	2.1849625495186e-06	1.2280378206640874e-05	9.762900674279494e-05	2	25	6	11	True	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	DONE	33	0.24397457307261364	0.1687	0.8362449438202246	NOT_RUN	NA	NA	CHECK_INPUT_HASHES_BEFORE_REUSE;NEW_FAMILY_Q_REQUIRED	DONE	0.031306813903100306	0.9786178624324676	0.9786178624324677	False	False	NOT_ESTABLISHED_BY_MAPPING	COAD|2-phosphoglycerate|KEGG:C00631|hsa:2027	0.24397457307261364	-0.09940253329720163	0.5700341570761256	0.1687	0.8383375	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	991e1aa61ec74835d1a74f3f3fac481d77bcd635c984534631f308ce5e303e04	patient_v1	0.4636363636363636	-0.22641509433962265	0.9248826291079812	0.1607	0.777710152284264	11	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	c5f2977379708618758c2c530f6dd713d08a23ea67ae5bbefb2029c42a709482	availability_reuse_v2	-1.834605250071056	1.2280378206640874e-05	9.762900674279494e-05	33	DONE	2	25	6	-0.8847281118960327	0.02079521585359911	0.037151003603620884	11	DONE	2	9	0	-0.05071454879519613	-0.4153156928537859	0.3138865952633936	0.7787494542160678	0.8102140786288381	33	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	18.0	15.0	0.0	Myeloids	DONE	DESCRIPTIVE_ONLY	0.788	0.002289816055064429	0.01586027078700355	Epithelial	DONE	DESCRIPTIVE_ONLY	0.273	0.0003026514951072583	0.0216552422624758	Myeloid	Epithelial	DONE	DONE	0.757	0.591
COAD	CAMP_COAD	02_MAPPING	20260922T053000Z_paired101_mapping_v1	paired101_direct_mapping_v1	scoped_direct_annotation_mapping	KEGG:C00631	2-phosphoglycerate	ENO4	metabolite_feature_x_human_gene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	EXACT_HUMAN_REACTION_TARGET_ANNOTATION	KEGG;reviewed_human_UniProt;Rhea	hsa:387712	DIRECT	DIRECT_SUBSTRATE_OR_PRODUCT	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	"[""C00631""]"	"[""https://www.kegg.jp/entry/R00658"", ""https://www.uniprot.org/uniprotkb/A6NNW6/entry""]"	1	1	False	-1.44511128689612	2.1849625495186e-06	1.2280378206640874e-05	9.762900674279494e-05	2	25	6	11	True	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	DONE	33	-0.11113290757103543	0.5412	0.9179794392523364	NOT_RUN	NA	NA	CHECK_INPUT_HASHES_BEFORE_REUSE;NEW_FAMILY_Q_REQUIRED	DONE	-0.8227752610651402	0.005168895224079615	0.009040499097801993	False	False	NOT_ESTABLISHED_BY_MAPPING	COAD|2-phosphoglycerate|KEGG:C00631|hsa:387712	-0.11113290757103543	-0.4059342604021016	0.19306020103680796	0.5412	0.9159204545454547	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	a11a4afd5652cda75364df7ef083ec07a35d4c019c1b1f75cb6d618adaa92a2f	patient_v1	0.4818181818181818	-0.20192577264535075	0.9154929577464789	0.1378	0.767024375	11	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	53a204d5728e4f1ff08ba5b008280b889b43ae932a9b2305daa88ba0c6c669c6	availability_reuse_v2	-1.834605250071056	1.2280378206640874e-05	9.762900674279494e-05	33	DONE	2	25	6	-0.8847281118960327	0.02079521585359911	0.037151003603620884	11	DONE	2	9	0	-0.6717769520685147	-1.1132483516909542	-0.2303055524460753	0.004021978096566356	0.007345101843020119	33	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	9.0	24.0	0.0	暂不可定位	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	0.612	0.0001893441792562156	0.0021543809736400744	暂不可定位	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	0.6281111111111111	0.0006094444015453875	0.0008130081300813009	暂不可定位	暂不可定位	NOT_EVALUABLE	NOT_EVALUABLE	0.6	0.96
COAD	CAMP_COAD	02_MAPPING	20260922T053000Z_paired101_mapping_v1	paired101_direct_mapping_v1	scoped_direct_annotation_mapping	KEGG:C00631	2-phosphoglycerate	PGAM4	metabolite_feature_x_human_gene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	EXACT_HUMAN_REACTION_TARGET_ANNOTATION	KEGG;reviewed_human_UniProt;Rhea	hsa:441531	DIRECT	DIRECT_SUBSTRATE_OR_PRODUCT	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	"[""C00631""]"	"[""https://www.kegg.jp/entry/R01518"", ""https://www.uniprot.org/uniprotkb/Q8N0Y7/entry""]"	1	1	False	-1.44511128689612	2.1849625495186e-06	1.2280378206640874e-05	9.762900674279494e-05	2	25	6	11	True	REACTION_ANNOTATION_SUPPORTED_PROVISIONAL	DONE	33	0.07408860504735695	0.6858	0.9386414634146342	NOT_RUN	NA	NA	CHECK_INPUT_HASHES_BEFORE_REUSE;NEW_FAMILY_Q_REQUIRED	DONE	-0.2256094407124003	0.0026062116098769443	0.004803183380186434	False	False	NOT_ESTABLISHED_BY_MAPPING	COAD|2-phosphoglycerate|KEGG:C00631|hsa:441531	0.07408860504735695	-0.2771031696788039	0.422512366186245	0.6858	0.944224447949527	33	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	41d855c292dd59fd3787c1274e61843e54805b42cf61602f4b5a0a420eed3db6	patient_v1	-0.5727272727272728	-0.9043511467529258	0.1498517020559491	0.0707	0.710054347826087	11	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	63a6b38b3e6cb11acd901f2b25622735d420b2fe783adebc1396fe56b2da39bd	availability_reuse_v2	-1.834605250071056	1.2280378206640874e-05	9.762900674279494e-05	33	DONE	2	25	6	-0.8847281118960327	0.02079521585359911	0.037151003603620884	11	DONE	2	9	0	-0.25917034568363045	-0.4107970709523182	-0.10754362041494273	0.0014634730384495474	0.0029790063826146914	33	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	10.0	23.0	0.0	暂不可定位	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	0.5637999999999997	3.784046503048178e-05	8.609556607834697e-05	暂不可定位	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	NA	NA	NA	暂不可定位	暂不可定位	NOT_EVALUABLE	NOT_EVALUABLE	0.5527999999999994	NA
