figure_id	png	vector	source	caption
01_sample_design	figures/01_sample_design.png	figures/01_sample_design.pdf	figures/01_sample_design_source.tsv	患者身份来自作者SUBJECT_ID；ccRCC4采用原研究病理交叉核实后的修正版。
02_metabolite_discovery	figures/02_metabolite_discovery.png	figures/02_metabolite_discovery.pdf	figures/02_metabolite_discovery_source.tsv	全量检验后分别BH；颜色分开FDR支持、仅名义P支持和未过阈值。效应不是浓度倍数。
03_available_sensitivity	figures/03_available_sensitivity.png	figures/03_available_sensitivity.pdf	figures/03_available_sensitivity_source.tsv	只比较相同feature_id；敏感性有效患者减少，缺项不当作阴性。
04_mapping_coverage	figures/04_mapping_coverage.png	figures/04_mapping_coverage.pdf	figures/04_mapping_coverage_source.tsv	有界精确生化映射；未映射不代表没有关系，不能称为穷尽性注释。
05_all_associations	figures/05_all_associations.png	figures/05_all_associations.pdf	figures/05_all_associations_source.tsv	全部关系保留。两队列均没有主关联通过q<0.05；名义P线索不等于稳健或因果证据。
06_treatment_sensitivity	figures/06_treatment_sensitivity.png	figures/06_treatment_sensitivity.pdf	figures/06_treatment_sensitivity_source.tsv	分层置换用于敏感性；不是治疗效应比较。ccRCC3使用两个作者治疗字段组合，避免NO组中的Cabozantinib暴露被掩盖。
07_RNA_background	figures/07_RNA_background.png	figures/07_RNA_background.pdf	figures/07_RNA_background_source.tsv	RNA采用作者TPM加1取log2后患者区域均值配对t检验；不是RNA原始计数模型，也不是酶活。
08_cell_source_summary	figures/08_cell_source_summary.png	figures/08_cell_source_summary.pdf	figures/08_cell_source_summary_source.tsv	全历史并集157基因的描述性最高类别；未达到覆盖/检出阈值的基因不强排第一，ua不参与排名。
09_cell_source_alphabetical_examples	figures/09_cell_source_alphabetical_examples.png	figures/09_cell_source_alphabetical_examples.pdf	figures/09_cell_source_alphabetical_examples_source.tsv	当前基因按字母序取前16个，非按显著性或表达强度挑选；完整157基因图位于06_EXTERNAL。行缩放只比较同一基因跨类别，不比较不同基因绝对丰度。
10_source_stability	figures/10_source_stability.png	figures/10_source_stability.pdf	figures/10_source_stability_source.tsv	80%为描述性标记，不是80%患者一致或显著性检验；只有7个来源标签，排名会受类别覆盖影响。
