file	row_grain	data_scope	n_columns	status	result_paths	reason
sample_identity_audit_private.tsv	one author specimen linkage	SERVER_PRIVATE	14	DONE_SERVER_PRIVATE	/public3/xuzx/Cancer/pancancer_metabolomics_direct_matrix_20260716/results/collaborative/PDAC/B/20260922T120300Z_sop_v3_internal/private/sample_identity_audit_private.tsv	Not exported to workstation or GitHub;actual computation created these files
metabolite_pairs_private.tsv	one explicit patient pair	SERVER_PRIVATE	9	DONE_SERVER_PRIVATE	/public3/xuzx/Cancer/pancancer_metabolomics_direct_matrix_20260716/results/collaborative/PDAC/B/20260922T120300Z_sop_v3_internal/private/metabolite_pairs_private.tsv	Not exported to workstation or GitHub;actual computation created these files
RNA_pairs_private.tsv	one explicit RNA patient pair	SERVER_PRIVATE	9	DONE_SERVER_PRIVATE	/public3/xuzx/Cancer/pancancer_metabolomics_direct_matrix_20260716/results/collaborative/PDAC/B/20260922T120300Z_sop_v3_internal/private/RNA_pairs_private.tsv	Not exported to workstation or GitHub;actual computation created these files
tumor_multiomics_map_private.tsv	one independent tumor analysis unit	SERVER_PRIVATE	12	DONE_SERVER_PRIVATE	/public3/xuzx/Cancer/pancancer_metabolomics_direct_matrix_20260716/results/collaborative/PDAC/B/20260922T120300Z_sop_v3_internal/private/tumor_multiomics_map_private.tsv	Not exported to workstation or GitHub;actual computation created these files
sample_audit_summary.tsv	one audit item, no identifiers	PUBLIC_AGGREGATE	10	DONE	results/PDAC/01_CAMP/20260922T121000Z_sop_v3_discovery_complete/sample_audit_summary.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
source_manifest.tsv	one input file	PUBLIC_PROVENANCE	11	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/source_manifest.tsv;results/PDAC/01_CAMP/20260922T121000Z_sop_v3_discovery_complete/source_manifest.tsv;results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/source_manifest.tsv;results/PDAC/03_PATIENT/20260922T120300Z_sop_v3_internal/source_manifest.tsv;results/PDAC/06_EXTERNAL/20260922T131800Z_author_identity_v4/source_manifest.tsv;results/PDAC/07_INTEGRATION/20260922T131900Z_author_identity_v4/source_manifest.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
metabolite_paired.tsv	one metabolite feature within a named analysis family	PUBLIC_AGGREGATE	51	DONE	results/PDAC/01_CAMP/20260922T121000Z_sop_v3_discovery_complete/metabolite_paired.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
metabolite_available_sensitivity.tsv	one metabolite feature within a named analysis family	PUBLIC_AGGREGATE	51	DONE	results/PDAC/01_CAMP/20260922T121000Z_sop_v3_discovery_complete/metabolite_available_sensitivity.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
metabolite_workpool.tsv	one metabolite feature within a named analysis family	PUBLIC_AGGREGATE	51	DONE	results/PDAC/01_CAMP/20260922T121000Z_sop_v3_discovery_complete/metabolite_workpool.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
metabolite_direction_ranking.tsv	one metabolite feature within a named analysis family	PUBLIC_AGGREGATE	51	DONE	results/PDAC/01_CAMP/20260922T121000Z_sop_v3_discovery_complete/metabolite_direction_ranking.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
metabolite_identity.tsv	one source feature	PUBLIC_ANNOTATION	13	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/metabolite_identity.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
