cancer	gene	pool_status	work_priority	priority_reason	functional_class	functional_class_code	study_record_count	unique_source_count	genetic_intervention_reported	linked_direct_metabolites	direct_relation_ids	n_direct_relations	mapping_status	original_best_metabolite	original_n	original_rho	original_q	same_relation_er_v3_n	same_relation_er_v3_rho	same_relation_er_v3_q	same_relation_er_v2_q	er_v3_display_best_relation	er_v3_display_best_q	patient_evidence_summary	functional_summary	models	interventions	metabolite_readout	counterevidence_and_limits	research_increment	next_minimal_action	review_depth	literature_search_status	fulltext_review_status	mediation_in_CAMP	depmap_status	depmap_score	depmap_n_models	common_essential_status	normal_tissue_safety	cptac_role	fuscc_status	study_ids	source_urls	original_statistics_source	robustness_source	direct_mapping_source	review_status	snapshot_commit
BRCA	AASS	RETAINED	保留	赖氨酸关联线索，但本轮未取得乳腺癌特异遗传功能报告	本轮未取得适用干预报告	J	0	0	False	lysine	KEGG:C00047|AASS	1	复用原v1生化候选；未重新全面核验反应注释	lysine	61.0	0.3532522474881014	0.0693	61.0	0.22567446233909372	0.33799787234042555	0.3074711538461538	KEGG:C00047|AASS	0.33799787234042555	本轮ER关联未过0.05；不以此排除功能价值	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。				有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	赖氨酸关联线索，但本轮未取得乳腺癌特异遗传功能报告	先核查AASS同工型与可靠乳腺癌原始干预出处，不以搜索无命中认定无功能	BOUNDED_GENE_SEARCH_ONLY	DONE_BOUNDED_SEARCH	PARTIAL_NOT_ALL_FULLTEXT	NOT_ESTABLISHED	NOT_RUN; DEFERRED_BY_USER			NOT_ASSESSED	NOT_ASSESSED	本轮未新增或核验蛋白数据	本轮未取得318匹配明细，不将旧摘要当新增验证；待回接			https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/candidate_comparison_v1.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/direct_edges_v1.tsv	PARTIAL	227245e3171ac3b8530835624711c1a0a69363cf
BRCA	ACLY	RETAINED	保留	已有低分子量Cyclin E背景功能，常规再筛增量有限	有乳腺癌遗传干预报告	A	1	1	True	citrate	KEGG:C00158|ACLY	1	复用原v1生化候选；未重新全面核验反应注释	citrate	61.0	-0.3489628392157188	0.0693	55.0	-0.3033289315712026	0.21709565217391305	0.0979363636363636	KEGG:C00158|ACLY	0.21709565217391305	本轮ER关联未过0.05；不以此排除功能价值	S001（2016）：影响转化、迁移、侵袭；LMW-E背景肿瘤形成延迟	S001：LMW-E表达的乳腺癌细胞及小鼠肿瘤模型	S001：shRNA降低ACLY；比较全长与低分子量Cyclin E背景	S001：测量ACLY活性、脂滴；未证明CAMP bulk citrate关联介导表型	S001：LMW-E特定背景；不是全部乳腺癌普遍依赖	已有低分子量Cyclin E背景功能，常规再筛增量有限	只在LMW-E或独立患者可验证背景补证，不把所有BRCA当同一依赖	ABSTRACT_AND_FULLTEXT_EXCERPT	DONE_BOUNDED_SEARCH	PARTIAL_NOT_ALL_FULLTEXT	NOT_ESTABLISHED	NOT_RUN; DEFERRED_BY_USER			NOT_ASSESSED	NOT_ASSESSED	本轮未新增或核验蛋白数据	本轮未取得318匹配明细，不将旧摘要当新增验证；待回接	S001	https://pubmed.ncbi.nlm.nih.gov/26928812/	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/candidate_comparison_v1.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/direct_edges_v1.tsv	PARTIAL	227245e3171ac3b8530835624711c1a0a69363cf
BRCA	ADA	RETAINED	暂挂	检索主要为药物下游和同名歧义，未核实ADA特异干预	观察性或非基因特异背景	G	1	1	False	adenosine; inosine	KEGG:C00212|ADA; KEGG:C00294|ADA	2	复用原v1生化候选；未重新全面核验反应注释	inosine	61.0	-0.2181914331041776	0.2478184615384615	61.0	-0.19984547465956087	0.40382307692307695	0.362048275862069	KEGG:C00294|ADA	0.40382307692307695	本轮ER关联未过0.05；不以此排除功能价值	S002（2018）：药物处理伴随表达下调	S002：MCF-7	S002：多靶点姜黄素处理；测ODC1/ADA表达	S002：未证明ADA特异性扰动导致腺苷/肌苷相关表型	S002：非ADA特异遗传证据；不能把ADAR论文算为ADA	检索主要为药物下游和同名歧义，未核实ADA特异干预	排除ADAR/ADA2，取得ADA本体遗传实验再恢复机制优先级	ABSTRACT	DONE_BOUNDED_SEARCH	PARTIAL_NOT_ALL_FULLTEXT	NOT_ESTABLISHED	NOT_RUN; DEFERRED_BY_USER			NOT_ASSESSED	NOT_ASSESSED	本轮未新增或核验蛋白数据	本轮未取得318匹配明细，不将旧摘要当新增验证；待回接	S002	https://www.serbiosoc.org.rs/arch/index.php/abs/article/view/2642	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/candidate_comparison_v1.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/direct_edges_v1.tsv	PARTIAL	227245e3171ac3b8530835624711c1a0a69363cf
BRCA	ADA2	RETAINED	保留	巨噬细胞共培养/活性线索，不是癌细胞必需性	观察性或非基因特异背景	G	1	1	False	adenosine; inosine	KEGG:C00212|ADA2; KEGG:C00294|ADA2	2	复用原v1生化候选；未重新全面核验反应注释	inosine	61.0	-0.2347435219460602	0.2100857142857142	61.0	-0.21915142963438347	0.33799787234042555	0.3074711538461538	KEGG:C00294|ADA2	0.33799787234042555	本轮ER关联未过0.05；不以此排除功能价值	S003（2021）：THP-1上的ADA2活性改变并关联巨噬细胞表型	S003：MDA-MB-231与THP-1、Jurkat、内皮细胞共培养；TNBC患者	S003：共培养与腺苷脱氨酶活性测量	S003：测腺苷代谢/ADA活性；无当前核实的ADA2特异肿瘤抑制实验	S003：CECR2不是ADA2/CECR1；胶质瘤CECR1干预不可当BRCA验证	巨噬细胞共培养/活性线索，不是癌细胞必需性	定位ADA2来源与具体干预，不把CECR2或其他癌种CECR1研究转用	ABSTRACT	DONE_BOUNDED_SEARCH	PARTIAL_NOT_ALL_FULLTEXT	NOT_ESTABLISHED	NOT_RUN; DEFERRED_BY_USER			NOT_ASSESSED	NOT_ASSESSED	本轮未新增或核验蛋白数据	本轮未取得318匹配明细，不将旧摘要当新增验证；待回接	S003	https://pubmed.ncbi.nlm.nih.gov/33916440/	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/candidate_comparison_v1.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/direct_edges_v1.tsv	PARTIAL	227245e3171ac3b8530835624711c1a0a69363cf
BRCA	AFMID	RETAINED	暂挂	目前缺可归属乳腺癌的干预线索	本轮未取得适用干预报告	J	0	0	False	kynurenine	KEGG:C00328|AFMID	1	复用原v1生化候选；未重新全面核验反应注释	kynurenine	61.0	-0.2470650449497619	0.20270625	61.0	-0.16422144741854874	0.49527439024390246	0.4433785714285714	KEGG:C00328|AFMID	0.49527439024390246	本轮ER关联未过0.05；不以此排除功能价值	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。				有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	目前缺可归属乳腺癌的干预线索	保留犬尿氨酸关系，出现直接基因干预来源再推进	BOUNDED_GENE_SEARCH_ONLY	DONE_BOUNDED_SEARCH	PARTIAL_NOT_ALL_FULLTEXT	NOT_ESTABLISHED	NOT_RUN; DEFERRED_BY_USER			NOT_ASSESSED	NOT_ASSESSED	本轮未新增或核验蛋白数据	本轮未取得318匹配明细，不将旧摘要当新增验证；待回接			https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/candidate_comparison_v1.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/direct_edges_v1.tsv	PARTIAL	227245e3171ac3b8530835624711c1a0a69363cf
BRCA	AHCY	RETAINED	暂挂	检得的明确遗传实验为HepG2，癌种不适用	仅他癌或不适用乳腺癌	H	1	1	False	S-adenosylhomocysteine (SAH); adenosine	KEGG:C00021|AHCY; KEGG:C00212|AHCY	2	复用原v1生化候选；未重新全面核验反应注释	adenosine	61.0	-0.0862253599409032	0.6893023255813954	60.0	-0.13846240036659396	0.5210999999999999	0.6304695652173913	KEGG:C00212|AHCY	0.5210999999999999	本轮ER关联未过0.05；不以此排除功能价值	S004（2018）：腺苷耗竭、DNA损伤和细胞周期停滞；不能迁移为乳腺癌功能支持	S004：HepG2肝癌细胞，非乳腺癌	S004：AHCY敲低	S004：腺苷和SAM/SAH相关变化	S004：癌种不适用；当前未取得可归属的BRCA基因特异干预	检得的明确遗传实验为HepG2，癌种不适用	核查BRCA证据，不将肝癌结果记为乳腺癌验证	原始研究检索页可见结果	DONE_BOUNDED_SEARCH	PARTIAL_NOT_ALL_FULLTEXT	NOT_ESTABLISHED	NOT_RUN; DEFERRED_BY_USER			NOT_ASSESSED	NOT_ASSESSED	本轮未新增或核验蛋白数据	本轮未取得318匹配明细，不将旧摘要当新增验证；待回接	S004	https://www.nature.com/articles/s41598-018-32356-8	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/candidate_comparison_v1.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/direct_edges_v1.tsv	PARTIAL	227245e3171ac3b8530835624711c1a0a69363cf
BRCA	AMDHD2	RETAINED	暂挂	本轮未取得BRCA特异干预支持	本轮未取得适用干预报告	J	0	0	False	N-acetylglucosamine 6-phosphate	KEGG:C00357|AMDHD2	1	复用原v1生化候选；未重新全面核验反应注释	N-acetylglucosamine 6-phosphate	61.0	-0.0757016882891156	0.731514503816794	60.0	-0.11476964586279848	0.6258280373831776	0.6346163793103449	KEGG:C00357|AMDHD2	0.6258280373831776	本轮ER关联未过0.05；不以此排除功能价值	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。				有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	本轮未取得BRCA特异干预支持	避免把GNPNAT1/NAGK/整个HBP结果算给AMDHD2	BOUNDED_GENE_SEARCH_ONLY	DONE_BOUNDED_SEARCH	PARTIAL_NOT_ALL_FULLTEXT	NOT_ESTABLISHED	NOT_RUN; DEFERRED_BY_USER			NOT_ASSESSED	NOT_ASSESSED	本轮未新增或核验蛋白数据	本轮未取得318匹配明细，不将旧摘要当新增验证；待回接			https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/candidate_comparison_v1.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/direct_edges_v1.tsv	PARTIAL	227245e3171ac3b8530835624711c1a0a69363cf
BRCA	AOX1	RETAINED	保留	乳腺癌甲基化风险关联不是1-MNA酶功能证明	观察性或非基因特异背景	G	1	1	False	1-methylnicotinamide	KEGG:C02918|AOX1	1	复用原v1生化候选；未重新全面核验反应注释	1-methylnicotinamide	61.0	0.0699101004759386	0.7547142857142857	61.0	0.07586528314774109	0.7394142857142856	0.7265541984732824	KEGG:C02918|AOX1	0.7394142857142856	本轮ER关联未过0.05；不以此排除功能价值	S005（2018）：风险关联，不构成基因扰动证据	S005：401例乳腺癌、555例对照；外周血	S005：病例对照甲基化测量；未干预AOX1	S005：未核实对应CAMP代谢物变化	S005：血液标志物关联不是乳腺肿瘤细胞中AOX1功能；题名为内容概述	乳腺癌甲基化风险关联不是1-MNA酶功能证明	寻找肿瘤细胞/基质的AOX1扰动及1-MNA或氧化产物读数	摘要/检索结果	DONE_BOUNDED_SEARCH	PARTIAL_NOT_ALL_FULLTEXT	NOT_ESTABLISHED	NOT_RUN; DEFERRED_BY_USER			NOT_ASSESSED	NOT_ASSESSED	本轮未新增或核验蛋白数据	本轮未取得318匹配明细，不将旧摘要当新增验证；待回接	S005	https://pubmed.ncbi.nlm.nih.gov/30293322/	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/candidate_comparison_v1.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/direct_edges_v1.tsv	PARTIAL	227245e3171ac3b8530835624711c1a0a69363cf
BRCA	ARG1	RETAINED	暂挂	同名免疫背景和广谱精氨酸代谢不能代替ARG1直接干预	本轮未取得适用干预报告	J	0	0	False	arginine; ornithine	KEGG:C00062|ARG1; KEGG:C00077|ARG1	2	复用原v1生化候选；未重新全面核验反应注释	ornithine	61.0	-0.2700687466948704	0.15705	61.0	-0.2681057211758422	0.2528357142857143	0.22123125	KEGG:C00077|ARG1	0.2528357142857143	本轮ER关联未过0.05；不以此排除功能价值	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。				有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	同名免疫背景和广谱精氨酸代谢不能代替ARG1直接干预	核查细胞来源、ARG1/ARG2特异性；缺结果不视为无功能	BOUNDED_GENE_SEARCH_ONLY	DONE_BOUNDED_SEARCH	PARTIAL_NOT_ALL_FULLTEXT	NOT_ESTABLISHED	NOT_RUN; DEFERRED_BY_USER			NOT_ASSESSED	NOT_ASSESSED	本轮未新增或核验蛋白数据	本轮未取得318匹配明细，不将旧摘要当新增验证；待回接			https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/candidate_comparison_v1.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/direct_edges_v1.tsv	PARTIAL	227245e3171ac3b8530835624711c1a0a69363cf
BRCA	ARG2	RETAINED	优先核查	已有细胞周期干预线索，但实际是否为BRCA实验未确定	功能线索待方法/模型核定	F	1	1	False	arginine; ornithine	KEGG:C00062|ARG2; KEGG:C00077|ARG2	2	复用原v1生化候选；未重新全面核验反应注释	arginine	61.0	-0.2563722897937598	0.1853162790697674	61.0	-0.22094361120551703	0.33799787234042555	0.3074711538461538	KEGG:C00062|ARG2	0.33799787234042555	本轮ER关联未过0.05；不以此排除功能价值	S074（2019）：生长下降及G2/M受阻	S074：细胞周期/转化模型；乳腺癌分型表达，具体基因干预是否为BRCA细胞待核定	S074：ARG2敲低、代谢示踪	S074：精氨酸代谢	S074：摘要中的乳腺癌表达不自动把所有功能实验归为乳腺癌	已有细胞周期干预线索，但实际是否为BRCA实验未确定	先核定PMID30759381具体实验细胞，再决定是否赋予BRCA功能支持	PRIMARY_ABSTRACT	DONE_BOUNDED_SEARCH	PARTIAL_NOT_ALL_FULLTEXT	NOT_ESTABLISHED	NOT_RUN; DEFERRED_BY_USER			NOT_ASSESSED	NOT_ASSESSED	本轮未新增或核验蛋白数据	本轮未取得318匹配明细，不将旧摘要当新增验证；待回接	S074	https://pubmed.ncbi.nlm.nih.gov/30759381/	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/candidate_comparison_v1.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/direct_edges_v1.tsv	NEEDS_REVIEW	227245e3171ac3b8530835624711c1a0a69363cf
