kind	path_or_url	version	sha256	checksum_scope
local_compact_source_excerpt	original_gene_statistics_excerpt.tsv	227245e3171ac3b8530835624711c1a0a69363cf	8ccb75dab70b537e9cb4d70812e9a3e4da9722f1d1d2256a66898361f8a24810	仅本地紧凑摘录字节，不是完整GitHub文件SHA256
pinned_github_source	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/candidate_comparison_v1.tsv	227245e3171ac3b8530835624711c1a0a69363cf		Git提交号锁定，未获得本地完整源字节，不伪填SHA256
pinned_github_source	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/reference/brca/direct_edges_v1.tsv	227245e3171ac3b8530835624711c1a0a69363cf		Git提交号锁定，未获得本地完整源字节，不伪填SHA256
pinned_github_source	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/candidate_comparison_117_integrated_v3.tsv	227245e3171ac3b8530835624711c1a0a69363cf		Git提交号锁定，未获得本地完整源字节，不伪填SHA256
pinned_github_source	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	227245e3171ac3b8530835624711c1a0a69363cf		Git提交号锁定，未获得本地完整源字节，不伪填SHA256
literature_source	https://pubmed.ncbi.nlm.nih.gov/26928812/	2016; ABSTRACT_AND_FULLTEXT_EXCERPT		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://www.serbiosoc.org.rs/arch/index.php/abs/article/view/2642	2018; ABSTRACT		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/33916440/	2021; ABSTRACT		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://www.nature.com/articles/s41598-018-32356-8	2018; 原始研究检索页可见结果		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/30293322/	2018; 摘要/检索结果		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/29414946/	2018; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/40531994/	2025; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://www.nature.com/articles/s41419-024-06672-z	2024; 原始研究摘要及可见结果		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/24692592/	2014; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://www.nature.com/articles/s41467-021-22235-8	2021; 原始研究摘要/检索结果		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/32690540/	2020; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/28319069/	2017; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/32523652/	2020; 摘要及图注		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://aacrjournals.org/clincancerres/article/19/12/3201/77652/Frequent-Inactivation-of-Cysteine-Dioxygenase-Type	2013; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://www.sciencedirect.com/science/article/abs/pii/S1001841722006179	2023; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://link.springer.com/article/10.1186/s13058-015-0532-0	2015; 摘要及全文结果片段		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/27457520/	2016; 摘要及期刊全文结果片段		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/35008190/	2022; 摘要及图注		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubs.acs.org/doi/10.1021/acschembio.6b00433	2016; 全文结果片段及图注		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://www.nature.com/articles/s41467-026-73401-9	2026; 全文结果片段		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/27558661/	2016; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/34514415/	2021; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/26799588/	2016; 摘要及图注		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/31803610/	2019; 摘要及图注		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/29249690/	2018; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/33207079/	2021; 摘要及图注		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/36866961/	2023; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/37751742/	2023; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://academic.oup.com/endo/article/167/1/bqaf168/8320418	2026; 原始研究可见结果片段		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/24040364/	2013; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/38694857/	2024; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/42003071/	2026; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/39461203/	2024; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC12116638/	2025; 原始研究摘要及图注		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/40619388/	2025; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://link.springer.com/article/10.1186/s40170-025-00397-z	2025; 摘要及全文结果段落		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
literature_source	https://pubmed.ncbi.nlm.nih.gov/38664014/	2024; 原始研究摘要		未存全文；策展记录JSON另作SHA256，不冒充网页完整内容哈希
