cancer	gene	direct_metabolites	imported_functional_class	imported_work_priority	patient_evidence	original_best_q	receiver_source_cautions	next_minimal_action	study_ids	source_urls
BRCA	AASS	lysine	本轮未取得适用干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.0693	No additional issue identified within limited receipt checks;not a clean bill for all literature	先核查AASS同工型与可靠乳腺癌原始干预出处，不以搜索无命中认定无功能		
BRCA	ACLY	citrate	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.0693	No additional issue identified within limited receipt checks;not a clean bill for all literature	只在LMW-E或独立患者可验证背景补证，不把所有BRCA当同一依赖	S001	https://pubmed.ncbi.nlm.nih.gov/26928812/
BRCA	ADA	adenosine; inosine	观察性或非基因特异背景	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.2478184615384615	No additional issue identified within limited receipt checks;not a clean bill for all literature	排除ADAR/ADA2，取得ADA本体遗传实验再恢复机制优先级	S002	https://www.serbiosoc.org.rs/arch/index.php/abs/article/view/2642
BRCA	ADA2	adenosine; inosine	观察性或非基因特异背景	保留	本轮ER关联未过0.05；不以此排除功能价值	0.2100857142857142	No additional issue identified within limited receipt checks;not a clean bill for all literature	定位ADA2来源与具体干预，不把CECR2或其他癌种CECR1研究转用	S003	https://pubmed.ncbi.nlm.nih.gov/33916440/
BRCA	AFMID	kynurenine	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.20270625	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留犬尿氨酸关系，出现直接基因干预来源再推进		
BRCA	AHCY	S-adenosylhomocysteine (SAH); adenosine	仅他癌或不适用乳腺癌	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.6893023255813954	No additional issue identified within limited receipt checks;not a clean bill for all literature	核查BRCA证据，不将肝癌结果记为乳腺癌验证	S004	https://www.nature.com/articles/s41598-018-32356-8
BRCA	AMDHD2	N-acetylglucosamine 6-phosphate	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.731514503816794	No additional issue identified within limited receipt checks;not a clean bill for all literature	避免把GNPNAT1/NAGK/整个HBP结果算给AMDHD2		
BRCA	AOX1	1-methylnicotinamide	观察性或非基因特异背景	保留	本轮ER关联未过0.05；不以此排除功能价值	0.7547142857142857	No additional issue identified within limited receipt checks;not a clean bill for all literature	寻找肿瘤细胞/基质的AOX1扰动及1-MNA或氧化产物读数	S005	https://pubmed.ncbi.nlm.nih.gov/30293322/
BRCA	ARG1	arginine; ornithine	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.15705	No additional issue identified within limited receipt checks;not a clean bill for all literature	核查细胞来源、ARG1/ARG2特异性；缺结果不视为无功能		
BRCA	ARG2	arginine; ornithine	功能线索待方法/模型核定	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.1853162790697674	No additional issue identified within limited receipt checks;not a clean bill for all literature	先核定PMID30759381具体实验细胞，再决定是否赋予BRCA功能支持	S074	https://pubmed.ncbi.nlm.nih.gov/30759381/
