gene	relation_id	role	reason	limitation	metabolite_key	metabolite_name	selection_scope	source_commit
LYPLA1	KEGG:C04102|LYPLA1	患者联系	主关联与可用值分析支持；恶性上皮背景	精确脂质外部关系未评估，不是游离GPC	KEGG:C04102	1-palmitoyl-GPC (16:0)	DISPLAY_EXAMPLE_NOT_RANK	8663004f8d98acaf1368badc7436c84b059e4462
ASNS	KEGG:C00064|ASNS	患者联系	RNA升高及谷氨酰胺负关联	ER+浆细胞排名与类别覆盖限制；非通量	KEGG:C00064	glutamine	DISPLAY_EXAMPLE_NOT_RANK	8663004f8d98acaf1368badc7436c84b059e4462
GPI	KEGG:C00668|GPI	反证示例	内部正关联但配对RNA未支持	Tang已评估未支持正关联	KEGG:C00668	glucose 6-phosphate	DISPLAY_EXAMPLE_NOT_RANK	8663004f8d98acaf1368badc7436c84b059e4462
GPCPD1	KEGG:C00670|GPCPD1	反证示例	内部负关联及髓系背景	外部支持不足；RNA配对未支持	KEGG:C00670	glycerophosphorylcholine (GPC)	DISPLAY_EXAMPLE_NOT_RANK	8663004f8d98acaf1368badc7436c84b059e4462
NNMT	KEGG:C02918|NNMT	背景敏感性	正关联与成纤维背景	组成调整减弱；RNA配对降低	KEGG:C02918	1-methylnicotinamide	DISPLAY_EXAMPLE_NOT_RANK	8663004f8d98acaf1368badc7436c84b059e4462
LYPLA2	KEGG:C04102|LYPLA2	RNA/来源示例	RNA升高及恶性上皮背景	此具体关系不因RNA显著而升级	KEGG:C04102	1-palmitoyl-GPC (16:0)	DISPLAY_EXAMPLE_NOT_RANK	8663004f8d98acaf1368badc7436c84b059e4462
ABHD12	KEGG:C00219|ABHD12	RNA/来源示例	RNA升高及髓系来源	不以名义相关替代功能验证	KEGG:C00219	arachidonate (20:4n6)	DISPLAY_EXAMPLE_NOT_RANK	8663004f8d98acaf1368badc7436c84b059e4462
LPCAT1	KEGG:C04102|LPCAT1	来源差异示例	RNA升高	两研究来源不同；分型第一第二名接近	KEGG:C04102	1-palmitoyl-GPC (16:0)	DISPLAY_EXAMPLE_NOT_RANK	8663004f8d98acaf1368badc7436c84b059e4462
SLC7A11	KEGG:C00491|SLC7A11	RNA/来源示例	多数配对RNA升高	两研究最高类别不同；关系不强行解释	KEGG:C00491	cystine	DISPLAY_EXAMPLE_NOT_RANK	8663004f8d98acaf1368badc7436c84b059e4462
PYCR1	KEGG:C00148|PYCR1	RNA/来源示例	RNA升高及上皮背景	已有CAF功能文献不能被最高类别覆盖	KEGG:C00148	proline	DISPLAY_EXAMPLE_NOT_RANK	8663004f8d98acaf1368badc7436c84b059e4462
AASS	KEGG:C00047|AASS	患者联系	RNA降低、正关联、成纤维背景	敏感性q跨阈值但rho不变；外部不一致	KEGG:C00047	lysine	DISPLAY_EXAMPLE_NOT_RANK	8663004f8d98acaf1368badc7436c84b059e4462
ETNK1	KEGG:C00189|ETNK1	患者联系	主分析及可用值支持	来源不同；作用依赖背景，非既定干预方向	KEGG:C00189	ethanolamine	DISPLAY_EXAMPLE_NOT_RANK	8663004f8d98acaf1368badc7436c84b059e4462
