feature_id	metabolite_name	metabolite_key	gene	uniprot_accession	source_urls	relationship_type	reaction	role	evidence_origin	source_commit	identity_note	source_row_id	stable_gene_id	cancer	mapping_version
GBM_FEATURE:366993077ce453b4	cholesterol	KEGG:C00187	SOAT1	P35610	https://enzyme.expasy.org/EC/2.3.1.26 ; https://www.uniprot.org/uniprotkb/P35610/entry	酶	胆固醇酰化生成胆固醇酯。	转化底物	BRCA	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	M190E0077	UniProt:P35610	GBM	gbm_mapping_v1
GBM_FEATURE:366993077ce453b4	cholesterol	KEGG:C00187	SOAT2	O75908	https://enzyme.expasy.org/EC/2.3.1.26 ; https://www.uniprot.org/uniprotkb/O75908/entry	酶	胆固醇酰化生成胆固醇酯。	转化底物	BRCA	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	M190E0078	UniProt:O75908	GBM	gbm_mapping_v1
GBM_FEATURE:366993077ce453b4	cholesterol	KEGG:C00187	CYP27A1	Q02318	https://www.uniprot.org/uniprotkb/Q02318/entry				PRAD	37a0d018a2188e373660a1161a6c8c72fc872c7c	Reviewed exact-name and chemical-key human biochemical mapping; not exhaustive	PRAD_FEATURE:366993077ce453b4|CYP27A1	HGNC:2605	GBM	gbm_mapping_v1
GBM_FEATURE:366993077ce453b4	cholesterol	KEGG:C00187	SOAT1	P35610	https://enzyme.expasy.org/EC/2.3.1.26 ; https://www.uniprot.org/uniprotkb/P35610/entry ; https://www.uniprot.org/uniprotkb/P35610/entry				PRAD	37a0d018a2188e373660a1161a6c8c72fc872c7c	Reviewed exact-name and chemical-key human biochemical mapping; not exhaustive	PRAD_FEATURE:366993077ce453b4|SOAT1	UniProt:P35610	GBM	gbm_mapping_v1
GBM_FEATURE:366993077ce453b4	cholesterol	KEGG:C00187	SOAT2	O75908	https://enzyme.expasy.org/EC/2.3.1.26 ; https://www.uniprot.org/uniprotkb/O75908/entry ; https://www.uniprot.org/uniprotkb/O75908/entry				PRAD	37a0d018a2188e373660a1161a6c8c72fc872c7c	Reviewed exact-name and chemical-key human biochemical mapping; not exhaustive	PRAD_FEATURE:366993077ce453b4|SOAT2	UniProt:O75908	GBM	gbm_mapping_v1
GBM_FEATURE:3373c499464b3190	citrate	KEGG:C00158	CS	O75390	"[""https://www.kegg.jp/entry/R00351"", ""https://www.uniprot.org/uniprotkb/O75390/entry""]"	DIRECT_SUBSTRATE_OR_PRODUCT			COAD	0720928cafcbdcd864d606eecf873923e25424f9	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。		hsa:1431	GBM	gbm_mapping_v1
GBM_FEATURE:3373c499464b3190	citrate	KEGG:C00158	SLC13A5	Q86YT5	"[""https://www.uniprot.org/uniprotkb/Q86YT5/entry""]"	DIRECT_TRANSPORT			COAD	0720928cafcbdcd864d606eecf873923e25424f9	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。		hsa:284111	GBM	gbm_mapping_v1
GBM_FEATURE:3373c499464b3190	citrate	KEGG:C00158	ACLY	P53396	"[""https://www.kegg.jp/entry/R00352"", ""https://www.uniprot.org/uniprotkb/P53396/entry""]"	DIRECT_SUBSTRATE_OR_PRODUCT			COAD	0720928cafcbdcd864d606eecf873923e25424f9	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。		hsa:47	GBM	gbm_mapping_v1
GBM_FEATURE:3373c499464b3190	citrate	KEGG:C00158	ACO1	P21399	"[""https://www.kegg.jp/entry/R01324"", ""https://www.kegg.jp/entry/R01325"", ""https://www.uniprot.org/uniprotkb/P21399/entry""]"	DIRECT_SUBSTRATE_OR_PRODUCT			COAD	0720928cafcbdcd864d606eecf873923e25424f9	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。		hsa:48	GBM	gbm_mapping_v1
GBM_FEATURE:3373c499464b3190	citrate	KEGG:C00158	ACO2	Q99798	"[""https://www.kegg.jp/entry/R01324"", ""https://www.kegg.jp/entry/R01325"", ""https://www.uniprot.org/uniprotkb/Q99798/entry""]"	DIRECT_SUBSTRATE_OR_PRODUCT			COAD	0720928cafcbdcd864d606eecf873923e25424f9	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。		hsa:50	GBM	gbm_mapping_v1
