gene	stable_gene_id
GPI	UniProt:P06744
MPI	UniProt:P34949
PFKL	UniProt:P17858
PFKM	UniProt:P08237
PFKP	UniProt:Q01813
ACSL3	UniProt:O95573
ACSL4	UniProt:O60488
ALOX15	UniProt:P16050
CYP4F2	UniProt:P78329
BCAT1	hsa:586
BCAT2	hsa:587
IARS1	hsa:3376
IARS2	hsa:55699
SLC43A1	hsa:8501
SLC43A2	hsa:124935
SLC6A14	hsa:11254
SLC6A15	hsa:55117
SLC6A19	hsa:340024
SLC7A5	hsa:8140
SLC7A8	hsa:23428
ADO	hsa:84890
CSAD	hsa:51380
FMO1	hsa:2326
FMO3	hsa:2328
GADL1	hsa:339896
SLC6A1	hsa:6529
SLC6A11	hsa:6538
SLC6A13	hsa:6540
SLC6A6	hsa:6533
ACLY	hsa:47
ACO1	hsa:48
ACO2	hsa:50
ANKH	hsa:56172
CS	hsa:1431
RIMKLB	hsa:57494
SFXN5	hsa:94097
SLC13A2	hsa:9058
SLC13A5	hsa:284111
SLC25A1	hsa:6576
SLC25A14	hsa:9016
SLC25A21	hsa:89874
CYP27A1	HGNC:2605
SOAT1	UniProt:P35610
SOAT2	UniProt:O75908
AOC1	hsa:26
ATP13A3	UniProt:Q9H7F0
HDAC10	UniProt:Q969S8
ODC1	UniProt:P11926
PAOX	hsa:196743
SLC22A1	hsa:6580
SLC22A2	hsa:6582
SLC45A4	hsa:57210
SRM	hsa:6723
SHMT1	hsa:6470
SHMT2	UniProt:P34897
MGAM	hsa:8972
ADPGK	hsa:83440
B4GALT1	hsa:2683
B4GALT2	hsa:8704
G6PC1	hsa:2538
G6PC2	hsa:57818
G6PC3	hsa:92579
GBA1	hsa:2629
GBA2	hsa:57704
GBA3	hsa:57733
GCK	hsa:2645
H6PD	hsa:9563
HK1	hsa:3098
HK2	hsa:3099
HK3	hsa:3101
HKDC1	hsa:80201
IMPA1	UniProt:P29218
IMPA2	UniProt:O14732
LCT	hsa:3938
SI	hsa:6476
SLC2A1	hsa:6513
SLC2A10	hsa:81031
SLC2A11	hsa:66035
SLC2A12	hsa:154091
SLC2A14	hsa:144195
SLC2A2	hsa:6514
SLC2A3	hsa:6515
SLC2A4	hsa:6517
SLC2A7	hsa:155184
SLC2A8	hsa:29988
SLC45A1	hsa:50651
SLC45A2	hsa:51151
SLC5A1	hsa:6523
SLC5A11	hsa:115584
SLC5A2	hsa:6524
SLC60A2	hsa:91749
ASNS	hsa:440
ASS1	UniProt:P00966
GOT1	UniProt:P17174
GOT2	hsa:2806
LDHA	UniProt:P00338
LDHB	UniProt:P07195
AADAT	hsa:51166
CDO1	UniProt:Q16878
CNDP2	hsa:55748
GCLC	UniProt:P48506
AASS	UniProt:Q9UDR5
ACE2	UniProt:Q9BYF1
LARS1	hsa:51520
LARS2	hsa:23395
PLBD1	UniProt:Q6P4A8
PM20D1	UniProt:Q6GTS8
SLC25A44	hsa:9673
SLC38A10	hsa:124565
SLC38A2	hsa:54407
SLC38A8	hsa:146167
SLC38A9	hsa:153129
SLC6A17	hsa:388662
SLC7A13	hsa:157724
SLC7A6	hsa:9057
SLC7A7	hsa:9056
SLC7A9	hsa:11136
ABHD12	UniProt:Q8N2K0
ABHD6	UniProt:Q9BV23
ACSL1	UniProt:P33121
ACSL5	UniProt:Q9ULC5
LYPLA1	hsa:10434
MGLL	UniProt:Q99685
PLA2G4A	HGNC:9035
PLA2G6	HGNC:9039
FOLH1	UniProt:Q04609
GLS	hsa:2744
GLS2	hsa:27165
GLUL	hsa:2752
OAT	UniProt:P04181
SLC7A11	hsa:23657
TAT	hsa:6898
LYPLA2	hsa:11313
DPEP1	HGNC:3002
GCAT	HGNC:4188
GSS	hsa:2937
PEPD	UniProt:P12955
SLC22A7	hsa:10864
SLC47A1	hsa:55244
SLC47A2	hsa:146802
KHK	UniProt:P50053
SORD	UniProt:Q00796
