cancer	gene	historical_axis	historical_relation	historical_tier	rna_status	protein_status	reviewed_scope	exact_metabolite_gene_external_replication	review_reason
PDAC	PNP	purine_deoxynucleoside_axis	direct_phosphorolysis_of_deoxyinosine_and_deoxyguanosine	primary_direct	ANALYSED	ANALYSED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
PDAC	TYMP	thymidine_thymine_axis	reversible_thymidine_thymine_phosphorolysis	primary_direct	ANALYSED	ANALYSED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
PDAC	DPYD	thymidine_thymine_axis	downstream_thymine_pyrimidine_degradation	primary_direct	ANALYSED	ANALYSED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
PDAC	DCTD	dcmp_axis	dCMP_to_dUMP	primary_direct	ANALYSED	ANALYSED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
PDAC	CMPK1	dcmp_axis	dCMP_to_dCDP	primary_direct	ANALYSED	ANALYSED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
PDAC	SLC29A1	transport_context	equilibrative_nucleoside_transport	context_direct_transport	ANALYSED	ANALYSED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
PDAC	SLC29A2	transport_context	equilibrative_nucleoside_transport	context_direct_transport	ANALYSED	NOT_MEASURED_OR_NOT_MAPPED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
PDAC	DCK	dcmp_axis	deoxycytidine_to_dCMP_and_deoxyguanosine_phosphorylation	conditional_upstream	ANALYSED	ANALYSED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
PDAC	TK1	thymidine_thymine_axis	cytosolic_thymidine_to_dTMP	conditional_parallel	ANALYSED	ANALYSED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
PDAC	TK2	thymidine_thymine_axis	mitochondrial_thymidine_salvage	conditional_parallel	ANALYSED	ANALYSED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
PDAC	DGUOK	purine_deoxynucleoside_axis	mitochondrial_deoxyguanosine_phosphorylation	conditional_parallel	ANALYSED	ANALYSED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
PDAC	ADA	purine_deoxynucleoside_axis	deoxyadenosine_to_deoxyinosine_upstream	adjacent_reaction	ANALYSED	ANALYSED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
PDAC	HPRT1	purine_deoxynucleoside_axis	downstream_purine_salvage_not_direct_nucleoside_consumption	adjacent_reaction	ANALYSED	ANALYSED	GENE_ABUNDANCE_CONTEXT_ONLY	NOT_PERFORMED	No joint metabolite-gene association measured here. Historical axis is not a confirmed feature-level relation. PNP deoxynucleoside hypothesis must not be renamed guanosine replication.
