cancer	feature_name	metabolite_key	n_preimputation_available	n_processed_finite	identity_status	mapping_status	identity_note	locked_primary_relations	primary_evaluable	availability_evaluable	availability_feature_n_gate	review_reason
PDAC	1-pentadecanoylglycerol (1-monopentadecanoin)	NAME:1-pentadecanoylglycerol (1-monopentadecanoin)	6	27	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	0	0	0	N_LT_8	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	1-stearoylglycerol (18:0)	KEGG:D01947	24	27	HOLD	IDENTITY_REVIEW_REQUIRED	Original D01947 is glyceryl monostearate drug/mixture entry; name-specific 1-isomer hypothesis needs source confirmation.	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	2'-deoxycytidine 5'-monophosphate	KEGG:C00239	9	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	10	10	10	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	2'-deoxyguanosine	KEGG:C00330	20	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	6	6	6	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	2'-deoxyinosine	KEGG:C05512	21	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	2	2	2	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	2'-O-methylguanosine	KEGG:C04545	7	27	HOLD	IDENTITY_REVIEW_REQUIRED	Original C04545 denotes modified tRNA, not free nucleoside; do not map tRNA methyltransferases.	0	0	0	N_LT_8	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	2-linoleoylglycerol (2-monolinolein)	HMDB:HMDB11538	9	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	6	6	6	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	2-myristoylglycerol (2-monomyristin)	NAME:2-myristoylglycerol (2-monomyristin)	7	27	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	0	0	0	N_LT_8	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	2-oleoylglycerol (2-monoolein)	NAME:2-oleoylglycerol (2-monoolein)	10	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	15	15	15	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	2-palmitoylglycerol (16:0)	HMDB:HMDB11533	18	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	5	5	5	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	2-stearoylglycerol (2-monostearin)	NAME:2-stearoylglycerol (2-monostearin)	9	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	2	2	2	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	9,10-DiHOME	KEGG:C14828	16	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	2	2	2	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	acetylcarnitine	KEGG:C02571	27	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	4	4	4	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	adenosine 3'-monophosphate (3'-AMP)	KEGG:C01367	27	27	HOLD	IDENTITY_REVIEW_REQUIRED	Historical positional-isomer identity gate unresolved; do not substitute 5-prime AMP.	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	aspartylphenylalanine	HMDB:HMDB00706	23	27	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	butyrylcarnitine	KEGG:C02862	26	27	ANNOTATION_COMPATIBLE	NO_RELIABLE_EXACT_RELATION_FOUND_IN_SCOPE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	C-glycosyltryptophan	NAME:C-glycosyltryptophan	27	27	NO_EXACT_ID_BRIDGE	NO_RELIABLE_EXACT_RELATION_FOUND_IN_SCOPE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	citrate	KEGG:C00158	25	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	9	9	9	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	gamma-glutamylglutamate	KEGG:C05282	25	27	ANNOTATION_COMPATIBLE	CONDITIONAL_ONLY	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	gamma-glutamyltyrosine	HMDB:HMDB11741	23	27	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	glutamine	KEGG:C00064	27	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	25	25	25	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	glycerol	KEGG:C00116	27	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	31	31	31	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	glycerol 3-phosphate (G3P)	KEGG:C00093	27	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	11	11	11	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	glycerophosphorylcholine (GPC)	KEGG:C00670	27	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	13	12	12	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	glycylleucine	KEGG:C02155	27	27	ANNOTATION_COMPATIBLE	CONDITIONAL_ONLY	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	glycylproline	HMDB:HMDB00721	20	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	2	2	2	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	glycylvaline	HMDB:HMDB28854	21	27	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	guanosine	KEGG:C00387	27	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	11	11	11	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	ribulose/xylulose 5-phosphate	KEGG:C00199	24	27	HOLD	IDENTITY_REVIEW_REQUIRED	Combined isomer feature; original C00199 identifies only ribulose; no splitting into independent measurements.	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	leucine	KEGG:C00123	27	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	17	17	17	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	lysine	KEGG:C00047	27	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	13	13	13	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
