source_kind	source_url	version	git_blob_sha1	sha256	hash_scope
GitHub aggregate	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	06921616d5914b6b45c61bdb6c1f259cf1608f84	f81910ae70de3719abbe3d02e013795bce1e2bde		Remote Git blob ID from connector; exact source bytes not locally materialized
GitHub aggregate	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/results.tsv	06921616d5914b6b45c61bdb6c1f259cf1608f84	b18615e10d5cac76c319bebb79baa8eecffe8983		Remote Git blob ID; full974 table not copied or recomputed here
Curated primary-source record	https://www.nature.com/articles/srep04852	E01;PMID=24781822;year=2014		89c18ab3dd8fcab069ef6bfb15b62603d0cc342cb6133986f20664448d789145	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2022.887127/full	E02;PMID=35936694;year=2022		99e0c1e84dd55265f8b63d10010c066cb58e5bd7318cd616c4258278ed3e7aff	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://www.tandfonline.com/doi/abs/10.1080/19490976.2025.2451090	E03;PMID=;year=2025		ffe14cb1e354137c143e68774300c8d79710d803b9c75a02c2b8c63e15b3aba8	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/37343364/	E04;PMID=37343364;year=2023		4e6b89f2994ca95ea898612fd703bae9be7af00ef5f4a3baf5dbbcfc4a048399	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/21170045/	E05;PMID=21170045;year=2011		119443986cc7961f2fb93d3e94f647b6889e01f8f020cfb1235b391d6377c1d6	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/25201588/	E06;PMID=25201588;year=2014		0c44c4cd1af7f324a1eab22b08c06b06a332447bcdd4397eacd301720f179b6f	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/27323852/	E07;PMID=27323852;year=2016		fad9d58fc3c9aa455af18a5d7030bf46e779eaa58bab66114c5b6b9ea0c740eb	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/34539890/	E08;PMID=34539890;year=2021		2dbeb071ac5cd9a5eaa36d44875e95ad36a16b886a2229b432b3eda36d2f134a	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/33934428/	E09;PMID=33934428;year=2021		61df234e8b68eba7f813d58a69393d63e513dbda3bed78dd5d1661879d11f126	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/35954207/	E10;PMID=35954207;year=2022		5944a076c08b183578386f08bf88aa2c88c12d1e39ca6f2facbf9dd0be08a51a	SHA256 of curated record ONLY, not article text or source-page bytes
