evidence_id	gene	pmid	source_url	title	evidence_class	applicable_model	intervention	outcome_cn	counterevidence_and_limits_cn	reading_depth	own_patient_statistics	resource_status	full_figure_audit
N39E001	ABHD12	32366405	https://pubmed.ncbi.nlm.nih.gov/32366405/	ABHD12 Knockdown Suppresses Breast Cancer Cell Proliferation, Migration and Invasion.	BRCA_GENETIC	MCF7;MDA-MB-231	siRNA	降低后增殖、迁移、侵袭受抑	摘要层；不能证明当前脂质介导	abstract	False	NOT_YET_ELIGIBLE	False
N39E002	ACSL1	31581558	https://pubmed.ncbi.nlm.nih.gov/31581558/	ACSL1 Regulates TNFα-Induced GM-CSF Production by Breast Cancer MDA-MB-231 Cells.	BRCA_GENETIC	MDA-MB-231;TNFalpha条件	siRNA;triacsin C	降低ACSL1后TNF诱导GM-CSF减少	直接终点是炎症因子；triacsin C并非单基因特异证明	abstract_and_methods_excerpt	False	NOT_YET_ELIGIBLE	False
N39E003	ACSL3	38953696	https://pubmed.ncbi.nlm.nih.gov/38953696/	ACSL3 regulates breast cancer progression <i>via</i> lipid metabolism reprogramming and the YES1/YAP axis.	BRCA_GENETIC_DIRECTION_CAUTION	MCF7;MDA-MB-231	siRNA;过表达	降低后增殖、迁移、EMT增强	不能直接建议抑制；原研究新数据需申请	abstract_and_methods_excerpt	False	NOT_YET_ELIGIBLE	False
N39E004	ACSL4	39700137	https://pubmed.ncbi.nlm.nih.gov/39700137/	ACSL4-mediated H3K9 and H3K27 hyperacetylation upregulates SNAIL to drive TNBC metastasis.	BRCA_GENETIC	TNBC;MDA-MB-231 RNA实验	遗传降低;PRGL493	迁移、侵袭及转移相关终点降低	脂肪酸氧化与表观调控背景；不是全部BRCA通用结论	abstract_and_data_availability	False	NOT_YET_ELIGIBLE	False
N39E005	ACSL4	38078907	https://pubmed.ncbi.nlm.nih.gov/38078907/	A positive feedback loop between ZEB2 and ACSL4 regulates lipid metabolism to promote breast cancer metastasis.	BRCA_GENETIC	乳腺癌细胞及肺转移模型	敲低;过表达救援	降低后脂滴、迁移及转移结节减少	与ZEB2共同背景；不是独立患者复现	abstract	False	NOT_YET_ELIGIBLE	False
N39E006	ACSL5	42755793	https://pubmed.ncbi.nlm.nih.gov/42755793/	Type I collagen promotes triple-negative breast cancer progression through a UBE2V1-ACSL5 regulatory axis.	BRCA_GENETIC_DIRECTION_CAUTION	MDA-MB-231;BT-549;COL I	过表达	部分逆转胶原I诱导的恶性表型	体外COL I环境；不推广至肺转移营养背景	abstract	False	NOT_YET_ELIGIBLE	False
N39E007	ACSL5	41570334	https://pubmed.ncbi.nlm.nih.gov/41570334/	ACSL5 Mediates Adaptation to the Palmitic Acid-Enriched Pulmonary Microenvironment to Enhance Metastatic Breast Cancer Cell Survival and Lung Metastasis.	BRCA_FUNCTION_CONTEXT	肺偏好转移乳腺癌;富棕榈酸环境	靶向ACSL5/COX2/EP4轴	支持肺转移存活与药物增敏问题	摘要未逐项区分基因构建；与COL I模型方向不可简单合并	abstract	False	NOT_YET_ELIGIBLE	False
N39E008	ACSL6	41271644	https://pubmed.ncbi.nlm.nih.gov/41271644/	ACSL6 modulates docosahexaenoic acid-induced cytotoxicity to potentiate chemotherapy response in colorectal and breast cancer.	FUNCTION_MODEL_DETAIL_PENDING	结直肠癌与乳腺癌;DHA条件	降低;过表达	ACSL6参与DHA敏感性与铁死亡	需分开乳腺与结直肠各实验；不能把肠癌小鼠疗效转到乳腺癌	abstract_and_selected_figure_text	False	NOT_YET_ELIGIBLE	False
N39E009	ALOX5	33224971	https://pubmed.ncbi.nlm.nih.gov/33224971/	Aberrant ALOX5 Activation Correlates with HER2 Status and Mediates Breast Cancer Biological Activities through Multiple Mechanisms.	BRCA_FUNCTION_CONTEXT	HER2背景;SKBR3;BT-474	ALOX5功能抑制相关实验	生长、迁移与HER2/ALOX5活性相关	本轮不把HER2 siRNA当作ALOX5自身遗传验证；干预细节待核对	abstract_and_selected_methods	False	NOT_YET_ELIGIBLE	False
N39E010	CYP4F2	38646426	https://pubmed.ncbi.nlm.nih.gov/38646426/	Targeting estrogen mediated CYP4F2/CYP4F11-20-HETE metabolic disorder decelerates tumorigenesis in ER+ breast cancer.	BRCA_GENETIC	ER阳性;MCF7;雌激素背景	过表达;shRNA	促进增殖与抗凋亡;研究涉及20-HETE	CYP4F11并行；不把其结果全归CYP4F2	abstract_and_methods_excerpt	False	NOT_YET_ELIGIBLE	False
