基因	本轮定位	CAMP直接代谢物及方向	CAMP原未调关联（逐关系）	FUSCC原关联（逐关系）	Tang原关联（逐关系）	Tang可评估性	GSE42568肿瘤减正常log2差	GSE42568 RNA q	既有功能类别（未新增文献审核）	既有功能摘要	既有功能限制	既有细胞背景	本轮逐病例留出	本轮矛盾及缺项	本轮下一步范围	历史工作优先级（未重排）	历史最小工作（非新任务）	功能来源
AASS	保留原候选池；本轮未专项重评	lysine(降低)	lysine: ρ=0.3533; q=0.0693	lysine: ρ=0.1756; q=0.05551	lysine: ρ=-0.191; q=0.7822	DONE	-1.0206776381640277	0.0010363682451213	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: Fibroblasts; Pal: Fibroblasts; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	先核查AASS同工型与可靠乳腺癌原始干预出处，不以搜索无命中认定无功能	NA
ACLY	保留原候选池；本轮未专项重评	citrate(升高)	citrate: ρ=-0.349; q=0.0693	citrate: ρ=0.04199; q=0.9308	citrate: ρ=-0.2541; q=0.6994	DONE	-0.2316779760260185	0.3132392788351076	有乳腺癌遗传干预报告	S001（2016）：影响转化、迁移、侵袭；LMW-E背景肿瘤形成延迟	S001：LMW-E特定背景；不是全部乳腺癌普遍依赖	Wu: Malignant_epithelial; Pal: Endothelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	只在LMW-E或独立患者可验证背景补证，不把所有BRCA当同一依赖	https://pubmed.ncbi.nlm.nih.gov/26928812/
ADA	保留原候选池；本轮未专项重评	adenosine(升高); inosine(降低)	"adenosine: ρ=-0.04368; q=0.8627
inosine: ρ=-0.2182; q=0.2478"	"adenosine: ρ=-0.1573; q=0.09965
inosine: ρ=-0.1054; q=0.4062"	"adenosine: ρ=-0.1068; q=0.9172
inosine: ρ=0.4902; q=0.2675"	DONE	-1.1460075239389136	0.0009546846372838	观察性或非基因特异背景	S002（2018）：药物处理伴随表达下调	S002：非ADA特异遗传证据；不能把ADAR论文算为ADA	Wu: Endothelial; Pal: Endothelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	排除ADAR/ADA2，取得ADA本体遗传实验再恢复机制优先级	https://www.serbiosoc.org.rs/arch/index.php/abs/article/view/2642
ADA2	保留原候选池；本轮未专项重评	adenosine(升高); inosine(降低)	"adenosine: ρ=-0.009651; q=0.9541
inosine: ρ=-0.2347; q=0.2101"	"adenosine: ρ=-0.05201; q=0.8317
inosine: ρ=0.001283; q=1"	"adenosine: ρ=-0.07068; q=0.9242
inosine: ρ=-0.09023; q=0.9233"	DONE	0.2892138787856346	0.4597430370631237	观察性或非基因特异背景	S003（2021）：THP-1上的ADA2活性改变并关联巨噬细胞表型	S003：CECR2不是ADA2/CECR1；胶质瘤CECR1干预不可当BRCA验证	Wu: Myeloid; Pal: Myeloid; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	定位ADA2来源与具体干预，不把CECR2或其他癌种CECR1研究转用	https://pubmed.ncbi.nlm.nih.gov/33916440/
AFMID	保留原候选池；本轮未专项重评	kynurenine(升高)	kynurenine: ρ=-0.2471; q=0.2027	kynurenine: ρ=-0.2925; q=0.00348	kynurenine: ρ=-0.1985; q=0.7793	DONE	-0.0319383149242082	0.8875091330821757	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	保留犬尿氨酸关系，出现直接基因干预来源再推进	NA
AHCY	保留原候选池；本轮未专项重评	S-adenosylhomocysteine (SAH)(升高); adenosine(升高)	"S-adenosylhomocysteine (SAH): ρ=0.02794; q=0.8987
adenosine: ρ=-0.08623; q=0.6893"	"S-adenosylhomocysteine (SAH): ρ=0.08063; q=0.6033
adenosine: ρ=-0.04983; q=0.8444"	"S-adenosylhomocysteine (SAH): ρ=0.2722; q=0.6565
adenosine: ρ=-0.1744; q=0.834"	DONE	1.440674458705315	2.574734621076733e-07	仅他癌或不适用乳腺癌	S004（2018）：腺苷耗竭、DNA损伤和细胞周期停滞；不能迁移为乳腺癌功能支持	S004：癌种不适用；当前未取得可归属的BRCA基因特异干预	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	核查BRCA证据，不将肝癌结果记为乳腺癌验证	https://www.nature.com/articles/s41598-018-32356-8
AMDHD2	保留原候选池；本轮未专项重评	N-acetylglucosamine 6-phosphate(升高)	N-acetylglucosamine 6-phosphate: ρ=-0.0757; q=0.7315	N-acetylglucosamine 6-phosphate: ρ=0.01199; q=1	N-acetylglucosamine 6-phosphate: ρ=0.1744; q=0.8281	DONE	NA	NA	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: Myeloid; Pal: Myeloid; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	避免把GNPNAT1/NAGK/整个HBP结果算给AMDHD2	NA
AOX1	保留原候选池；本轮未专项重评	1-methylnicotinamide(升高)	1-methylnicotinamide: ρ=0.06991; q=0.7547	1-methylnicotinamide: ρ=-0.01482; q=1	1-methylnicotinamide: ρ=未测/不可评估; q=未测/不可评估	NOT_EVALUABLE	-2.430922844550904	3.319159514028648e-05	观察性或非基因特异背景	S005（2018）：风险关联，不构成基因扰动证据	S005：血液标志物关联不是乳腺肿瘤细胞中AOX1功能；题名为内容概述	Wu: Fibroblasts; Pal: Fibroblasts; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	寻找肿瘤细胞/基质的AOX1扰动及1-MNA或氧化产物读数	https://pubmed.ncbi.nlm.nih.gov/30293322/
ARG1	保留原候选池；本轮未专项重评	arginine(降低); ornithine(降低)	"arginine: ρ=-0.1132; q=0.5552
ornithine: ρ=-0.2701; q=0.157"	"arginine: ρ=-0.05374; q=0.828
ornithine: ρ=-0.09147; q=0.505"	"arginine: ρ=0.08356; q=0.9242
ornithine: ρ=0.09459; q=0.9233"	DONE	-0.0063741643187218	0.6996392405201998	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: T_NK_cells; Pal: Fibroblasts; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	核查细胞来源、ARG1/ARG2特异性；缺结果不视为无功能	NA
ARG2	保留原候选池；本轮未专项重评	arginine(降低); ornithine(降低)	"arginine: ρ=-0.2564; q=0.1853
ornithine: ρ=0.2057; q=0.2667"	"arginine: ρ=-0.06551; q=0.6933
ornithine: ρ=0.09414; q=0.4994"	"arginine: ρ=0.2782; q=0.633
ornithine: ρ=0.4797; q=0.2788"	DONE	-0.6977869611719458	0.0016090887104307	功能线索待方法/模型核定	S074（2019）：生长下降及G2/M受阻	S074：摘要中的乳腺癌表达不自动把所有功能实验归为乳腺癌	Wu: Nonmalignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	优先核查	先核定PMID30759381具体实验细胞，再决定是否赋予BRCA功能支持	https://pubmed.ncbi.nlm.nih.gov/30759381/
