module_id	module	features	relations	genes	metabolite_P_lt005	metabolite_q_lt005	association_P_lt005	association_q_lt005	decision	observation	limitations	next_minimum
M01	氨基酸氮分配与谷氨酸分支	8	35	23	7	6	11	1	PRIORITY_DISCUSSION	谷氨酰胺低、谷氨酸/天冬氨酸/脯氨酸高；比较多条直接关系，不锁定ASNS。	天冬酰胺未显著；ASNS以外多为P支持；细胞来源不全相同。	核对同病例变化组合；比较ASNS/BCAT2/GOT1/2/PYCR1现有来源。
M02	乙醇胺至磷酸乙醇胺短链	2	9	5	2	2	2	2	PRIORITY_DISCUSSION	两代谢物升高且敏感性保留；ETNK1与PCYT2分别有主/敏感性FDR关联。	ETNK1来源不稳/跨研究不同，PCYT2恶性上皮稳定；PCYT2配对RNA不显著，不能推断同一细胞合成增加。	核对两代谢物同病例共升；报告缺失CDP-乙醇胺/终产物证据。
M03	胆碱与溶血磷脂重塑背景	10	31	17	9	9	10	3	PRIORITY_DISCUSSION	胆碱/GPC降低而多种酰基GPC升高；LYPLA1、GPCPD1、ENPP2等来源不同。	不是一条线性链；1-stearoyl-GPC仅16可用对且敏感性q=0.068；外部精确脂质匹配缺项。	将精确脂质身份、可用对数与细胞来源并列；不推断细胞间转运。
M04	嘌呤降解与回收背景	8	18	8	6	6	7	1	PRIORITY_DISCUSSION	肌苷低、次黄嘌呤/鸟嘌呤高、黄嘌呤低；PNP/鸟嘌呤有内部FDR关联，PNP偏内皮。	尿酸未变；回收分支存在；Tang正向结果来自小样本且新版q不再过线。	核对共同变化与PNP/HPRT1/转运者不同来源，不把整条链称加速。
M05	丝氨酸甘氨酸与同工酶相反RNA	2	6	4	2	2	1	0	PRIORITY_DISCUSSION	两代谢物稳健升高；SHMT1为39/45降低，SHMT2为40/45升高。	两同工酶与这些代谢物关联均无FDR支持；定位不能证明区室通量，SHMT2分型来源并非完全一致。	作为区室/细胞背景假说；并列两个同工酶，不声称同一患者已发生功能替代。
M06	烟酰胺与甲基化产物	4	8	6	3	3	2	1	PRIORITY_DISCUSSION	NNMT与烟酰胺负关联、与1-MNA正关联；成纤维来源稳定；两代谢物配对升高。	NNMT RNA却30/45降低；组成调整后关联减弱；SAM未纳本表，不能推断甲基供体耗竭。	明确组间变化与肿瘤内部相关不同；以细胞背景解释矛盾，不掩盖反证。
M07	糖酵解节点与磷酸戊糖背景	8	11	10	5	5	3	2	CONTEXT_RETAIN	G6P/F6P/乳酸升高；GPI与前两者有关联并有稳定恶性上皮背景。	葡萄糖/3PG/丙酮酸不显著；6PG仅7可用对不可算；Tang不支持GPI正关联；不是全通路激活。	保留内部模块，不为GPI反复换模型。
M08	多元醇与果糖	3	3	2	2	2	2	1	MISSINGNESS_LIMITED	主分析山梨醇/果糖升高，SORD关联和RNA/来源初看较好。	山梨醇仅8、果糖14可用对，疾病差异不支持；SORD相关敏感性明显减弱，山梨醇rho近零。	降低优先级；先处理可用性限制，不能用稳定单细胞来源挽救代谢链。
M09	氨基糖与糖基化前体背景	4	8	7	3	3	4	0	MISSINGNESS_LIMITED	主分析多个糖前体升高，NAGK/PGM3/PMM2有P线索；NAGK髓系稳定。	GlcNAc及GlcNAc6P可用值疾病结果均未支持；PMM2稳定性不足，不能称糖基化增强。	保留补充；优先说明缺失而非立即做机制。
M10	半胱氨酸与抗氧化背景	8	24	21	6	6	9	0	CONTEXT_RETAIN	半胱氨酸等升高；CDO1 RNA45/45降低且成纤维排名稳定。	GSH可用值仅11对且不显著，GSSG不显著；CDO1检出不高；不能证明铁死亡抑制或抗氧化通量增强。	保留代谢物/RNA反向现象；不直接算处理尺度GSH/GSSG生化比值。
M11	色氨酸犬尿氨酸与髓系背景	2	3	3	1	1	2	1	CONTEXT_RETAIN	犬尿氨酸高；KYNU内部关联稳定，KYNU/KMO偏髓系。	色氨酸未显著；KYNU外部关联点估计反向且未显著；关键中间体未测，不能称免疫抑制机制。	作为组织组成问题保留，尚不定义连续机制链。
M12	肌酸肌酐	2	7	7	2	2	1	0	CONTEXT_RETAIN	两者配对降低且敏感性保留；连接SLC6A8等历史外部证据。	两者非同一运输底物；不能由丰度推断摄取活性或肿瘤能量短缺。	保留代谢模块，与氮代谢大通路区别。
M13	TCA节点不均一变化	5	12	12	2	2	4	0	CONTEXT_RETAIN	琥珀酸低/苹果酸高；FH/MDH2有内部P线索，MDH1有Tang小队列信号。	中间多个节点不显著；不能称整个TCA加快/受抑，也不能借MDH2证据解释MDH1。	保留异质变化与缺口，不把非连续节点画成闭合链。
M14	尿嘧啶降解	4	7	6	3	3	3	0	MISSINGNESS_LIMITED	尿嘧啶/二氢尿嘧啶/β丙氨酸主分析升高。	后两项可用对少；β丙氨酸敏感性q=0.103；中间节点不全，无新通量证据。	待补支持，不与覆盖充分的短链同级。
M15	赖氨酸与AASS背景	3	1	1	2	2	1	1	CONTEXT_RETAIN	赖氨酸与AASS RNA降低、内部正关联。	2-氨基己二酸主分析不显著；AASS单细胞低检出，不能当完整降解链。	保留患者线索，暂停仅围绕AASS扩展。
