cancer	cohort	author_celltype	coarse_celltype	annotation_origin	mapping_evidence	version	status	reason	author_celltype_specific	identity_status	n_cells
PDAC	GSE263733	Acinar cell	Acinar	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE263733	B cell	B/Plasma	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE263733	Ductal cell	Ductal (unresolved)	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE263733	Endothelial cell	Endothelial	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE263733	Fibroblast	Fibroblast/CAF	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE263733	Myeloid	Myeloid	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE263733	T cell	T/NK	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	Acinar	Acinar	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	B	B/Plasma	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	CAF	Fibroblast/CAF	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	CD4T	T/NK	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	CD8T	T/NK	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	Ductal	Ductal (unresolved)	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	Endocrine	Endocrine	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	Endothelial	Endothelial	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	Myeloid	Myeloid	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	NK	T/NK	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	Plasma	B/Plasma	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	Schwann	Schwann	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE278688	Stellate	Fibroblast/CAF	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_author_cell_identity_v4	DONE	Ductal identity unresolved in available per-cell GEO metadata	NA	NA	NA
PDAC	GSE242230	Acinar	Acinar	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	Acinar	OTHER_LINEAGE	91.0
PDAC	GSE242230	B cell	B/Plasma	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	B cell	OTHER_LINEAGE	1586.0
PDAC	GSE242230	Endothelial	Endothelial	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	Endothelial	OTHER_LINEAGE	274.0
PDAC	GSE242230	Erythrocyte	Erythrocyte	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	Erythrocyte	OTHER_LINEAGE	1199.0
PDAC	GSE242230	Fibroblast	Fibroblast/CAF	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	iCAF	OTHER_LINEAGE	291.0
PDAC	GSE242230	Fibroblast	Fibroblast/CAF	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	myCAF	OTHER_LINEAGE	356.0
PDAC	GSE242230	Malignant	Malignant (author)	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Explicit author malignant subtype;not independent CNV validation	Malignant - Basal	AUTHOR_MALIGNANT	5123.0
PDAC	GSE242230	Malignant	Malignant (author)	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Explicit author malignant subtype;not independent CNV validation	Malignant - Classical	AUTHOR_MALIGNANT	5660.0
PDAC	GSE242230	Malignant	Normal epithelial (author)	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Specific author label overrides broad Malignant label	Normal Epithelial	AUTHOR_NORMAL	350.0
PDAC	GSE242230	Mast	Mast	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	Mast	OTHER_LINEAGE	91.0
PDAC	GSE242230	Monocyte/DC	Myeloid	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	DC	OTHER_LINEAGE	622.0
PDAC	GSE242230	Monocyte/DC	Myeloid	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	DC/Macrophage - Proliferating	OTHER_LINEAGE	157.0
PDAC	GSE242230	Monocyte/DC	Myeloid	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	TAM - C1QC	OTHER_LINEAGE	1565.0
PDAC	GSE242230	Monocyte/DC	Myeloid	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	TAM - FCN1	OTHER_LINEAGE	2720.0
PDAC	GSE242230	Monocyte/DC	Myeloid	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	TAM - SPP1	OTHER_LINEAGE	1141.0
PDAC	GSE242230	Monocyte/DC	Myeloid	Author supplied broad and specific fields	Specific normal or malignant identity takes precedence	PDAC_author_cell_identity_v4	DONE	Original nonductal lineage retained	pDC	OTHER_LINEAGE	41.0
