gene	search_topics	query_log_type	searched_date	screening_checks	evidence_ids	result_scope	limits
ADSS2	"""ADSS2"" colorectal cancer knockdown; ""ADSS2"" colon cancer; ADSS2;ADSS;adenylosuccinate synthetase"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果		本轮未确认针对ADSS2的适用CRC遗传干预研究	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
AQP9	"""AQP9"" colorectal cancer knockdown; ""AQP9"" colon cancer; AQP9;aquaporin 9"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E13;E14;E15	有CRC基因功能报道，但促转移、药物增敏及抑增殖结果依背景不同	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
ASPA	"""ASPA"" colorectal cancer knockdown; ""ASPA"" colon cancer; ASPA;aspartoacylase;N-acetylaspartate"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E40	未确认ASPA在CRC的基因特异肿瘤表型干预	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
B4GALT2	"""B4GALT2"" colorectal cancer knockdown; ""B4GALT2"" colon cancer; B4GALT2;beta-1,4-galactosyltransferase 2"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E23	CRC相关A146V有酶活/修饰变化，但该研究SW480迁移未改变	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
BCAT2	"""BCAT2"" colorectal cancer knockdown; ""BCAT2"" colon cancer; BCAT2;branched-chain aminotransferase 2"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E18	CRC机制研究含BCAT2相关遗传操作及BCAA利用；单基因肿瘤终点仍需逐图核定	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
BPGM	"""BPGM"" colorectal cancer knockdown; ""BPGM"" colon cancer; BPGM;bisphosphoglycerate mutase"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果		本轮未确认可适用的CRC基因扰动证据	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
CANT1	"""CANT1"" colorectal cancer knockdown; ""CANT1"" colon cancer; CANT1;calcium activated nucleotidase 1"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果		未确认CANT1在CRC的适用干预功能	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
ENO2	"""ENO2"" colorectal cancer knockdown; ""ENO2"" colon cancer; ENO2;neuron specific enolase"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E09;E10	有CRC基因干预及特定BRAF/迁移相关研究	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
ENTPD3	"""ENTPD3"" colorectal cancer knockdown; ""ENTPD3"" colon cancer; ENTPD3;NTPDase3"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E39	本轮未确认ENTPD3自身的CRC肿瘤干预	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
GMPR	"""GMPR"" colorectal cancer knockdown; ""GMPR"" colon cancer; GMPR;guanosine monophosphate reductase"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果		本轮未确认GMPR在CRC的直接功能干预	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
GNPAT	"""GNPAT"" colorectal cancer knockdown; ""GNPAT"" colon cancer; GNPAT;DHAPAT;glyceronephosphate O-acyltransferase"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果		未确认GNPAT自身的CRC肿瘤扰动证据	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
GSTA4	"""GSTA4"" colorectal cancer knockdown; ""GSTA4"" colon cancer; GSTA4;glutathione S transferase A4"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E02;E03	有HCT116敲除及移植瘤支持，同时有宿主髓系/炎症条件的不同后果	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
GSTO2	"""GSTO2"" colorectal cancer knockdown; ""GSTO2"" colon cancer; GSTO2;glutathione S transferase omega 2"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E21	有HCT116、HT29的siRNA体外增殖/迁移报告	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
GSTT2	"""GSTT2"" colorectal cancer knockdown; ""GSTT2"" colon cancer; GSTT2;glutathione S transferase theta 2"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E38	有CRC风险/启动子调控研究，未确认本轮所需肿瘤表型干预	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
GSTT2B	"""GSTT2B"" colorectal cancer knockdown; ""GSTT2B"" colon cancer; GSTT2B;GSTT2"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果		未确认GSTT2B特异的CRC肿瘤功能干预	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
HAGH	"""HAGH"" colorectal cancer knockdown; ""HAGH"" colon cancer; HAGH;GLO2;glyoxalase II"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E31	检到前列腺癌Glo2/HAGH研究，尚无本轮确认的CRC干预	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
HDC	"""HDC"" colorectal cancer knockdown; ""HDC"" colon cancer; HDC;histidine decarboxylase"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E05	宿主Hdc缺失促进炎症相关癌变，组胺/髓系分化有保护性作用	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
ICMT	"""ICMT"" colorectal cancer knockdown; ""ICMT"" colon cancer; ICMT;isoprenylcysteine carboxyl methyltransferase"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E19;E20	CRC有药理及过表达靶向救援背景，不同于完整遗传依赖证明	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
KMT5A	"""KMT5A"" colorectal cancer knockdown; ""KMT5A"" colon cancer; KMT5A;SETD8;PR-Set7"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E11;E12	SETD8有CRC基因功能研究，但2023促糖酵解与2026YAP抑癌方向不同	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
NME6	"""NME6"" colorectal cancer knockdown; ""NME6"" colon cancer; NME6;nm23-H6;RCC1L"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E25;E26;E27;E28	有NME6–RCC1L/线粒体核苷酸机制，未确认适用CRC肿瘤功能	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
NNMT	"""NNMT"" colorectal cancer knockdown; ""NNMT"" colon cancer; NNMT;nicotinamide N-methyltransferase"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E06;E07;E08	已有CRC生长、1-MNA及5-FU耐药的较直接功能背景	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
NT5C3A	"""NT5C3A"" colorectal cancer knockdown; ""NT5C3A"" colon cancer; NT5C3A;NT5C3;pyrimidine 5 nucleotidase"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E32	有其他疾病/药物遗传学背景，本轮未确认CRC直接扰动	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
PGAM2	"""PGAM2"" colorectal cancer knockdown; ""PGAM2"" colon cancer; PGAM2;phosphoglycerate mutase 2"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果		本轮未确认PGAM2适用CRC功能	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
PLA2G15	"""PLA2G15"" colorectal cancer knockdown; ""PLA2G15"" colon cancer; PLA2G15;LPLA2;NFATC3-PLA2G15"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E24	可核实CRC干预针对NFATC3–PLA2G15融合，而不是野生型PLA2G15	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
PRMT7	"""PRMT7"" colorectal cancer knockdown; ""PRMT7"" colon cancer; PRMT7;protein arginine methyltransferase 7;PRMT7-V2"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E16	CRC研究支持特定PRMT7剪接变体的功能	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
SLC15A3	"""SLC15A3"" colorectal cancer knockdown; ""SLC15A3"" colon cancer; SLC15A3;PHT2;peptide histidine transporter 2"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E33;E34	淋巴瘤有溶酶体二肽/6-MP耐药机制，本轮未确认CRC适用干预	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
SLC29A1	"""SLC29A1"" colorectal cancer knockdown; ""SLC29A1"" colon cancer; SLC29A1;ENT1;equilibrative nucleoside transporter 1"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E22	HCT116有ENT1敲低降低尿苷与地西他滨摄取的直接证据	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
SLC29A3	"""SLC29A3"" colorectal cancer knockdown; ""SLC29A3"" colon cancer; SLC29A3;ENT3;guanine;guanosine"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果		本轮未确认SLC29A3自身的CRC肿瘤表型干预	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
SLC38A3	"""SLC38A3"" colorectal cancer knockdown; ""SLC38A3"" colon cancer; SLC38A3;SNAT3;SN1"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E17	有HCT116 siRNA体外表型及HSP70相关救援	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
SLC6A17	"""SLC6A17"" colorectal cancer knockdown; ""SLC6A17"" colon cancer; SLC6A17;NTT4;B0AT3"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E29;E30	有神经/异源模型底物转运依据，本轮未确认CRC肿瘤干预	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
SLC6A6	"""SLC6A6"" colorectal cancer knockdown; ""SLC6A6"" colon cancer; SLC6A6;TauT;taurine transporter"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E01	有多CRC细胞株敲低/过表达、牛磺酸摄取和移植瘤相关证据	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
SLC7A8	"""SLC7A8"" colorectal cancer knockdown; ""SLC7A8"" colon cancer; SLC7A8;LAT2;large neutral amino acid transporter 2"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E35	可见其他癌种LAT2作用，本轮未确认CRC基因特异干预	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
UAP1	"""UAP1"" colorectal cancer knockdown; ""UAP1"" colon cancer; UAP1;UDP-N-acetylglucosamine pyrophosphorylase 1"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E36	检到前列腺癌UAP1功能，未确认本轮CRC适用干预	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
UCKL1	"""UCKL1"" colorectal cancer knockdown; ""UCKL1"" colon cancer; UCKL1;uridine cytidine kinase like 1"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E04	CRC RNA干扰、救援及体内研究支持铁死亡防御	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
UPP2	"""UPP2"" colorectal cancer knockdown; ""UPP2"" colon cancer; UPP2;uridine phosphorylase 2"	定向检索主题记录，不冒充完整逐请求日志	2026-09-19	精确基因/别名；CRC适用性；干预对象；生长/迁移/运输终点；相反结果	E37	有人UPP2生化结构依据，未确认本轮适用CRC肿瘤干预	未找到适用来源仅表示本轮可访问定向检索未确认；不是不存在功能的证明
