gene	aliases_searched	linked_metabolites	n_nominal_relations	evidence_class_code	evidence_class_cn	functional_conclusion_cn	metabolic_link_cn	counterevidence_or_limit_cn	research_increment_cn	research_decision_cn	next_action_cn	mapping_note_cn	patient_evidence_cn	evidence_ids	evidence_urls	n_evidence_records	review_scope_cn	depmap_status	depmap_score	depmap_n_models	full_pool_status	patient_statistics_status	review_status
ADSS2	ADSS2;ADSS;adenylosuccinate synthetase	adenylosuccinate	1	I	本轮未确认适用CRC功能	本轮未确认针对ADSS2的适用CRC遗传干预研究	腺苷酸代琥珀酸关系仍是生化候选与名义关联	ADSS1、ADSL及其他癌种结果不能替代；未命中不等于无功能	先判断是否有CRC特定依赖/合成途径数据，而非重复相关图	保留	仅在取得明确ADSS2原文或公开扰动数据后升级	原生化注释为暂定；本轮未重新验证全部反应/组织区室	adenylosuccinate: rho≈0.4643, q≈0.4062			0	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
AQP9	AQP9;aquaporin 9	adenine	1	A	CRC肿瘤模型基因干预报告	有CRC基因功能报道，但促转移、药物增敏及抑增殖结果依背景不同	当前功能多涉及5-FU摄取、DVL2/Wnt或KRAS背景；腺嘌呤介导未证明	不能据同一基因标签确定统一抑制方向	按治疗、KRAS状态和生长/转移终点分层，检验背景差异	优先核查	先核对三篇论文模型及方向，寻找对应公开表达/药物数据	腺嘌呤候选底物需保留物种与运输区室限定；不把小分子通透性等同COAD通量	adenine: rho≈-0.3887, q≈0.6878	E13;E14;E15	"https://pubmed.ncbi.nlm.nih.gov/28640255/
https://academic.oup.com/gastro/article/doi/10.1093/gastro/goad033/7205477
https://pubmed.ncbi.nlm.nih.gov/40210882/"	3	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
ASPA	ASPA;aspartoacylase;N-acetylaspartate	N-acetylaspartate (NAA)	1	I	本轮未确认适用CRC功能	未确认ASPA在CRC的基因特异肿瘤表型干预	NAA关系有名义患者线索，不能靠相似名称补功能	ASPN/asporin不是ASPA；E40仅作为排除记录	优先验证确切酶和标注身份，再找NAA相关独立数据	保留	后续检索保持ASPA/aspartoacylase精确身份	原生化注释为暂定；本轮未重新验证全部反应/组织区室	N-acetylaspartate (NAA): rho≈0.3568, q≈0.7791	E40	https://pubmed.ncbi.nlm.nih.gov/27705916/	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
B4GALT2	B4GALT2;beta-1,4-galactosyltransferase 2	uridine 5'-diphosphate (UDP)	1	F	CRC生化改变，所测迁移未改变	CRC相关A146V有酶活/修饰变化，但该研究SW480迁移未改变	UDP属于反应相关产物，不是该基因专属通量指标	不能把同文B3GNT2/ST6GALNAC2的迁移表型归给B4GALT2	有意义的问题是突变与糖型背景，不是再宣称普通表达抑瘤	暂挂	暂挂通用治疗方向；保留突变/糖基化生化证据	原生化注释为暂定；本轮未重新验证全部反应/组织区室	uridine 5'-diphosphate (UDP): rho≈0.4699, q≈0.4062	E23	https://www.nature.com/articles/srep23642	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
BCAT2	BCAT2;branched-chain aminotransferase 2	isoleucine	1	E	CRC通路内线索，独立基因终点待核	CRC机制研究含BCAT2相关遗传操作及BCAA利用；单基因肿瘤终点仍需逐图核定	蛋白稳定性受TRIM21/circRNA调控，未必由总RNA反映	不可把全部上游circRNA小鼠表型都归于BCAT2单独敲低	检查蛋白稳定性/BCAA背景能否解释RNA与代谢的脱节	优先核查	优先核读BCAT2干预/救援面板，而不是再筛P值	原生化注释为暂定；本轮未重新验证全部反应/组织区室	isoleucine: rho≈-0.4051, q≈0.6878	E18	https://pubmed.ncbi.nlm.nih.gov/39642324/	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
BPGM	BPGM;bisphosphoglycerate mutase	2-phosphoglycerate	1	I	本轮未确认适用CRC功能	本轮未确认可适用的CRC基因扰动证据	2-PG患者线索对可用性高度敏感	子集n=11，rho约0.209、P约0.540；其他癌种不作CRC验证	当前先解决测量与反应角色，短期不投入额外功能故事	暂挂	保留原统计；待独立测量或明确CRC文献再恢复	原生化注释为暂定；本轮未重新验证全部反应/组织区室	2-phosphoglycerate: rho≈0.4003, q≈0.6878			0	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
CANT1	CANT1;calcium activated nucleotidase 1	inosine 5'-monophosphate (IMP)	1	I	本轮未确认适用CRC功能	未确认CANT1在CRC的适用干预功能	IMP的生成/底物角色须精确核对，不能直接写成IMP降解	数据库反应注释不等同IMP特异性，其他癌种证据不代替	先把确切核苷酸反应和区室核清	保留	查人蛋白原反应注释及底物实验；暂不据相关性定靶	IMP是底物还是反应产物本轮未独立定案；不修改既有映射	inosine 5'-monophosphate (IMP): rho≈0.4716, q≈0.4062			0	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
ENO2	ENO2;neuron specific enolase	2-phosphoglycerate	1	A	CRC肿瘤模型基因干预报告	有CRC基因干预及特定BRAF/迁移相关研究	部分功能为CYTOR/YAP1相关、糖酵解非依赖	2-PG可用性子集n=11、rho约0.073；功能存在不等于当前2-PG机制成立	作为已知功能参照，必须明确BRAF/药物或非经典作用的新问题	保留	优先处理2-PG测量稳定性；不追加泛化生存图	原生化注释为暂定；本轮未重新验证全部反应/组织区室	2-phosphoglycerate: rho≈0.4698, q≈0.4062	E09;E10	"https://pubmed.ncbi.nlm.nih.gov/33934428/
https://pubmed.ncbi.nlm.nih.gov/35954207/"	2	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
ENTPD3	ENTPD3;NTPDase3	inosine 5'-monophosphate (IMP)	1	I	本轮未确认适用CRC功能	本轮未确认ENTPD3自身的CRC肿瘤干预	IMP候选反应角色仍需核查	CRC外泌体研究命中为ENTPD2，不是ENTPD3	首先解决基因和反应对象，而非转用同家族论文	暂挂	暂停正向功能赋分；保留原名义关系	核对底物二/三磷酸与IMP产物角色；不把IMP直接视作水解底物	inosine 5'-monophosphate (IMP): rho≈0.3546, q≈0.7755	E39	https://pubmed.ncbi.nlm.nih.gov/38755598/	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
GMPR	GMPR;guanosine monophosphate reductase	inosine 5'-monophosphate (IMP)	1	I	本轮未确认适用CRC功能	本轮未确认GMPR在CRC的直接功能干预	保留IMP生化联系及患者名义关联	GMPR2、GMPS或其他癌种研究不能直接替代	需要CRC适用的原始功能或独立患者支持	保留	取得基因特异原文前保持候选，不升级治疗方向	原生化注释为暂定；本轮未重新验证全部反应/组织区室	inosine 5'-monophosphate (IMP): rho≈0.4699, q≈0.4062			0	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
