metabolite_key	metabolite_name	gene	n_display	rho_display	p_display	q_display	evidence_status	statistics_provenance	source_url	function_class_cn	function_summary_cn	counterevidence_cn	pair_mechanism_limit_cn	research_decision_cn	evidence_ids	depmap_score	depmap_n_models
KEGG:C02918	1-methylnicotinamide	NNMT	33	0.4071	0.0219	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC肿瘤模型基因干预报告	已有CRC生长、1-MNA及5-FU耐药的较直接功能背景	已知轴研究较多；癌细胞与基质作用需要区分	1-MNA与SAM两条名义关联提供患者背景，但不是新机制	保留	E06;E07;E08		
KEGG:C00631	2-phosphoglycerate	BPGM	33	0.4003	0.0231	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	本轮未确认适用CRC功能	本轮未确认可适用的CRC基因扰动证据	子集n=11，rho约0.209、P约0.540；其他癌种不作CRC验证	2-PG患者线索对可用性高度敏感	暂挂			
KEGG:C00631	2-phosphoglycerate	ENO2	33	0.4698	0.0041	0.4062	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC肿瘤模型基因干预报告	有CRC基因干预及特定BRAF/迁移相关研究	2-PG可用性子集n=11、rho约0.073；功能存在不等于当前2-PG机制成立	部分功能为CYTOR/YAP1相关、糖酵解非依赖	保留	E09;E10		
KEGG:C00631	2-phosphoglycerate	PGAM2	33	0.3525	0.0425	0.7489	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	本轮未确认适用CRC功能	本轮未确认PGAM2适用CRC功能	不能借用PGAM1论文；小样本不证明无功能但当前信号不足	2-PG可用性分析只剩11人且相关约-0.055	暂挂			
KEGG:C04501	N-Acetylglucosamine 1-phosphate	UAP1	33	0.4241	0.0162	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	仅其他模型/生化背景	检到前列腺癌UAP1功能，未确认本轮CRC适用干预	UAP1L1、GFPT1或其他通路基因不能替代UAP1	GlcNAc-1P候选关系不等于糖基化表型已被证明	保留	E36		
KEGG:C01042	N-acetylaspartate (NAA)	ASPA	33	0.3568	0.0466	0.7791	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	本轮未确认适用CRC功能	未确认ASPA在CRC的基因特异肿瘤表型干预	ASPN/asporin不是ASPA；E40仅作为排除记录	NAA关系有名义患者线索，不能靠相似名称补功能	保留	E40		
KEGG:C00019	S-adenosylmethionine (SAM)	ICMT	33	-0.3867	0.0262	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC药理及靶向救援	CRC有药理及过表达靶向救援背景，不同于完整遗传依赖证明	ICMT敲低减弱某药杀伤，不可改写成敲低本身抑瘤	SAM是广泛甲基供体；未证明当前SAM相关介导	保留	E19;E20		
KEGG:C00019	S-adenosylmethionine (SAM)	KMT5A	33	0.373	0.0327	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC肿瘤模型基因干预报告	SETD8有CRC基因功能研究，但2023促糖酵解与2026YAP抑癌方向不同	不应合成一个统一的抑制建议；模型、底物和终点均需拆分	特定蛋白位点甲基化不能由bulk SAM—总RNA直接判断	优先核查	E11;E12		
KEGG:C00019	S-adenosylmethionine (SAM)	NNMT	33	-0.387	0.0268	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC肿瘤模型基因干预报告	已有CRC生长、1-MNA及5-FU耐药的较直接功能背景	已知轴研究较多；癌细胞与基质作用需要区分	1-MNA与SAM两条名义关联提供患者背景，但不是新机制	保留	E06;E07;E08		
KEGG:C00019	S-adenosylmethionine (SAM)	PRMT7	33	0.4004	0.0225	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC肿瘤模型基因干预报告	CRC研究支持特定PRMT7剪接变体的功能	剪接背景未明时不能推广到全PRMT7或所有CRC	总RNA与SAM相关无法区分V1/V2及位点甲基化	优先核查	E16		
