mode	group	bin_id	mean_log2_ratio	n_donors
primary	B_control	chr10:0	-0.03406326085596389	20
primary	B_control	chr10:1	-0.024660395192236804	22
primary	B_control	chr10:10	0.0018599350695125707	21
primary	B_control	chr10:11	-0.0007977901644458132	22
primary	B_control	chr10:12	0.0008930062999750574	18
primary	B_control	chr10:13	0.007453180791500802	6
primary	B_control	chr10:2	-0.012889900395150897	20
primary	B_control	chr10:3	-0.008330017821591668	13
primary	B_control	chr10:4	-0.005956498684527031	15
primary	B_control	chr10:5	0.00471404945077827	2
primary	B_control	chr10:6	-0.012787875876102946	21
primary	B_control	chr10:7	-0.008288994247500403	22
primary	B_control	chr10:8	0.004329629602369085	21
primary	B_control	chr10:9	0.006240377297776954	19
primary	B_control	chr11:0	0.005461513688117037	22
primary	B_control	chr11:1	0.004196022444821383	22
primary	B_control	chr11:10	-0.0020897604783998553	22
primary	B_control	chr11:11	-0.06625977878294526	22
primary	B_control	chr11:12	-0.10987512273562325	18
primary	B_control	chr11:13	-0.07136242603184319	3
primary	B_control	chr11:2	NA	0
primary	B_control	chr11:3	0.003256546399511948	20
primary	B_control	chr11:4	0.01102735399712815	20
primary	B_control	chr11:5	0.020450366833467723	18
primary	B_control	chr11:6	0.01803059740168789	22
primary	B_control	chr11:7	0.02015775764783355	22
primary	B_control	chr11:8	0.01583805238625885	19
primary	B_control	chr11:9	0.011354324362023585	20
primary	B_control	chr12:0	-0.08621728326683244	22
primary	B_control	chr12:1	-0.06674248640351123	22
primary	B_control	chr12:10	0.013772993087958464	22
primary	B_control	chr12:11	0.012875271283611723	22
primary	B_control	chr12:12	0.01118790940519799	22
primary	B_control	chr12:13	0.012272898583869825	9
primary	B_control	chr12:2	-0.014827465271996607	21
primary	B_control	chr12:3	0.0027115379761520272	6
primary	B_control	chr12:4	0.006141295195153246	22
primary	B_control	chr12:5	0.0044444149041893664	22
primary	B_control	chr12:6	-0.003010955112649985	22
primary	B_control	chr12:7	-0.0010987243178044585	22
primary	B_control	chr12:8	-0.00796448109584579	3
primary	B_control	chr12:9	0.007288780094824089	22
primary	B_control	chr13:1	NA	0
primary	B_control	chr13:10	0.009488024206188972	3
primary	B_control	chr13:11	0.017468088327488515	18
primary	B_control	chr13:2	-0.002953275221423499	22
primary	B_control	chr13:3	-0.011995617197476802	19
primary	B_control	chr13:4	-0.013699075863631066	22
primary	B_control	chr13:5	-0.005865036079537837	2
primary	B_control	chr13:6	NA	0
primary	B_control	chr13:7	0.004745088192985865	17
primary	B_control	chr13:9	0.012284489565759659	15
primary	B_control	chr14:1	NA	0
primary	B_control	chr14:10	-0.0219345758062103	22
primary	B_control	chr14:2	-0.005616349812469018	22
primary	B_control	chr14:3	-0.011137883989447544	22
primary	B_control	chr14:4	-0.006984341876419229	15
primary	B_control	chr14:5	-0.005945300350477408	22
primary	B_control	chr14:6	-0.00612862185379394	22
primary	B_control	chr14:7	-0.012145314561932652	22
primary	B_control	chr14:8	NA	0
primary	B_control	chr14:9	-0.02443691396048101	22
primary	B_control	chr15:10	NA	0
primary	B_control	chr15:2	-0.00854352278170959	4
primary	B_control	chr15:3	-0.006050975586800663	18
primary	B_control	chr15:4	-0.0022192809358394963	22
primary	B_control	chr15:5	-0.0014427219740548573	22
primary	B_control	chr15:6	0.004680665469147915	22
primary	B_control	chr15:7	0.018331629375273925	22
primary	B_control	chr15:8	0.020125005270764555	22
primary	B_control	chr15:9	0.005358121213635191	14
primary	B_control	chr16:0	0.0034052357357252164	22
primary	B_control	chr16:1	0.0030730124083211585	22
primary	B_control	chr16:2	0.004624468972817902	22
primary	B_control	chr16:3	0.002692944585984942	22
primary	B_control	chr16:4	-0.0011929645197239346	7
primary	B_control	chr16:5	0.0023113988121505275	22
primary	B_control	chr16:6	0.004184850594731995	21
primary	B_control	chr16:7	0.0073342901215481555	21
primary	B_control	chr16:8	0.022132333354725732	22
primary	B_control	chr17:0	0.0066729284755286744	22
primary	B_control	chr17:1	0.0014384810641260121	21
primary	B_control	chr17:2	-0.005848421189307884	21
primary	B_control	chr17:3	-0.017612207037371094	22
primary	B_control	chr17:4	0.00756773190336145	22
primary	B_control	chr17:5	0.0035672570335513187	22
primary	B_control	chr17:6	-0.0014962062842320142	22
primary	B_control	chr17:7	-0.004940666429568614	22
primary	B_control	chr17:8	-0.010964710214287006	22
primary	B_control	chr18:0	-0.007031041334582635	22
primary	B_control	chr18:1	-0.003112955971202583	11
primary	B_control	chr18:2	0.006542959846178723	15
primary	B_control	chr18:3	0.007959582570100392	16
primary	B_control	chr18:4	0.01440079034905449	16
primary	B_control	chr18:5	0.023607626664838628	21
primary	B_control	chr18:6	0.03530121597543209	8
primary	B_control	chr18:7	0.043798613289318576	11
primary	B_control	chr18:8	NA	0
primary	B_control	chr19:0	0.01584516220343328	22
primary	B_control	chr19:1	0.010389877145587246	22
primary	B_control	chr19:2	0.0032119973615056738	10
primary	B_control	chr19:3	-0.0033717317939579326	22
primary	B_control	chr19:4	0.0374488212046892	22
primary	B_control	chr19:5	0.018117157635106827	22
primary	B_control	chr1:0	0.00630453453285145	22
primary	B_control	chr1:1	0.015320091953772198	22
primary	B_control	chr1:10	-0.0005746813344131152	22
primary	B_control	chr1:11	-0.021265149101156462	22
primary	B_control	chr1:12	NA	0
primary	B_control	chr1:14	-0.0406285784178123	18
primary	B_control	chr1:15	-0.02247050105263981	22
primary	B_control	chr1:16	0.0018518494679467838	22
primary	B_control	chr1:17	-0.013094982777338655	22
primary	B_control	chr1:18	-0.02624037849608714	22
primary	B_control	chr1:19	-0.027621320875056487	20
primary	B_control	chr1:2	0.011040924148078123	22
primary	B_control	chr1:20	0.003193275025727932	22
primary	B_control	chr1:21	0.022235681815766416	18
primary	B_control	chr1:22	0.01190299529882121	22
primary	B_control	chr1:23	0.008398639272103027	19
primary	B_control	chr1:24	0.016181716711035982	17
primary	B_control	chr1:3	0.008966663072245295	22
primary	B_control	chr1:4	0.012735884219061883	22
primary	B_control	chr1:5	0.0064125275263058916	22
primary	B_control	chr1:6	-0.0005709215229294383	20
primary	B_control	chr1:7	-0.0029655922598485636	20
primary	B_control	chr1:8	0.0014945617100220682	22
primary	B_control	chr1:9	0.005586622536098568	20
primary	B_control	chr20:0	0.002016837121919837	22
primary	B_control	chr20:1	-0.0008324323168205172	9
primary	B_control	chr20:2	0.000668195417013691	19
primary	B_control	chr20:3	0.0014616382487216723	22
primary	B_control	chr20:4	0.008729381143852683	22
primary	B_control	chr20:5	0.008657360259903919	22
primary	B_control	chr20:6	0.006756800637545144	20
primary	B_control	chr21:0	NA	0
primary	B_control	chr21:1	NA	0
primary	B_control	chr21:2	0.0006431482626012288	4
primary	B_control	chr21:3	0.007820213230990315	22
primary	B_control	chr21:4	0.006593094766623193	22
primary	B_control	chr22:1	0.01755527470420568	13
primary	B_control	chr22:2	0.013322301856842127	22
primary	B_control	chr22:3	0.009057298141688526	22
primary	B_control	chr22:4	0.013286252602737875	22
primary	B_control	chr22:5	0.012620038407497706	7
primary	B_control	chr2:0	-0.029002528911386567	20
primary	B_control	chr2:1	-0.01567085350055752	14
primary	B_control	chr2:10	-0.0004321445212939078	22
primary	B_control	chr2:11	0.0017341166233959863	22
primary	B_control	chr2:12	0.002579930533694184	12
primary	B_control	chr2:13	0.003871562052602352	21
primary	B_control	chr2:14	0.012964474438658854	1
primary	B_control	chr2:15	0.004266109013680949	18
primary	B_control	chr2:16	0.005486652019922331	20
primary	B_control	chr2:17	0.0012895567017778518	22
primary	B_control	chr2:18	-0.005411845366443144	18
primary	B_control	chr2:19	-0.006427072142972651	22
primary	B_control	chr2:2	-0.017938242094890592	22
primary	B_control	chr2:20	0.0002499982167024479	22
primary	B_control	chr2:21	0.0049001955355597515	20
primary	B_control	chr2:22	0.003373267251841888	8
primary	B_control	chr2:23	0.00042223674539077914	22
primary	B_control	chr2:24	0.0017209122284348754	17
primary	B_control	chr2:3	-0.019082408440614023	22
primary	B_control	chr2:4	-0.006808315860682791	21
primary	B_control	chr2:5	0.010728143393059	15
primary	B_control	chr2:6	0.009892522915163252	22
primary	B_control	chr2:7	0.0010046327414102178	22
primary	B_control	chr2:8	-0.006318787340947881	22
primary	B_control	chr2:9	-0.006611576301844092	20
primary	B_control	chr3:0	0.0214316623066491	20
primary	B_control	chr3:1	0.015789255458605333	22
primary	B_control	chr3:10	-0.006741739745937816	22
primary	B_control	chr3:11	-0.0027141778027277943	18
primary	B_control	chr3:12	0.0004992882066730668	22
primary	B_control	chr3:13	-0.007421808338263601	20
primary	B_control	chr3:14	-0.014160074268966009	22
primary	B_control	chr3:15	-0.011179339060071377	22
primary	B_control	chr3:16	NA	0
primary	B_control	chr3:17	0.009195434103952122	19
primary	B_control	chr3:18	0.0243601763846782	22
primary	B_control	chr3:19	0.04103293795760373	22
primary	B_control	chr3:2	0.01287169881964473	15
primary	B_control	chr3:3	0.01099356676361082	22
primary	B_control	chr3:4	0.001949376137547646	22
primary	B_control	chr3:5	-0.0007409558402707417	22
primary	B_control	chr3:6	-0.0002590974807942125	13
primary	B_control	chr3:7	NA	0
primary	B_control	chr3:8	NA	0
primary	B_control	chr3:9	0.005574661344887367	2
primary	B_control	chr4:0	0.0007911661490338086	22
primary	B_control	chr4:1	0.008236748504077266	13
primary	B_control	chr4:10	0.01474799590201349	22
primary	B_control	chr4:11	0.005039481792878645	14
primary	B_control	chr4:12	0.003579493357262933	14
primary	B_control	chr4:13	NA	0
primary	B_control	chr4:14	0.007287079805817978	15
primary	B_control	chr4:15	0.014975785586303502	17
primary	B_control	chr4:16	0.01235265977579848	14
primary	B_control	chr4:17	0.014285677250336616	1
primary	B_control	chr4:18	0.01313002480510132	18
primary	B_control	chr4:2	0.008597989623089662	1
primary	B_control	chr4:3	0.012886804645775353	16
primary	B_control	chr4:4	0.01111144600770518	19
primary	B_control	chr4:5	0.007629124096835294	18
primary	B_control	chr4:6	NA	0
primary	B_control	chr4:7	0.004966494233100923	22
primary	B_control	chr4:8	0.011410191823439069	22
primary	B_control	chr4:9	0.02082147654506204	14
primary	B_control	chr5:0	-0.0297997706221164	17
primary	B_control	chr5:1	-0.03297261197647575	10
primary	B_control	chr5:10	0.02119171793394044	1
primary	B_control	chr5:11	0.017245339600284418	22
primary	B_control	chr5:12	0.014554317310496157	11
primary	B_control	chr5:13	0.0070999097423016695	22
primary	B_control	chr5:14	0.009895102864730982	22
primary	B_control	chr5:15	0.015865119928982107	22
primary	B_control	chr5:16	0.00991857060281232	14
primary	B_control	chr5:17	0.014296247732854412	22
primary	B_control	chr5:18	NA	0
primary	B_control	chr5:2	NA	0
primary	B_control	chr5:3	-0.0691973506690068	21
primary	B_control	chr5:4	-0.07121405310100537	16
primary	B_control	chr5:5	-0.04875615537635239	21
primary	B_control	chr5:6	-0.015244773157613304	20
primary	B_control	chr5:7	0.0014516507360104757	22
primary	B_control	chr5:8	0.012768713745702287	20
primary	B_control	chr5:9	0.015088697234837387	21
primary	B_control	chr6:0	0.037705321783257285	21
primary	B_control	chr6:1	0.0330035930082821	22
primary	B_control	chr6:10	0.007079520767020927	21
primary	B_control	chr6:11	0.0006045490535635784	22
primary	B_control	chr6:12	-0.008628594003261157	12
primary	B_control	chr6:13	-0.027406926377780937	22
primary	B_control	chr6:14	-0.030701695702609753	21
primary	B_control	chr6:15	-0.022489785593339705	22
primary	B_control	chr6:16	-0.001399361002896	9
primary	B_control	chr6:17	NA	0
primary	B_control	chr6:2	0.020782757654891886	21
primary	B_control	chr6:3	0.13518916926851418	22
primary	B_control	chr6:4	0.02121689232767891	21
primary	B_control	chr6:5	0.009436895764703636	10
primary	B_control	chr6:6	NA	0
primary	B_control	chr6:7	0.01575308937606299	19
primary	B_control	chr6:8	0.015474953126123675	20
primary	B_control	chr6:9	NA	0
primary	B_control	chr7:0	0.003141839151228619	21
primary	B_control	chr7:1	0.008235028890220009	19
primary	B_control	chr7:10	0.010857655636510132	22
primary	B_control	chr7:11	0.009452229686588747	13
primary	B_control	chr7:12	0.004607471293021879	19
primary	B_control	chr7:13	-0.004599008360571655	21
primary	B_control	chr7:14	-0.01827653712689818	21
primary	B_control	chr7:15	-0.025930290983077024	20
primary	B_control	chr7:2	0.0059032603476500325	22
primary	B_control	chr7:3	0.001618142420560026	22
primary	B_control	chr7:4	-0.0007837727654559667	22
primary	B_control	chr7:5	-0.003974987036320136	5
primary	B_control	chr7:6	0.003925633774043266	10
primary	B_control	chr7:7	0.012343302073914651	22
primary	B_control	chr7:8	0.013790371335399152	7
primary	B_control	chr7:9	0.010906960485682233	22
primary	B_control	chr8:0	0.020911026100479086	3
primary	B_control	chr8:1	0.012414672997401219	19
primary	B_control	chr8:10	0.010561250683444002	22
primary	B_control	chr8:11	NA	0
primary	B_control	chr8:12	0.0036473887513237737	19
primary	B_control	chr8:13	NA	0
primary	B_control	chr8:14	0.007916193965377795	22
primary	B_control	chr8:2	-0.0020600389559461097	22
primary	B_control	chr8:3	-0.0057056191162948655	22
primary	B_control	chr8:4	0.003395527893172057	20
primary	B_control	chr8:5	0.011601338089233814	22
primary	B_control	chr8:6	0.014881709501916736	15
primary	B_control	chr8:7	0.01646966627312604	18
primary	B_control	chr8:8	0.014878948697305378	20
primary	B_control	chr8:9	0.013202747795531692	20
primary	B_control	chr9:0	0.01664434274232396	18
primary	B_control	chr9:1	0.004283686109846479	8
primary	B_control	chr9:10	0.006054630351300567	11
primary	B_control	chr9:11	0.003692869996684922	16
primary	B_control	chr9:12	0.00422743570108693	22
primary	B_control	chr9:13	0.00470648409102298	22
primary	B_control	chr9:2	0.010441261662498836	3
primary	B_control	chr9:3	-0.003984907701451479	22
primary	B_control	chr9:6	NA	0
primary	B_control	chr9:7	-0.018964667064126837	21
primary	B_control	chr9:8	-0.010913894831352697	21
primary	B_control	chr9:9	0.0025687478604227818	22
primary	Epithelial_control	chr10:0	-0.18917553083574673	20
primary	Epithelial_control	chr10:1	-0.15377834053576553	22
primary	Epithelial_control	chr10:10	0.009599434989161512	21
primary	Epithelial_control	chr10:11	0.010142797240201538	22
primary	Epithelial_control	chr10:12	0.017249392141332972	18
primary	Epithelial_control	chr10:13	0.03742602942193325	6
primary	Epithelial_control	chr10:2	-0.09951324787116136	20
primary	Epithelial_control	chr10:3	-0.0359817605820641	13
primary	Epithelial_control	chr10:4	-0.03522129163390076	15
primary	Epithelial_control	chr10:5	-0.0016184680930942206	2
primary	Epithelial_control	chr10:6	-0.029052253265191844	21
primary	Epithelial_control	chr10:7	-0.0024147375059237887	22
primary	Epithelial_control	chr10:8	0.02122941900696572	21
primary	Epithelial_control	chr10:9	0.013536896144468616	19
primary	Epithelial_control	chr11:0	0.016527994129515312	22
primary	Epithelial_control	chr11:1	0.007735015476821622	22
primary	Epithelial_control	chr11:10	-0.03456888121356502	22
primary	Epithelial_control	chr11:11	-0.09799194647262191	22
primary	Epithelial_control	chr11:12	-0.08444658313013721	18
primary	Epithelial_control	chr11:13	-0.026258625647616916	3
primary	Epithelial_control	chr11:2	NA	0
primary	Epithelial_control	chr11:3	0.015014491565237775	20
primary	Epithelial_control	chr11:4	0.022675573236916956	20
primary	Epithelial_control	chr11:5	0.02082422234171784	18
primary	Epithelial_control	chr11:6	0.01042784972704708	22
primary	Epithelial_control	chr11:7	0.00914531072710473	22
primary	Epithelial_control	chr11:8	0.0005142037881617753	19
primary	Epithelial_control	chr11:9	-0.010909993978180658	20
primary	Epithelial_control	chr12:0	-0.06731879125849087	22
primary	Epithelial_control	chr12:1	-0.11979296228386405	22
primary	Epithelial_control	chr12:10	0.011296597996199611	22
primary	Epithelial_control	chr12:11	0.03885847532529286	22
primary	Epithelial_control	chr12:12	0.003195234333286204	22
primary	Epithelial_control	chr12:13	-0.05694772992142802	9
primary	Epithelial_control	chr12:2	-0.0604346417616039	21
primary	Epithelial_control	chr12:3	-0.0403168641870233	6
primary	Epithelial_control	chr12:4	-0.008145000026845563	22
primary	Epithelial_control	chr12:5	0.035029416204100876	22
primary	Epithelial_control	chr12:6	-0.017860952735775176	22
primary	Epithelial_control	chr12:7	-0.04803070017174742	22
primary	Epithelial_control	chr12:8	-0.05936314539846963	3
primary	Epithelial_control	chr12:9	-0.0159830702879292	22
primary	Epithelial_control	chr13:1	NA	0
primary	Epithelial_control	chr13:10	0.02494987612320186	3
primary	Epithelial_control	chr13:11	0.02537443461523796	18
primary	Epithelial_control	chr13:2	-0.07205020492703888	22
primary	Epithelial_control	chr13:3	-0.09692509894159074	19
primary	Epithelial_control	chr13:4	-0.05381659878222723	22
primary	Epithelial_control	chr13:5	-0.0019612284154989033	2
primary	Epithelial_control	chr13:6	NA	0
primary	Epithelial_control	chr13:7	-0.0008900830126605408	17
primary	Epithelial_control	chr13:9	0.007857254335126188	15
primary	Epithelial_control	chr14:1	NA	0
primary	Epithelial_control	chr14:10	-0.0846634289915049	22
primary	Epithelial_control	chr14:2	-0.00382460598365959	22
primary	Epithelial_control	chr14:3	-0.011757117657503802	22
primary	Epithelial_control	chr14:4	-0.019247679960942725	15
primary	Epithelial_control	chr14:5	-0.0024512223903972504	22
primary	Epithelial_control	chr14:6	0.007999314913318038	22
primary	Epithelial_control	chr14:7	-0.004634046895963461	22
primary	Epithelial_control	chr14:8	NA	0
primary	Epithelial_control	chr14:9	-0.06411432925981862	22
primary	Epithelial_control	chr15:10	NA	0
