gene	current_pool	history_only	n_current_relations	RNA_status	RNA_n	RNA_effect	RNA_p	RNA_q	RNA_positive_pairs	RNA_negative_pairs	RNA_tier	CAMP_evaluable	CAMP_nominal	CAMP_FDR	Wu_ER_top	Wu_HER2_top	Wu_TNBC_top	interpretation_cn	limitation_cn	next_action_cn	RNA_source	relation_source	cell_source	judgment_type	new_patient_statistics	Wu2021__source_status	Wu2021__reason	Wu2021__display_top	Wu2021__mechanical_top	Wu2021__top_n	Wu2021__top_detection	Wu2021__bootstrap	Pal2021_reprocessed__source_status	Pal2021_reprocessed__reason	Pal2021_reprocessed__display_top	Pal2021_reprocessed__mechanical_top	Pal2021_reprocessed__top_n	Pal2021_reprocessed__top_detection	Pal2021_reprocessed__bootstrap
AASS	True	False	1	DONE	45.0	-0.9286377387477608	8.51862088028069e-10	2.1012598171359035e-08	8.0	37.0	FDR_SUPPORTED	1	1	1	Fibroblasts	Fibroblasts	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Fibroblasts	Fibroblasts	23	0.08610458093909357	0.888	DONE	NA	Fibroblasts	Fibroblasts	30	0.05055605690939104	0.726
ABHD12	True	False	8	DONE	45.0	0.30829131493483275	4.018836901765647e-06	2.0690202620492247e-05	38.0	7.0	FDR_SUPPORTED	8	4	0	Myeloid	Myeloid	Myeloid	配对RNA升高，Wu/Pal均髓系最高且排名稳定。	表达来源不是乳腺癌功能验证。	作为髓系背景候选并列讨论。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE		Myeloid	Myeloid	26	0.3650958058389028	1.0	DONE		Myeloid	Myeloid	30	0.1929072555594944	1.0
ABHD6	True	False	4	DONE	45.0	-0.6699259475043946	4.374224624821684e-09	5.394877037280077e-08	4.0	41.0	FDR_SUPPORTED	4	2	0	Endothelial	Myeloid	Endothelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE		Endothelial	Endothelial	24	0.0467654950264885	0.712	DONE		Mast_cells	Mast_cells	12	0.01839422756227565	0.889
ACLY	False	True	0	HISTORICAL_ONLY	NA	NA	NA	NA	NA	NA	HISTORICAL_ONLY	0	0	0	Malignant_epithelial	Malignant_epithelial	Endothelial	历史候选保留，不在当前190项入口直接池；原证据不删除。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.27582916547390496	0.933	DONE	NA	Endothelial	Endothelial	23	0.12999942231991746	0.519
ACSL1	True	False	2	DONE	45.0	-1.2687684910765842	2.5316836145189042e-08	2.4979278329919856e-07	7.0	38.0	FDR_SUPPORTED	2	0	0	Myeloid	Malignant_epithelial	Myeloid	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE		Myeloid	Myeloid	26	0.2934160475289314	1.0	DONE		Myeloid	Myeloid	30	0.19242631567900062	1.0
ACSL3	True	False	7	DONE	45.0	0.18737266719773615	0.13307203705207787	0.20096593350721964	28.0	17.0	NOT_NOMINAL_SIGNIFICANT	7	0	0	Malignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE		Malignant_epithelial	Malignant_epithelial	20	0.4650914318985562	0.722	DONE		Malignant_epithelial	Malignant_epithelial	33	0.2871061559529673	1.0
ACSL4	True	False	4	DONE	45.0	-0.5177084437759162	7.524529196412467e-05	0.00028554623617155006	11.0	34.0	FDR_SUPPORTED	4	0	0	Myeloid	Myeloid	Fibroblasts	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE		Myeloid	Myeloid	26	0.1856463317840533	0.789	DONE		Mast_cells	Mast_cells	12	0.2834365263090872	1.0
ACSL5	True	False	2	DONE	45.0	-0.43086192868425177	0.0005150992406821671	0.001555809951448178	14.0	31.0	FDR_SUPPORTED	2	0	0	Endothelial	Endothelial	Endothelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE		Endothelial	Endothelial	24	0.16233880352433477	1.0	DONE		Endothelial	Endothelial	23	0.08773722878688357	1.0
ACSL6	True	False	1	DONE	45.0	0.06274453591681092	0.06636858869007937	0.11036574299024436	28.0	17.0	NOT_NOMINAL_SIGNIFICANT	1	0	0	T_NK_cells	T_NK_cells	T_NK_cells	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE		T_NK_cells	T_NK_cells	26	0.01422215567086773	0.998	DONE		T_NK_cells	T_NK_cells	24	0.009642708711475304	0.996
ACSM1	True	False	2	DONE	45.0	-0.2297525710082596	0.2935754112941249	0.3811329901011446	21.0	24.0	NOT_NOMINAL_SIGNIFICANT	2	0	0	Nonmalignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE		Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.05459075975611336	0.999	DONE		Malignant_epithelial	Malignant_epithelial	33	0.011051602811859688	0.991
